TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/02/14
TIME	16:25:34
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.01067
MAXY	     0.55621
MINY	     0.00880
XYDATA
700.0000	0.0106675
699.5000	0.010731
699.0000	0.0107716
698.5000	0.0107892
698.0000	0.0107952
697.5000	0.0108206
697.0000	0.0108442
696.5000	0.0108908
696.0000	0.0109073
695.5000	0.0109206
695.0000	0.010933
694.5000	0.0109487
694.0000	0.0109621
693.5000	0.0109651
693.0000	0.0109802
692.5000	0.0109759
692.0000	0.0109821
691.5000	0.0110077
691.0000	0.0110142
690.5000	0.0109969
690.0000	0.0109827
689.5000	0.0109932
689.0000	0.0110064
688.5000	0.0110103
688.0000	0.0110029
687.5000	0.0110024
687.0000	0.0110116
686.5000	0.0110058
686.0000	0.0109955
685.5000	0.010962
685.0000	0.0109262
684.5000	0.0108886
684.0000	0.0108794
683.5000	0.0108651
683.0000	0.0108485
682.5000	0.0108256
682.0000	0.0108099
681.5000	0.0107774
681.0000	0.0107546
680.5000	0.0107045
680.0000	0.0106501
679.5000	0.0106197
679.0000	0.0106077
678.5000	0.0105836
678.0000	0.0105544
677.5000	0.0105073
677.0000	0.0104891
676.5000	0.0104345
676.0000	0.0103886
675.5000	0.0103173
675.0000	0.0102817
674.5000	0.0102196
674.0000	0.0101675
673.5000	0.0101278
673.0000	0.0100775
672.5000	0.00999227
672.0000	0.00996237
671.5000	0.00990055
671.0000	0.00987848
670.5000	0.00979725
670.0000	0.00974582
669.5000	0.00966822
669.0000	0.00965996
668.5000	0.00961135
668.0000	0.00960074
667.5000	0.00955685
667.0000	0.00953872
666.5000	0.00950287
666.0000	0.00947231
665.5000	0.00942347
665.0000	0.00940433
664.5000	0.00934348
664.0000	0.00932064
663.5000	0.00929169
663.0000	0.00928647
662.5000	0.0092399
662.0000	0.0092017
661.5000	0.0091656
661.0000	0.00913585
660.5000	0.00908379
660.0000	0.00904662
659.5000	0.008992
659.0000	0.00896618
658.5000	0.00894521
658.0000	0.0089347
657.5000	0.00889753
657.0000	0.00888888
656.5000	0.00885796
656.0000	0.00882344
655.5000	0.00881323
655.0000	0.00879841
654.5000	0.00880491
654.0000	0.00881696
653.5000	0.00882266
653.0000	0.00883728
652.5000	0.0088415
652.0000	0.00882956
651.5000	0.00881702
651.0000	0.00882894
650.5000	0.00883472
650.0000	0.00883641
649.5000	0.00885229
649.0000	0.00885116
648.5000	0.00889885
648.0000	0.00890014
647.5000	0.00890959
647.0000	0.00893011
646.5000	0.00895151
646.0000	0.0089867
645.5000	0.00903635
645.0000	0.00907785
