TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/02/28
TIME	16:15:43
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.00405
MAXY	     0.41586
MINY	     0.00405
XYDATA
700.0000	0.00405324
699.5000	0.00410751
699.0000	0.0041124
698.5000	0.00413951
698.0000	0.00415804
697.5000	0.00419596
697.0000	0.00421875
696.5000	0.00424103
696.0000	0.00424762
695.5000	0.00427569
695.0000	0.0042893
694.5000	0.00433258
694.0000	0.00434182
693.5000	0.00435395
693.0000	0.00436348
692.5000	0.00440062
692.0000	0.0043962
691.5000	0.00440683
691.0000	0.00442054
690.5000	0.00444066
690.0000	0.00445208
689.5000	0.00446795
689.0000	0.00447506
688.5000	0.00448943
688.0000	0.00450769
687.5000	0.00451748
687.0000	0.00453379
686.5000	0.00456032
686.0000	0.00456264
685.5000	0.00459798
685.0000	0.00460532
684.5000	0.00460393
684.0000	0.00463555
683.5000	0.00466353
683.0000	0.00468368
682.5000	0.00469948
682.0000	0.00470998
681.5000	0.00470683
681.0000	0.00472821
680.5000	0.00473672
680.0000	0.00472886
679.5000	0.00473432
679.0000	0.00474292
678.5000	0.00478051
678.0000	0.00477017
677.5000	0.00475586
677.0000	0.00474898
676.5000	0.00477371
676.0000	0.00478024
675.5000	0.00482011
675.0000	0.00483547
674.5000	0.00485021
674.0000	0.00488066
673.5000	0.0048991
673.0000	0.00492289
672.5000	0.00496988
672.0000	0.00499159
671.5000	0.00504822
671.0000	0.00507784
670.5000	0.00510658
670.0000	0.00512162
669.5000	0.00515232
669.0000	0.00515407
668.5000	0.00518812
668.0000	0.00520286
667.5000	0.00522749
667.0000	0.0052534
666.5000	0.00526767
666.0000	0.00528154
665.5000	0.00527959
665.0000	0.00529592
664.5000	0.00531491
664.0000	0.00536108
663.5000	0.00536702
663.0000	0.00537812
662.5000	0.00542205
662.0000	0.00544606
661.5000	0.00546981
661.0000	0.00549372
660.5000	0.005538
660.0000	0.00556065
659.5000	0.00560736
659.0000	0.00565811
658.5000	0.00572463
658.0000	0.00573239
657.5000	0.00577975
657.0000	0.00581187
656.5000	0.00586062
656.0000	0.00590963
655.5000	0.00599049
655.0000	0.00601869
654.5000	0.00608155
654.0000	0.0061177
653.5000	0.00619867
653.0000	0.00625242
652.5000	0.00631434
652.0000	0.00634861
651.5000	0.00646158
651.0000	0.00650089
650.5000	0.00662315
650.0000	0.00670057
649.5000	0.00677168
649.0000	0.00681289
648.5000	0.00691315
648.0000	0.00695313
647.5000	0.00704548
647.0000	0.0070933
646.5000	0.00717411
646.0000	0.00725032
645.5000	0.00735204
