TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/04/04
TIME	17:42:43
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.01513
MAXY	     0.12729
MINY	     0.01513
XYDATA
700.0000	0.015132
699.5000	0.0151734
699.0000	0.0151911
698.5000	0.0152434
698.0000	0.0152727
697.5000	0.0153189
697.0000	0.015357
696.5000	0.0154389
696.0000	0.0154994
695.5000	0.0155662
695.0000	0.0156261
694.5000	0.0157068
694.0000	0.0157592
693.5000	0.0158502
693.0000	0.0158836
692.5000	0.0159952
692.0000	0.016058
691.5000	0.0161819
691.0000	0.0162442
690.5000	0.0163126
690.0000	0.0163766
689.5000	0.0164798
689.0000	0.0165496
688.5000	0.0166598
688.0000	0.016717
687.5000	0.016801
687.0000	0.0168665
686.5000	0.0169709
686.0000	0.0170197
685.5000	0.017135
685.0000	0.0171866
684.5000	0.0173114
684.0000	0.0173993
683.5000	0.0175202
683.0000	0.0175873
682.5000	0.0176882
682.0000	0.0177956
681.5000	0.0179272
681.0000	0.0180335
680.5000	0.0181645
680.0000	0.0182757
679.5000	0.0184468
679.0000	0.0185386
678.5000	0.0187073
678.0000	0.0188057
677.5000	0.0189752
677.0000	0.0190934
676.5000	0.0192804
676.0000	0.0194061
675.5000	0.0195508
675.0000	0.0196897
674.5000	0.0198913
674.0000	0.0200331
673.5000	0.0202359
673.0000	0.0203425
672.5000	0.020509
672.0000	0.0206173
671.5000	0.020832
671.0000	0.0209501
670.5000	0.0211617
670.0000	0.021277
669.5000	0.0214946
669.0000	0.0216398
668.5000	0.0218427
668.0000	0.0219669
667.5000	0.0221538
667.0000	0.0222784
666.5000	0.0225157
666.0000	0.0226597
665.5000	0.0228715
665.0000	0.0230039
664.5000	0.0232029
664.0000	0.0233282
663.5000	0.0235485
663.0000	0.023677
662.5000	0.0238368
662.0000	0.023979
661.5000	0.0241903
661.0000	0.0243307
660.5000	0.0245178
660.0000	0.024617
659.5000	0.0248332
659.0000	0.0249644
658.5000	0.0251364
658.0000	0.0252835
657.5000	0.025469
657.0000	0.0255654
656.5000	0.0257209
656.0000	0.0258489
655.5000	0.0259905
655.0000	0.0260922
654.5000	0.0262451
654.0000	0.0263462
653.5000	0.0265123
653.0000	0.0265996
652.5000	0.026712
652.0000	0.0268035
651.5000	0.0269188
651.0000	0.0270137
650.5000	0.0271691
650.0000	0.0272681
649.5000	0.0274211
649.0000	0.027519
648.5000	0.0276306
648.0000	0.0277061
647.5000	0.0278147
647.0000	0.0278968
646.5000	0.0280152
646.0000	0.0281114
645.5000	0.0282325
645.0000	0.0283185
644.5000	0.0284307
