TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/05/05
TIME	21:54:13
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.00892
MAXY	     0.90224
MINY	     0.00892
XYDATA
700.0000	0.00892141
699.5000	0.00895006
699.0000	0.00895199
698.5000	0.00899267
698.0000	0.00900098
697.5000	0.00903767
697.0000	0.00905984
696.5000	0.00909097
696.0000	0.00910907
695.5000	0.00913343
695.0000	0.00913008
694.5000	0.0091422
694.0000	0.00913706
693.5000	0.00915139
693.0000	0.00916435
692.5000	0.00919248
692.0000	0.00922338
691.5000	0.00925327
691.0000	0.00922358
690.5000	0.00921825
690.0000	0.00921405
689.5000	0.00921767
689.0000	0.00922705
688.5000	0.00924462
688.0000	0.00924865
687.5000	0.00928917
687.0000	0.00929605
686.5000	0.00930325
686.0000	0.00929906
685.5000	0.00929665
685.0000	0.00930019
684.5000	0.00933629
684.0000	0.00937527
683.5000	0.00942611
683.0000	0.00945894
682.5000	0.00950639
682.0000	0.00952618
681.5000	0.0095363
681.0000	0.00953571
680.5000	0.0095914
680.0000	0.0096221
679.5000	0.00970572
679.0000	0.00973737
678.5000	0.00977103
678.0000	0.00981221
677.5000	0.00982997
677.0000	0.00985274
676.5000	0.00987076
676.0000	0.00988732
675.5000	0.0099597
675.0000	0.0100106
674.5000	0.0100556
674.0000	0.0100965
673.5000	0.0101452
673.0000	0.0101597
672.5000	0.0101863
672.0000	0.0102189
671.5000	0.0102772
671.0000	0.0103148
670.5000	0.010362
670.0000	0.0104048
669.5000	0.0104778
669.0000	0.0105061
668.5000	0.0105855
668.0000	0.0106274
667.5000	0.0106735
667.0000	0.0106904
666.5000	0.0107797
666.0000	0.0108179
665.5000	0.0108866
665.0000	0.010909
664.5000	0.0109427
664.0000	0.0109851
663.5000	0.0110261
663.0000	0.0110576
662.5000	0.0111331
662.0000	0.0111614
661.5000	0.0112377
661.0000	0.0112778
660.5000	0.0113735
660.0000	0.0113914
659.5000	0.0114877
659.0000	0.0115504
658.5000	0.0116489
658.0000	0.0117116
657.5000	0.011795
657.0000	0.0118605
656.5000	0.0119466
656.0000	0.012011
655.5000	0.0120874
655.0000	0.0121515
654.5000	0.0122377
654.0000	0.012296
653.5000	0.012382
653.0000	0.012458
652.5000	0.0125608
652.0000	0.0126083
651.5000	0.012727
651.0000	0.0128024
650.5000	0.0129395
650.0000	0.0130176
649.5000	0.0131099
649.0000	0.0132211
648.5000	0.0133518
648.0000	0.0134388
647.5000	0.0135713
647.0000	0.0136766
646.5000	0.013788
646.0000	0.0138895
645.5000	0.0140453
645.0000	0.0141524
