TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/05/09
TIME	01:02:11
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.00164
MAXY	     0.22663
MINY	     0.00148
XYDATA
700.0000	0.00164082
699.5000	0.00164754
699.0000	0.00164622
698.5000	0.00166585
698.0000	0.00167373
697.5000	0.00167478
697.0000	0.00166651
696.5000	0.00169335
696.0000	0.00171143
695.5000	0.00168621
695.0000	0.00169224
694.5000	0.0017002
694.0000	0.00170465
693.5000	0.00169469
693.0000	0.00170717
692.5000	0.00171001
692.0000	0.0017155
691.5000	0.00168959
691.0000	0.00168106
690.5000	0.00165668
690.0000	0.00164739
689.5000	0.00163352
689.0000	0.00162446
688.5000	0.00161006
688.0000	0.00160099
687.5000	0.0016061
687.0000	0.00160655
686.5000	0.0015719
686.0000	0.00156181
685.5000	0.00156809
685.0000	0.00156642
684.5000	0.00158093
684.0000	0.00158565
683.5000	0.00159971
683.0000	0.00158736
682.5000	0.00159342
682.0000	0.00156769
681.5000	0.00152351
681.0000	0.00150488
680.5000	0.00152079
680.0000	0.00151859
679.5000	0.00153238
679.0000	0.00153011
678.5000	0.00153322
678.0000	0.00150554
677.5000	0.00148519
677.0000	0.00148912
676.5000	0.00148306
676.0000	0.00149166
675.5000	0.0015443
675.0000	0.00155621
674.5000	0.0015815
674.0000	0.00158137
673.5000	0.00160735
673.0000	0.00158748
672.5000	0.00159341
672.0000	0.0015934
671.5000	0.00159661
671.0000	0.00161129
670.5000	0.0016004
670.0000	0.00161407
669.5000	0.00161625
669.0000	0.00160199
668.5000	0.00161671
668.0000	0.0016079
667.5000	0.00160216
667.0000	0.00158368
666.5000	0.00159206
666.0000	0.00157389
665.5000	0.00158415
665.0000	0.00159991
664.5000	0.00160781
664.0000	0.00163323
663.5000	0.00163402
663.0000	0.00164071
662.5000	0.00166143
662.0000	0.00165768
661.5000	0.00168749
661.0000	0.00168859
660.5000	0.00171275
660.0000	0.00170837
659.5000	0.00172423
659.0000	0.00173867
658.5000	0.00175185
658.0000	0.00175458
657.5000	0.00174944
657.0000	0.00173208
656.5000	0.00171884
656.0000	0.00174268
655.5000	0.00176466
655.0000	0.00177388
654.5000	0.00182198
654.0000	0.00184476
653.5000	0.00189609
653.0000	0.00191937
652.5000	0.00193054
652.0000	0.00194826
651.5000	0.00197129
651.0000	0.00201334
650.5000	0.00206865
650.0000	0.00208948
649.5000	0.00209882
649.0000	0.00211889
648.5000	0.00212703
648.0000	0.00214349
647.5000	0.00215581
647.0000	0.00216274
646.5000	0.00219585
646.0000	0.00222213
645.5000	0.00226147
