TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/05/09
TIME	01:12:20
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	    -0.00034
MAXY	     0.22538
MINY	    -0.00080
XYDATA
700.0000	-0.000344155
699.5000	-0.000335491
699.0000	-0.00034478
698.5000	-0.000334255
698.0000	-0.00034219
697.5000	-0.000358244
697.0000	-0.000364244
696.5000	-0.00035235
696.0000	-0.000347657
695.5000	-0.00035289
695.0000	-0.000323794
694.5000	-0.000336159
694.0000	-0.000339011
693.5000	-0.000352037
693.0000	-0.000350448
692.5000	-0.000325866
692.0000	-0.000338446
691.5000	-0.000352019
691.0000	-0.000360137
690.5000	-0.000383211
690.0000	-0.000390555
689.5000	-0.000406857
689.0000	-0.000428051
688.5000	-0.000470703
688.0000	-0.000469378
687.5000	-0.000484053
687.0000	-0.000478636
686.5000	-0.000511521
686.0000	-0.000527326
685.5000	-0.000514789
685.0000	-0.000514284
684.5000	-0.000496707
684.0000	-0.000495867
683.5000	-0.000497271
683.0000	-0.000490836
682.5000	-0.000473164
682.0000	-0.000499381
681.5000	-0.000541677
681.0000	-0.000559449
680.5000	-0.000555806
680.0000	-0.00055077
679.5000	-0.000562028
679.0000	-0.000584508
678.5000	-0.000600422
678.0000	-0.000632066
677.5000	-0.000646164
677.0000	-0.000653811
676.5000	-0.000673406
676.0000	-0.000675988
675.5000	-0.000662774
675.0000	-0.000651252
674.5000	-0.000666039
674.0000	-0.000667271
673.5000	-0.000677689
673.0000	-0.000699377
672.5000	-0.000686338
672.0000	-0.000695865
671.5000	-0.000689809
671.0000	-0.000675619
670.5000	-0.000689389
670.0000	-0.000693672
669.5000	-0.000700153
669.0000	-0.000698393
668.5000	-0.000683789
668.0000	-0.000688728
667.5000	-0.000690772
667.0000	-0.000716228
666.5000	-0.000713704
666.0000	-0.000742082
665.5000	-0.00072554
665.0000	-0.000726999
664.5000	-0.000754512
664.0000	-0.000745199
663.5000	-0.000749294
663.0000	-0.000729838
662.5000	-0.000726003
662.0000	-0.000737644
661.5000	-0.000733597
661.0000	-0.00075323
660.5000	-0.0007314
660.0000	-0.000720475
659.5000	-0.000727695
659.0000	-0.000728735
658.5000	-0.0007294
658.0000	-0.000730821
657.5000	-0.00074907
657.0000	-0.000758817
656.5000	-0.000786373
656.0000	-0.000794831
655.5000	-0.0007835
655.0000	-0.000801345
654.5000	-0.000790806
654.0000	-0.000801138
653.5000	-0.000781006
653.0000	-0.000785016
652.5000	-0.000776603
652.0000	-0.000783881
651.5000	-0.000784594
651.0000	-0.000766798
650.5000	-0.000744624
650.0000	-0.000730773
