TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/05/19
TIME	23:25:35
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.02043
MAXY	     1.77675
MINY	     0.01698
XYDATA
700.0000	0.0204285
699.5000	0.0204518
699.0000	0.0204899
698.5000	0.0205203
698.0000	0.0205389
697.5000	0.0205917
697.0000	0.0205986
696.5000	0.0206901
696.0000	0.0207174
695.5000	0.020742
695.0000	0.0207806
694.5000	0.0208025
694.0000	0.0208159
693.5000	0.0208182
693.0000	0.0208379
692.5000	0.0208614
692.0000	0.0208707
691.5000	0.0208829
691.0000	0.0208832
690.5000	0.0208719
690.0000	0.0208419
689.5000	0.0208034
689.0000	0.0207996
688.5000	0.0207671
688.0000	0.0207571
687.5000	0.0207443
687.0000	0.0207183
686.5000	0.0206858
686.0000	0.0206383
685.5000	0.0205834
685.0000	0.020525
684.5000	0.0204736
684.0000	0.0204218
683.5000	0.0203685
683.0000	0.0203233
682.5000	0.0202461
682.0000	0.020211
681.5000	0.0201197
681.0000	0.0200356
680.5000	0.0199444
680.0000	0.0198741
679.5000	0.0197887
679.0000	0.0197285
678.5000	0.0196509
678.0000	0.0195857
677.5000	0.0195338
677.0000	0.0194552
676.5000	0.0193556
676.0000	0.0193016
675.5000	0.019205
675.0000	0.0191255
674.5000	0.0190493
674.0000	0.0189923
673.5000	0.0189052
673.0000	0.0188355
672.5000	0.0187347
672.0000	0.0186762
671.5000	0.0185834
671.0000	0.0185197
670.5000	0.0184309
670.0000	0.0183678
669.5000	0.0182929
669.0000	0.0182227
668.5000	0.0181466
668.0000	0.0180888
667.5000	0.0180011
667.0000	0.0179707
666.5000	0.0178698
666.0000	0.0178186
665.5000	0.0177406
665.0000	0.0176844
664.5000	0.0176032
664.0000	0.0175609
663.5000	0.0174839
663.0000	0.0174644
662.5000	0.0173858
662.0000	0.0173409
661.5000	0.0173017
661.0000	0.0172888
660.5000	0.0172309
660.0000	0.0172158
659.5000	0.0171801
659.0000	0.0171583
658.5000	0.0171027
658.0000	0.0170826
657.5000	0.0170646
657.0000	0.0170793
656.5000	0.017042
656.0000	0.0170373
655.5000	0.017031
655.0000	0.0170309
654.5000	0.016998
654.0000	0.0169798
653.5000	0.0169887
653.0000	0.0169996
652.5000	0.0170161
652.0000	0.0170477
651.5000	0.0170777
651.0000	0.0170946
650.5000	0.0171321
650.0000	0.017162
649.5000	0.0172039
649.0000	0.0172415
648.5000	0.017272
648.0000	0.0173252
647.5000	0.017389
647.0000	0.0174526
646.5000	0.0175033
646.0000	0.0175711
645.5000	0.0176178
645.0000	0.0176662
