TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/05/22
TIME	18:01:50
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.01570
MAXY	     1.69792
MINY	     0.01548
XYDATA
700.0000	0.0156988
699.5000	0.0156848
699.0000	0.0156669
698.5000	0.0156595
698.0000	0.0156528
697.5000	0.0156698
697.0000	0.0156606
696.5000	0.0156598
696.0000	0.0156431
695.5000	0.0156576
695.0000	0.0156467
694.5000	0.0156471
694.0000	0.0156231
693.5000	0.015617
693.0000	0.0156156
692.5000	0.0156143
692.0000	0.0156258
691.5000	0.015599
691.0000	0.0155965
690.5000	0.0156044
690.0000	0.0156131
689.5000	0.0156142
689.0000	0.0155972
688.5000	0.0155939
688.0000	0.0155951
687.5000	0.0156019
687.0000	0.0155881
686.5000	0.0155731
686.0000	0.0155798
685.5000	0.0155667
685.0000	0.0155722
684.5000	0.0155603
684.0000	0.0155454
683.5000	0.0155273
683.0000	0.0155144
682.5000	0.0155094
682.0000	0.015504
681.5000	0.0154918
681.0000	0.0154858
680.5000	0.0154838
680.0000	0.0155007
679.5000	0.0154935
679.0000	0.0154988
678.5000	0.0155383
678.0000	0.0155499
677.5000	0.0155595
677.0000	0.0155612
676.5000	0.0155832
676.0000	0.0156026
675.5000	0.0156465
675.0000	0.0156651
674.5000	0.0156945
674.0000	0.0157254
673.5000	0.0157635
673.0000	0.0157773
672.5000	0.0157916
672.0000	0.0158042
671.5000	0.0158458
671.0000	0.0158672
670.5000	0.0158954
670.0000	0.0158999
669.5000	0.0159028
669.0000	0.01591
668.5000	0.0159439
668.0000	0.0159696
667.5000	0.0159951
667.0000	0.0159897
666.5000	0.0160301
666.0000	0.0160858
665.5000	0.0161232
665.0000	0.0161518
664.5000	0.0161897
664.0000	0.0162494
663.5000	0.0163131
663.0000	0.0163511
662.5000	0.016398
662.0000	0.0164514
661.5000	0.0164895
661.0000	0.016532
660.5000	0.0166059
660.0000	0.0166283
659.5000	0.0166587
659.0000	0.0166826
658.5000	0.0167205
658.0000	0.0167751
657.5000	0.0167954
657.0000	0.0168488
656.5000	0.0169214
656.0000	0.0169476
655.5000	0.0169943
655.0000	0.0170437
654.5000	0.0170798
654.0000	0.0171242
653.5000	0.0172136
653.0000	0.0172545
652.5000	0.0173352
652.0000	0.0173713
651.5000	0.0174272
651.0000	0.0174741
650.5000	0.0175447
650.0000	0.0175853
649.5000	0.0176683
649.0000	0.0177175
648.5000	0.0177893
648.0000	0.0178441
647.5000	0.0179118
647.0000	0.0179484
646.5000	0.0180156
646.0000	0.0180726
645.5000	0.0181635
645.0000	0.0182228
