TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/05/29
TIME	21:55:44
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.01058
MAXY	     1.64400
MINY	     0.00908
XYDATA
700.0000	0.0105812
699.5000	0.010565
699.0000	0.0105604
698.5000	0.010503
698.0000	0.0104804
697.5000	0.0104408
697.0000	0.0104164
696.5000	0.0103874
696.0000	0.0103637
695.5000	0.0103369
695.0000	0.010312
694.5000	0.0102515
694.0000	0.0102165
693.5000	0.0101863
693.0000	0.0101518
692.5000	0.0100932
692.0000	0.0100865
691.5000	0.0100534
691.0000	0.0100124
690.5000	0.0099877
690.0000	0.00994742
689.5000	0.00990926
689.0000	0.00987926
688.5000	0.00987646
688.0000	0.00986234
687.5000	0.00984204
687.0000	0.00982174
686.5000	0.0097849
686.0000	0.00976995
685.5000	0.00973927
685.0000	0.00972597
684.5000	0.00969319
684.0000	0.00965975
683.5000	0.00965469
683.0000	0.00962668
682.5000	0.00957304
682.0000	0.0095481
681.5000	0.00954109
681.0000	0.00949868
680.5000	0.00946471
680.0000	0.0094436
679.5000	0.00941746
679.0000	0.00939116
678.5000	0.00937067
678.0000	0.00933719
677.5000	0.00932222
677.0000	0.00929176
676.5000	0.00929418
676.0000	0.00927753
675.5000	0.00925402
675.0000	0.00921614
674.5000	0.00921028
674.0000	0.00918641
673.5000	0.0091805
673.0000	0.00918441
672.5000	0.00917587
672.0000	0.00917288
671.5000	0.00915615
671.0000	0.0091499
670.5000	0.00915291
670.0000	0.00913556
669.5000	0.00914235
669.0000	0.00913466
668.5000	0.00911662
668.0000	0.00910694
667.5000	0.00910272
667.0000	0.00909706
666.5000	0.00907993
666.0000	0.00908274
665.5000	0.00908088
665.0000	0.00908648
664.5000	0.00910649
664.0000	0.00910669
663.5000	0.00912939
663.0000	0.00912073
662.5000	0.00911206
662.0000	0.00912229
661.5000	0.00917582
661.0000	0.00917447
660.5000	0.00918484
660.0000	0.00918284
659.5000	0.00919471
659.0000	0.00920731
658.5000	0.00924207
658.0000	0.00924729
657.5000	0.00926433
657.0000	0.00927041
656.5000	0.00933942
656.0000	0.00938311
655.5000	0.00938843
655.0000	0.00938719
654.5000	0.00941347
654.0000	0.00944373
653.5000	0.00948865
653.0000	0.00951724
652.5000	0.0095332
652.0000	0.00954383
651.5000	0.00958485
651.0000	0.00962998
650.5000	0.00967601
650.0000	0.0096832
649.5000	0.00972311
649.0000	0.00978401
648.5000	0.00983359
648.0000	0.00986756
647.5000	0.0099121
647.0000	0.00993184
646.5000	0.00999929
646.0000	0.0100473
645.5000	0.0100993
645.0000	0.0101367
