TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	14/05/29
TIME	21:37:13
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     801
FIRSTY	     0.01504
MAXY	     1.99689
MINY	     0.01405
XYDATA
700.0000	0.0150373
699.5000	0.0150218
699.0000	0.0150247
698.5000	0.0149998
698.0000	0.0149888
697.5000	0.0149738
697.0000	0.0149677
696.5000	0.0149539
696.0000	0.0149353
695.5000	0.0149172
695.0000	0.0149128
694.5000	0.0148588
694.0000	0.0148351
693.5000	0.014805
693.0000	0.0147862
692.5000	0.0147522
692.0000	0.0147348
691.5000	0.0146796
691.0000	0.0146434
690.5000	0.014629
690.0000	0.0145973
689.5000	0.0145506
689.0000	0.014537
688.5000	0.0145507
688.0000	0.0145369
687.5000	0.0145133
687.0000	0.0144994
686.5000	0.0144776
686.0000	0.0144761
685.5000	0.0144614
685.0000	0.0144603
684.5000	0.0144258
684.0000	0.0144107
683.5000	0.014399
683.0000	0.0143802
682.5000	0.0143366
682.0000	0.0143075
681.5000	0.0142911
681.0000	0.0142745
680.5000	0.0142376
680.0000	0.0142262
679.5000	0.0141921
679.0000	0.0141623
678.5000	0.0141517
678.0000	0.0141521
677.5000	0.014142
677.0000	0.0141221
676.5000	0.0141176
676.0000	0.0140918
675.5000	0.0140923
675.0000	0.014074
674.5000	0.0140622
674.0000	0.0140554
673.5000	0.0140648
673.0000	0.0140705
672.5000	0.0140852
672.0000	0.0140706
671.5000	0.0140521
671.0000	0.0140616
670.5000	0.0140835
670.0000	0.0140986
669.5000	0.0141037
669.0000	0.0141248
668.5000	0.0141273
668.0000	0.0141494
667.5000	0.0141938
667.0000	0.0142029
666.5000	0.0142237
666.0000	0.0142549
665.5000	0.0143109
665.0000	0.0143488
664.5000	0.0143916
664.0000	0.0144296
663.5000	0.014495
663.0000	0.0145499
662.5000	0.0146116
662.0000	0.0146586
661.5000	0.0147415
661.0000	0.0147772
660.5000	0.0148374
660.0000	0.0148971
659.5000	0.014944
659.0000	0.0150074
658.5000	0.0150974
658.0000	0.0151717
657.5000	0.0152573
657.0000	0.0153097
656.5000	0.0154213
656.0000	0.0154875
655.5000	0.0155713
655.0000	0.0156286
654.5000	0.0157325
654.0000	0.015819
653.5000	0.0159279
653.0000	0.016025
652.5000	0.0161135
652.0000	0.0162037
651.5000	0.0163282
651.0000	0.0164061
650.5000	0.0165677
650.0000	0.0166639
649.5000	0.0168219
649.0000	0.0169522
648.5000	0.0171072
648.0000	0.0172209
647.5000	0.0173856
647.0000	0.0174849
646.5000	0.0176554
646.0000	0.0177893
645.5000	0.0179549
645.0000	0.0180731
