TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/01/24
TIME	18:41:45
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   114.81967
MAXY	  3231.05151
MINY	     2.96315
XYDATA
422.0000	114.82
422.5000	100.573
423.0000	84.7699
423.5000	68.4525
424.0000	52.7227
424.5000	39.1588
425.0000	28.196
425.5000	20.1621
426.0000	14.5867
426.5000	10.8969
427.0000	8.86027
427.5000	7.98947
428.0000	7.74544
428.5000	7.81722
429.0000	8.32314
429.5000	8.91117
430.0000	9.51573
430.5000	10.3793
431.0000	11.5075
431.5000	12.7932
432.0000	14.2536
432.5000	15.767
433.0000	17.5864
433.5000	19.9798
434.0000	22.7572
434.5000	25.8097
435.0000	29.6019
435.5000	34.1111
436.0000	39.4678
436.5000	45.6006
437.0000	52.7162
437.5000	61.3226
438.0000	71.2551
438.5000	82.7559
439.0000	96.4053
439.5000	111.631
440.0000	129.117
440.5000	149.558
441.0000	173.277
441.5000	201.072
442.0000	231.557
442.5000	265.346
443.0000	305.252
443.5000	350.165
444.0000	401.545
444.5000	459.119
445.0000	523.88
445.5000	596.736
446.0000	677.527
446.5000	768.103
447.0000	869.992
447.5000	979.96
448.0000	1098.41
448.5000	1225.76
449.0000	1362.14
449.5000	1505.66
450.0000	1652.51
450.5000	1802.49
451.0000	1955.55
451.5000	2106.62
452.0000	2256.72
452.5000	2402.8
453.0000	2537.41
453.5000	2662.84
454.0000	2777.17
454.5000	2881.73
455.0000	2972.13
455.5000	3050.07
456.0000	3110.97
456.5000	3158.55
457.0000	3195.65
457.5000	3218.19
458.0000	3229.62
458.5000	3231.05
459.0000	3222.47
459.5000	3202.85
460.0000	3176.23
460.5000	3143.89
461.0000	3102.82
461.5000	3055.44
462.0000	3003.09
462.5000	2948.25
463.0000	2887.93
463.5000	2826.46
464.0000	2760.2
464.5000	2691.13
465.0000	2622.06
465.5000	2555.32
466.0000	2483.78
466.5000	2414.08
467.0000	2345.35
467.5000	2275.75
468.0000	2210.47
468.5000	2143.55
469.0000	2079.94
469.5000	2023.1
470.0000	1969.72
470.5000	1917.98
471.0000	1867.56
471.5000	1820.88
472.0000	1778.94
472.5000	1743.24
473.0000	1710.98
473.5000	1684.8
474.0000	1661.76
474.5000	1644.32
475.0000	1634.64
475.5000	1629.71
476.0000	1630.23
476.5000	1635.16
477.0000	1645.11
477.5000	1662.26
478.0000	1682.52
478.5000	1706.45
479.0000	1737.61
479.5000	1772.02
480.0000	1807.3
480.5000	1844.57
481.0000	1884.41
481.5000	1923.87
482.0000	1963.41
482.5000	2003.5
483.0000	2042.23
483.5000	2077.91
484.0000	2110.32
484.5000	2143.01
485.0000	2169.04
485.5000	2193.36
486.0000	2214.57
486.5000	2232.93
487.0000	2246.61
487.5000	2255.27
488.0000	2257.79
488.5000	2257.33
489.0000	2250.92
489.5000	2241.86
490.0000	2224.28
490.5000	2201.53
491.0000	2177.12
491.5000	2144.83
492.0000	2107.03
492.5000	2065.23
493.0000	2017.96
493.5000	1967.38
494.0000	1915.44
494.5000	1863.38
495.0000	1808.98
495.5000	1751.36
496.0000	1695.22
496.5000	1637.97
497.0000	1582.3
497.5000	1525.45
498.0000	1469.6
498.5000	1417.4
499.0000	1366.99
499.5000	1316.29
500.0000	1267.29
500.5000	1219.44
501.0000	1174.08
501.5000	1133.56
502.0000	1094.34
502.5000	1056.42
503.0000	1020.67
503.5000	987.558
504.0000	955.806
504.5000	926.851
505.0000	900.248
505.5000	875.53
506.0000	851.026
506.5000	831.211
507.0000	813.691
507.5000	795.442
508.0000	779.478
508.5000	767.115
509.0000	755.581
509.5000	743.442
510.0000	733.284
510.5000	724.152
511.0000	716.275
511.5000	711.933
512.0000	706.951
512.5000	702.318
513.0000	699.681
513.5000	697.39
514.0000	694.971
514.5000	692.696
515.0000	691.958
515.5000	692.672
516.0000	692.649
516.5000	692.525
517.0000	692.345
517.5000	693.665
518.0000	696.168
518.5000	697.155
519.0000	697.805
519.5000	699.495
520.0000	700.732
520.5000	701.693
521.0000	703.536
521.5000	704.391
522.0000	704.269
522.5000	704.691
523.0000	705.779
523.5000	707.319
524.0000	707.438
524.5000	706.11
525.0000	705.374
525.5000	704.117
526.0000	703.109
526.5000	701.75
527.0000	699.051
527.5000	697.465
528.0000	695.073
528.5000	691.503
529.0000	687.298
529.5000	682.692
530.0000	678.125
530.5000	673.461
531.0000	668.132
531.5000	661.909
532.0000	655.112
532.5000	648.777
533.0000	642.123
533.5000	634.567
534.0000	627.287
534.5000	619.971
535.0000	610.907
535.5000	602.729
536.0000	595.692
536.5000	586.753
537.0000	578.305
537.5000	569.601
538.0000	561.253
538.5000	552.106
539.0000	543.683
539.5000	535.276
540.0000	526.224
540.5000	516.001
541.0000	507.547
541.5000	498.884
542.0000	490.884
542.5000	482.178
543.0000	474.64
543.5000	467.349
544.0000	459.276
544.5000	452.213
545.0000	444.608
545.5000	437.681
