TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/01/24
TIME	11:35:10
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   142.19429
MAXY	  1359.85266
MINY	     2.15066
XYDATA
422.0000	142.194
422.5000	124.782
423.0000	104.552
423.5000	83.3325
424.0000	63.3295
424.5000	45.6484
425.0000	31.0838
425.5000	20.3254
426.0000	13.2861
426.5000	8.68842
427.0000	6.12038
427.5000	4.74494
428.0000	4.13732
428.5000	3.91469
429.0000	4.00654
429.5000	4.24197
430.0000	4.48324
430.5000	4.91125
431.0000	5.29948
431.5000	5.69108
432.0000	6.25285
432.5000	6.94929
433.0000	7.77707
433.5000	8.73824
434.0000	9.80904
434.5000	11.1158
435.0000	12.8781
435.5000	14.6565
436.0000	16.826
436.5000	19.5414
437.0000	22.4858
437.5000	26.0022
438.0000	30.27
438.5000	35.1506
439.0000	40.7121
439.5000	47.2245
440.0000	54.8416
440.5000	63.3132
441.0000	72.977
441.5000	84.7478
442.0000	98.133
442.5000	112.453
443.0000	128.809
443.5000	148.13
444.0000	170.242
444.5000	195.102
445.0000	221.998
445.5000	253.118
446.0000	288.363
446.5000	327.029
447.0000	370.916
447.5000	418.096
448.0000	468.519
448.5000	524.225
449.0000	582.589
449.5000	643.959
450.0000	707.752
450.5000	772.256
451.0000	837.884
451.5000	902.106
452.0000	964.885
452.5000	1024.73
453.0000	1082.37
453.5000	1134.13
454.0000	1182.84
454.5000	1226.19
455.0000	1263.97
455.5000	1294.4
456.0000	1317.87
456.5000	1337.1
457.0000	1349.95
457.5000	1357.73
458.0000	1359.85
458.5000	1359.04
459.0000	1353.68
459.5000	1343.2
460.0000	1329
460.5000	1313.78
461.0000	1293.84
461.5000	1272.81
462.0000	1250.06
462.5000	1223.74
463.0000	1197.7
463.5000	1169.65
464.0000	1139.51
464.5000	1110.79
465.0000	1081.37
465.5000	1051.45
466.0000	1021.46
466.5000	991.785
467.0000	961.835
467.5000	933.645
468.0000	905.316
468.5000	877.859
469.0000	852.492
469.5000	827.777
470.0000	804.655
470.5000	782.804
471.0000	762.369
471.5000	743.171
472.0000	727.233
472.5000	712.701
473.0000	699.188
473.5000	688.392
474.0000	679.038
474.5000	671.621
475.0000	668.907
475.5000	666.61
476.0000	666.639
476.5000	669.401
477.0000	674.936
477.5000	682.163
478.0000	690.993
478.5000	701.599
479.0000	715.135
479.5000	729.109
480.0000	743.304
480.5000	759.367
481.0000	776.243
481.5000	793.024
482.0000	810.366
482.5000	825.429
483.0000	839.241
483.5000	855.622
484.0000	869.102
484.5000	881.221
485.0000	892.87
485.5000	902.214
486.0000	909.951
486.5000	915.31
487.0000	920.861
487.5000	923.776
488.0000	924.621
488.5000	923.715
489.0000	920.538
489.5000	914.917
490.0000	906.59
490.5000	897.071
491.0000	886.205
491.5000	872.84
492.0000	856.78
492.5000	837.74
493.0000	818.053
493.5000	797.751
494.0000	777.158
494.5000	753.962
495.0000	731.145
495.5000	707.528
496.0000	683.743
496.5000	660.089
497.0000	636.306
497.5000	613.881
498.0000	590.964
498.5000	568.899
499.0000	547.017
499.5000	526.886
500.0000	507.222
500.5000	487.523
501.0000	469.342
501.5000	452.631
502.0000	435.646
502.5000	420.574
503.0000	405.813
503.5000	391.824
504.0000	379.896
504.5000	368.34
505.0000	358.1
505.5000	347.524
506.0000	338.264
506.5000	330.876
507.0000	323.082
507.5000	316.411
508.0000	309.895
508.5000	303.763
509.0000	298.744
509.5000	294.665
510.0000	290.501
510.5000	287.651
511.0000	284.633
511.5000	281.935
512.0000	279.844
512.5000	277.791
513.0000	276.794
513.5000	275.865
514.0000	275.717
514.5000	275.39
515.0000	274.354
515.5000	274.539
516.0000	275.13
516.5000	275.812
517.0000	275.904
517.5000	275.797
518.0000	276.094
518.5000	276.957
519.0000	277.509
519.5000	277.914
520.0000	277.96
520.5000	278.661
521.0000	279.715
521.5000	280.004
522.0000	280.821
522.5000	280.283
523.0000	279.643
523.5000	279.846
524.0000	280.415
524.5000	279.709
525.0000	279.409
525.5000	279.046
526.0000	278.449
526.5000	277.692
527.0000	277.083
527.5000	275.991
528.0000	275.058
528.5000	273.411
529.0000	271.547
529.5000	269.421
530.0000	268.624
530.5000	266.363
531.0000	264.59
531.5000	262.321
532.0000	259.738
532.5000	257.237
533.0000	254.763
533.5000	252.345
534.0000	249.72
534.5000	246.771
535.0000	244.082
535.5000	241.095
536.0000	237.255
536.5000	234.05
537.0000	231.324
537.5000	227.691
538.0000	224.402
538.5000	221.488
539.0000	219.038
539.5000	215.441
540.0000	212.762
540.5000	208.158
541.0000	205.063
541.5000	202.081
542.0000	199.237
542.5000	196.402
543.0000	193.317
543.5000	190.515
544.0000	187.524
544.5000	184.563
545.0000	182.409
545.5000	179.889
546.0000	177.399
546.5000	175.301
547.0000	172.909
547.5000	170.503
548.0000	168.088
548.5000	165.845
549.0000	163.708
549.5000	162.317
550.0000	160.474
