TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/01/28
TIME	14:35:15
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   111.14501
MAXY	  2937.88916
MINY	     3.28023
XYDATA
422.0000	111.145
422.5000	97.0114
423.0000	81.8243
423.5000	67.2634
424.0000	52.9628
424.5000	39.7417
425.0000	28.8627
425.5000	20.6267
426.0000	15.0223
426.5000	11.1439
427.0000	8.81129
427.5000	7.73644
428.0000	7.37935
428.5000	7.34031
429.0000	7.63111
429.5000	8.22106
430.0000	8.80083
430.5000	9.60148
431.0000	10.5372
431.5000	11.6846
432.0000	12.9691
432.5000	14.5057
433.0000	16.2594
433.5000	18.3318
434.0000	20.8296
434.5000	23.9086
435.0000	27.2627
435.5000	31.1983
436.0000	36.0548
436.5000	41.8633
437.0000	48.4157
437.5000	56.2761
438.0000	65.4382
438.5000	75.6963
439.0000	88.357
439.5000	102.933
440.0000	119.248
440.5000	137.731
441.0000	159.531
441.5000	184.44
442.0000	213.198
442.5000	245.694
443.0000	281.755
443.5000	323.121
444.0000	370.459
444.5000	424.228
445.0000	484.167
445.5000	551.298
446.0000	626.849
446.5000	710.197
447.0000	803.247
447.5000	905.918
448.0000	1014.45
448.5000	1131.07
449.0000	1255.58
449.5000	1387.04
450.0000	1522.61
450.5000	1659.17
451.0000	1797.76
451.5000	1933.7
452.0000	2068.17
452.5000	2198.69
453.0000	2321.17
453.5000	2433.82
454.0000	2536.21
454.5000	2629.51
455.0000	2712.17
455.5000	2779.82
456.0000	2835.17
456.5000	2876.95
457.0000	2911.23
457.5000	2929.89
458.0000	2937.89
458.5000	2937.82
459.0000	2927.38
459.5000	2907.98
460.0000	2883.68
460.5000	2851.4
461.0000	2812.56
461.5000	2769.04
462.0000	2721.02
462.5000	2668.28
463.0000	2609.04
463.5000	2549.08
464.0000	2488.71
464.5000	2426.6
465.0000	2363.02
465.5000	2297.72
466.0000	2229.93
466.5000	2166.15
467.0000	2102.55
467.5000	2039.33
468.0000	1980.86
468.5000	1921.27
469.0000	1864.24
469.5000	1809.99
470.0000	1756.87
470.5000	1707.66
471.0000	1661.04
471.5000	1620.79
472.0000	1584.95
472.5000	1552.01
473.0000	1521.88
473.5000	1497.86
474.0000	1477.76
474.5000	1462.94
475.0000	1453.63
475.5000	1447.6
476.0000	1446.6
476.5000	1451.51
477.0000	1464.58
477.5000	1479.55
478.0000	1498.81
478.5000	1522.04
479.0000	1551.28
479.5000	1580.96
480.0000	1612.73
480.5000	1646.66
481.0000	1683.04
481.5000	1720.99
482.0000	1758.55
482.5000	1793.18
483.0000	1825.13
483.5000	1857.75
484.0000	1889.3
484.5000	1917.86
485.0000	1943.42
485.5000	1964.35
486.0000	1983.01
486.5000	1996.68
487.0000	2006.21
487.5000	2015.53
488.0000	2020.35
488.5000	2021.27
489.0000	2014.85
489.5000	2002.82
490.0000	1988.12
490.5000	1968.78
491.0000	1942.32
491.5000	1912.87
492.0000	1880.1
492.5000	1840.33
493.0000	1798.38
493.5000	1755.37
494.0000	1709.67
494.5000	1660.94
495.0000	1608.89
495.5000	1555.23
496.0000	1504.91
496.5000	1453.87
497.0000	1402.91
497.5000	1353.69
498.0000	1302.17
498.5000	1253.62
499.0000	1207.64
499.5000	1160.72
500.0000	1118.67
500.5000	1075.67
501.0000	1035.43
501.5000	998.092
502.0000	960.807
502.5000	926.925
503.0000	895.229
503.5000	865.26
504.0000	838.597
504.5000	812.232
505.0000	787.829
505.5000	765.354
506.0000	743.628
506.5000	725.744
507.0000	709.253
507.5000	693.342
508.0000	678.836
508.5000	666.292
509.0000	655.707
509.5000	646.884
510.0000	637.448
510.5000	630.034
511.0000	624.176
511.5000	617.748
512.0000	613.417
512.5000	610.682
513.0000	607.271
513.5000	605.043
514.0000	603.565
514.5000	602.34
515.0000	601.789
515.5000	601.588
516.0000	601.89
516.5000	601.831
517.0000	602.953
517.5000	604.566
518.0000	606.467
518.5000	607.202
519.0000	608.246
519.5000	609.643
520.0000	611.051
520.5000	612.23
521.0000	614.391
521.5000	615.133
522.0000	616.029
522.5000	616.243
523.0000	617.68
523.5000	618.504
524.0000	618.239
524.5000	617.073
525.0000	616.835
525.5000	615.93
526.0000	614.524
526.5000	613.071
527.0000	612.217
527.5000	609.456
528.0000	606.876
528.5000	604.602
529.0000	601.339
529.5000	597.274
530.0000	592.914
530.5000	588.22
531.0000	584.416
531.5000	579.076
532.0000	573.423
532.5000	568.736
533.0000	561.842
533.5000	554.998
534.0000	549.496
534.5000	542.465
535.0000	535.426
535.5000	528.055
536.0000	520.643
536.5000	513.822
537.0000	506.135
537.5000	497.318
538.0000	490.523
538.5000	482.693
539.0000	475.59
539.5000	468.956
540.0000	461.244
540.5000	451.521
541.0000	444.21
541.5000	437.227
542.0000	430.915
542.5000	422.916
543.0000	416.265
543.5000	409.278
544.0000	402.651
544.5000	395.508
545.0000	389.33
545.5000	383.1
