TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/02/07
TIME	12:31:12
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  448.0000
LASTX	  700.0000
NPOINTS	     505
FIRSTY	   671.46350
MAXY	  1719.75623
MINY	     1.47154
XYDATA
448.0000	671.464
448.5000	733.23
449.0000	798.463
449.5000	867.364
450.0000	937.568
450.5000	1008.4
451.0000	1080.16
451.5000	1152.1
452.0000	1225.9
452.5000	1297.71
453.0000	1364.79
453.5000	1429.6
454.0000	1489.86
454.5000	1543.68
455.0000	1590.34
455.5000	1628.23
456.0000	1659.88
456.5000	1685.52
457.0000	1704.72
457.5000	1715.98
458.0000	1719.76
458.5000	1718.92
459.0000	1711.19
459.5000	1700.33
460.0000	1685.02
460.5000	1664.52
461.0000	1641.57
461.5000	1614.44
462.0000	1584.7
462.5000	1553.2
463.0000	1518.33
463.5000	1483.51
464.0000	1448.66
464.5000	1411.46
465.0000	1371.84
465.5000	1331.82
466.0000	1292.72
466.5000	1254.85
467.0000	1216.71
467.5000	1179.57
468.0000	1142.58
468.5000	1107.31
469.0000	1072.51
469.5000	1039.63
470.0000	1008.79
470.5000	979.522
471.0000	951.118
471.5000	926.316
472.0000	903.794
472.5000	884.058
473.0000	865.134
473.5000	849.973
474.0000	837.921
474.5000	827.659
475.0000	821.26
475.5000	818.432
476.0000	818.382
476.5000	821.089
477.0000	826.346
477.5000	833.151
478.0000	843.931
478.5000	856.807
479.0000	871.819
479.5000	888.939
480.0000	907.073
480.5000	925.767
481.0000	944.604
481.5000	964.435
482.0000	985.12
482.5000	1005.41
483.0000	1024.52
483.5000	1041.51
484.0000	1057.69
484.5000	1072.44
485.0000	1084.8
485.5000	1097.07
486.0000	1106.02
486.5000	1113.19
487.0000	1118.95
487.5000	1121.05
488.0000	1121.21
488.5000	1119.78
489.0000	1116.2
489.5000	1108.7
490.0000	1099
490.5000	1086.57
491.0000	1070.63
491.5000	1053.55
492.0000	1033.31
492.5000	1009.63
493.0000	985.667
493.5000	960.62
494.0000	932.845
494.5000	904.723
495.0000	876.198
495.5000	846.324
496.0000	816.737
496.5000	787.05
497.0000	756.903
497.5000	727.728
498.0000	700.025
498.5000	672.663
499.0000	646.332
499.5000	619.698
500.0000	595.19
500.5000	571.22
501.0000	548.923
501.5000	527.522
502.0000	507.275
502.5000	488.499
503.0000	470.392
503.5000	452.741
504.0000	437.009
504.5000	421.724
505.0000	407.97
505.5000	395.198
506.0000	383.622
506.5000	373.555
507.0000	364.119
507.5000	354.924
508.0000	346.934
508.5000	339.316
509.0000	332.586
509.5000	327.539
510.0000	322.568
510.5000	317.819
511.0000	313.855
511.5000	311.089
512.0000	307.714
512.5000	305.197
513.0000	303.16
513.5000	301.99
514.0000	300.998
514.5000	299.704
515.0000	298.765
515.5000	298.484
516.0000	298.313
516.5000	298.708
517.0000	298.798
517.5000	298.872
518.0000	299.089
518.5000	299.477
519.0000	300.667
519.5000	300.649
520.0000	300.807
520.5000	301.623
521.0000	301.917
521.5000	302.291
522.0000	302.573
522.5000	303.146
523.0000	303.125
523.5000	302.789
524.0000	302.379
524.5000	301.815
525.0000	301.717
525.5000	301.516
526.0000	301.096
526.5000	300.302
527.0000	298.871
527.5000	297.399
528.0000	295.555
528.5000	293.796
529.0000	292.374
529.5000	290.563
530.0000	288.021
530.5000	286.492
531.0000	283.468
531.5000	280.832
532.0000	277.712
532.5000	274.435
533.0000	271.476
533.5000	268.426
534.0000	265.062
534.5000	261.467
535.0000	257.636
535.5000	253.645
536.0000	249.931
536.5000	246.496
537.0000	242.873
537.5000	238.338
538.0000	234.486
538.5000	230.461
539.0000	226.509
539.5000	222.86
540.0000	219.167
540.5000	214.873
541.0000	211.034
541.5000	207.119
542.0000	203.104
542.5000	199.516
543.0000	196.408
543.5000	193.229
544.0000	189.697
544.5000	186.601
545.0000	183.295
545.5000	180.092
546.0000	177.361
546.5000	174.523
547.0000	171.675
547.5000	169.033
548.0000	166.265
548.5000	163.969
549.0000	161.248
549.5000	159.035
550.0000	156.966
550.5000	154.702
551.0000	152.505
551.5000	150.557
552.0000	148.642
552.5000	146.692
553.0000	144.797
553.5000	143.261
554.0000	141.383
554.5000	139.727
555.0000	138.601
555.5000	137.112
556.0000	135.492
556.5000	134.162
557.0000	132.931
557.5000	131.687
558.0000	129.809
558.5000	128.525
559.0000	127.605
559.5000	126.355
560.0000	124.904
560.5000	123.589
561.0000	122.413
561.5000	121.547
562.0000	120.31
562.5000	119.067
563.0000	117.874
563.5000	116.666
564.0000	115.407
564.5000	114.474
565.0000	113.213
565.5000	111.554
566.0000	110.213
566.5000	109.192
567.0000	108.123
567.5000	106.834
568.0000	105.635
568.5000	104.415
569.0000	103.104
569.5000	101.76
570.0000	100.415
570.5000	99.1949
571.0000	97.9638
571.5000	96.8228
572.0000	95.4996
572.5000	93.9028
573.0000	92.8715
573.5000	91.6696
574.0000	90.3361
574.5000	88.7921
575.0000	87.3046
575.5000	86.371
