TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/02/07
TIME	11:28:18
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  448.0000
LASTX	  700.0000
NPOINTS	     505
FIRSTY	   484.85428
MAXY	  1278.39722
MINY	     2.09623
XYDATA
448.0000	484.854
448.5000	532.256
449.0000	582.268
449.5000	633.381
450.0000	686.298
450.5000	741.05
451.0000	796.157
451.5000	851.278
452.0000	907.062
452.5000	963.004
453.0000	1016.12
453.5000	1063.64
454.0000	1107.95
454.5000	1149.03
455.0000	1184.8
455.5000	1213.55
456.0000	1237.63
456.5000	1255.09
457.0000	1267.78
457.5000	1275.38
458.0000	1278.4
458.5000	1276.72
459.0000	1271.7
459.5000	1263.19
460.0000	1251.53
460.5000	1236.4
461.0000	1218.49
461.5000	1200.07
462.0000	1179.45
462.5000	1156.37
463.0000	1130.39
463.5000	1103.59
464.0000	1078.09
464.5000	1049.92
465.0000	1022.04
465.5000	993.633
466.0000	966.366
466.5000	938.093
467.0000	909.575
467.5000	882.481
468.0000	856.227
468.5000	830.365
469.0000	805.469
469.5000	782.225
470.0000	760.084
470.5000	738.738
471.0000	718.037
471.5000	699.698
472.0000	683.609
472.5000	669.854
473.0000	656.968
473.5000	645.47
474.0000	636.721
474.5000	629.559
475.0000	625.644
475.5000	623.56
476.0000	622.106
476.5000	625.103
477.0000	629.19
477.5000	634.983
478.0000	642.672
478.5000	651.981
479.0000	663.459
479.5000	675.802
480.0000	689.621
480.5000	704.491
481.0000	718.86
481.5000	733.149
482.0000	747.698
482.5000	762.929
483.0000	776.821
483.5000	789.845
484.0000	802.909
484.5000	814.482
485.0000	824.394
485.5000	833.535
486.0000	841.007
486.5000	847.1
487.0000	851.005
487.5000	853.927
488.0000	855.695
488.5000	855.074
489.0000	851.683
489.5000	847.901
490.0000	841.123
490.5000	831.671
491.0000	821.013
491.5000	808.719
492.0000	794.823
492.5000	778.628
493.0000	761.348
493.5000	742.004
494.0000	722.117
494.5000	700.847
495.0000	678.927
495.5000	657.263
496.0000	635.385
496.5000	613.442
497.0000	591.985
497.5000	570.909
498.0000	549.235
498.5000	529.286
499.0000	509.23
499.5000	490.468
500.0000	472.122
500.5000	453.476
501.0000	435.99
501.5000	419.459
502.0000	404.507
502.5000	390.864
503.0000	377.468
503.5000	364.205
504.0000	351.884
504.5000	341.29
505.0000	331.764
505.5000	322.025
506.0000	313.046
506.5000	305.272
507.0000	298.37
507.5000	292.208
508.0000	285.725
508.5000	280.418
509.0000	275.585
509.5000	271.072
510.0000	267.474
510.5000	264.37
511.0000	261.964
511.5000	259.483
512.0000	258.009
512.5000	256.909
513.0000	255.459
513.5000	254.467
514.0000	253.426
514.5000	252.401
515.0000	252.016
515.5000	252.115
516.0000	252.268
516.5000	252.467
517.0000	252.5
517.5000	252.588
518.0000	253.073
518.5000	254.005
519.0000	254.161
519.5000	254.923
520.0000	255.716
520.5000	255.739
521.0000	256.291
521.5000	256.947
522.0000	256.935
522.5000	256.835
523.0000	257.402
523.5000	257.684
524.0000	257.523
524.5000	257.191
525.0000	257.056
525.5000	256.766
526.0000	256.556
526.5000	255.777
527.0000	255.242
527.5000	254.359
528.0000	253.355
528.5000	252.063
529.0000	250.646
529.5000	249.871
530.0000	247.946
530.5000	246.202
531.0000	244.518
531.5000	242.623
532.0000	240.177
532.5000	238.233
533.0000	236.363
533.5000	233.648
534.0000	230.62
534.5000	227.865
535.0000	225.309
535.5000	222.656
536.0000	219.858
536.5000	216.734
537.0000	214.124
537.5000	211.044
538.0000	208.352
538.5000	205.409
539.0000	201.933
539.5000	199.059
540.0000	196.675
540.5000	192.061
541.0000	188.965
541.5000	186.375
542.0000	183.957
542.5000	181.136
543.0000	178.208
543.5000	175.847
544.0000	173.487
544.5000	171.063
545.0000	168.669
545.5000	166.141
546.0000	163.535
546.5000	161.439
547.0000	159.444
547.5000	157.439
548.0000	155.387
548.5000	153.395
549.0000	151.576
549.5000	149.614
550.0000	147.404
550.5000	145.843
551.0000	144.465
551.5000	143.335
552.0000	141.554
552.5000	140.074
553.0000	138.666
553.5000	137.205
554.0000	135.128
554.5000	134.068
555.0000	132.691
555.5000	131.933
556.0000	130.547
556.5000	129.262
557.0000	128.072
557.5000	127.253
558.0000	125.877
558.5000	124.891
559.0000	124.174
559.5000	122.974
560.0000	121.713
560.5000	120.778
561.0000	119.769
561.5000	118.685
562.0000	117.881
562.5000	116.66
563.0000	115.686
563.5000	114.731
564.0000	113.397
564.5000	112.409
565.0000	111.534
565.5000	110.407
566.0000	109.467
566.5000	108.144
567.0000	106.826
567.5000	105.636
568.0000	104.693
568.5000	103.392
569.0000	102.265
569.5000	101.438
570.0000	100.309
570.5000	99.0345
571.0000	98.0143
571.5000	96.9448
572.0000	95.5652
572.5000	94.4426
573.0000	93.6138
573.5000	92.3372
574.0000	90.8435
574.5000	89.7251
575.0000	88.735
575.5000	87.7034
576.0000	86.3617
576.5000	84.9227
577.0000	84.2185
577.5000	83.1012
