TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/02/07
TIME	11:39:12
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  448.0000
LASTX	  700.0000
NPOINTS	     505
FIRSTY	  1022.75787
MAXY	  2858.55298
MINY	     2.96594
XYDATA
448.0000	1022.76
448.5000	1130.84
449.0000	1243.57
449.5000	1362.56
450.0000	1486.01
450.5000	1611.86
451.0000	1738.89
451.5000	1864.57
452.0000	1990.56
452.5000	2114.33
453.0000	2233.97
453.5000	2343.39
454.0000	2445.62
454.5000	2538.72
455.0000	2621.81
455.5000	2689.12
456.0000	2744.1
456.5000	2789.46
457.0000	2824.51
457.5000	2846.77
458.0000	2857.35
458.5000	2858.55
459.0000	2851.16
459.5000	2836.44
460.0000	2813.41
460.5000	2783.06
461.0000	2748.3
461.5000	2706.46
462.0000	2659.58
462.5000	2609.59
463.0000	2555.14
463.5000	2498.71
464.0000	2438.71
464.5000	2376.95
465.0000	2315.15
465.5000	2250.79
466.0000	2185.31
466.5000	2123.61
467.0000	2061.25
467.5000	1999.88
468.0000	1939.69
468.5000	1880.97
469.0000	1824.37
469.5000	1769.44
470.0000	1719.81
470.5000	1672.06
471.0000	1624.67
471.5000	1581.85
472.0000	1544.94
472.5000	1511.2
473.0000	1481.75
473.5000	1457.41
474.0000	1435.46
474.5000	1417.77
475.0000	1406.05
475.5000	1399.89
476.0000	1399.07
476.5000	1402.25
477.0000	1409.79
477.5000	1422.73
478.0000	1441.19
478.5000	1461.58
479.0000	1486.97
479.5000	1516.06
480.0000	1545.29
480.5000	1577.18
481.0000	1612.12
481.5000	1646.28
482.0000	1681.37
482.5000	1715.06
483.0000	1746.66
483.5000	1777.62
484.0000	1807.75
484.5000	1835.97
485.0000	1859.7
485.5000	1880.06
486.0000	1899.44
486.5000	1916.99
487.0000	1928.14
487.5000	1935.21
488.0000	1938.01
488.5000	1937.08
489.0000	1933.49
489.5000	1924.67
490.0000	1909.22
490.5000	1889.64
491.0000	1866.52
491.5000	1840.05
492.0000	1808.17
492.5000	1771.52
493.0000	1732.52
493.5000	1690.43
494.0000	1645.73
494.5000	1598.89
495.0000	1548.99
495.5000	1499.93
496.0000	1450.11
496.5000	1401.45
497.0000	1351.58
497.5000	1303.63
498.0000	1254.08
498.5000	1207.92
499.0000	1163.2
499.5000	1119.71
500.0000	1076.78
500.5000	1035.3
501.0000	996.341
501.5000	960.008
502.0000	924.39
502.5000	891.544
503.0000	861.663
503.5000	831.061
504.0000	803.233
504.5000	778.107
505.0000	754.96
505.5000	733.199
506.0000	712.837
506.5000	693.815
507.0000	677.39
507.5000	662.555
508.0000	649.584
508.5000	636.702
509.0000	624.691
509.5000	614.581
510.0000	605.903
510.5000	599.033
511.0000	593.307
511.5000	587.826
512.0000	582.752
512.5000	578.871
513.0000	575.904
513.5000	573.451
514.0000	572.228
514.5000	570.572
515.0000	569.882
515.5000	569.757
516.0000	569.036
516.5000	570.647
517.0000	571.682
517.5000	572.563
518.0000	573.769
518.5000	574.885
519.0000	576.434
519.5000	577.662
520.0000	579.226
520.5000	580.119
521.0000	581.221
521.5000	582.548
522.0000	583.624
522.5000	584.48
523.0000	585.516
523.5000	585.453
524.0000	585.364
524.5000	585.411
525.0000	584.889
525.5000	584.039
526.0000	582.466
526.5000	581.634
527.0000	581.102
527.5000	578.926
528.0000	576.423
528.5000	573.133
529.0000	570.405
529.5000	567.305
530.0000	564.145
530.5000	560.024
531.0000	555.231
531.5000	549.957
532.0000	544.221
532.5000	538.29
533.0000	532.462
533.5000	528.258
534.0000	521.192
534.5000	514.651
535.0000	507.471
535.5000	500.82
536.0000	493.946
536.5000	486.348
537.0000	479.103
537.5000	471.783
538.0000	464.862
538.5000	457.552
539.0000	449.316
539.5000	442.608
540.0000	435.777
540.5000	425.987
541.0000	418.926
541.5000	411.784
542.0000	404.863
542.5000	397.452
543.0000	391.134
543.5000	385.143
544.0000	378.46
544.5000	371.391
545.0000	365.086
545.5000	359.2
546.0000	353.85
546.5000	348.082
547.0000	343.159
547.5000	337.576
548.0000	331.75
548.5000	326.228
549.0000	321.45
549.5000	316.994
550.0000	312.439
550.5000	308.343
551.0000	303.726
551.5000	300.205
552.0000	295.915
552.5000	292.069
553.0000	288.423
553.5000	284.64
554.0000	281.741
554.5000	277.961
555.0000	274.747
555.5000	272.314
556.0000	268.811
556.5000	265.344
557.0000	262.618
557.5000	260.205
558.0000	257.703
558.5000	254.829
559.0000	252.173
559.5000	248.983
560.0000	245.734
560.5000	243.699
561.0000	241.241
561.5000	239.041
562.0000	236.663
562.5000	233.93
563.0000	231.334
563.5000	228.683
564.0000	226.259
564.5000	223.783
565.0000	221.209
565.5000	218.831
566.0000	216.313
566.5000	213.645
567.0000	211.225
567.5000	208.564
568.0000	205.64
568.5000	203.444
569.0000	200.714
569.5000	198.337
570.0000	196.438
570.5000	193.643
571.0000	190.751
571.5000	188.389
572.0000	186.015
572.5000	183.075
573.0000	180.838
573.5000	178.08
