TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/02/25
TIME	12:47:43
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  447.0000
LASTX	  700.0000
NPOINTS	     507
FIRSTY	   431.93643
MAXY	  1517.93152
MINY	     5.03752
XYDATA
447.0000	431.936
447.5000	480.052
448.0000	532.383
448.5000	588.643
449.0000	648.049
449.5000	712.03
450.0000	778.022
450.5000	845.642
451.0000	914.219
451.5000	981.662
452.0000	1049.54
452.5000	1115.26
453.0000	1177.84
453.5000	1235.39
454.0000	1288.95
454.5000	1337.81
455.0000	1380.62
455.5000	1417.01
456.0000	1447.56
456.5000	1472.61
457.0000	1493.23
457.5000	1506.86
458.0000	1514.68
458.5000	1517.93
459.0000	1517.71
459.5000	1513.82
460.0000	1505.53
460.5000	1492.89
461.0000	1478.52
461.5000	1460.58
462.0000	1440.34
462.5000	1417.13
463.0000	1392.02
463.5000	1365.58
464.0000	1338.84
464.5000	1309.42
465.0000	1279.6
465.5000	1249.12
466.0000	1218.28
466.5000	1188.75
467.0000	1158.82
467.5000	1127.64
468.0000	1098.29
468.5000	1068.51
469.0000	1041.49
469.5000	1015.61
470.0000	991.156
470.5000	966.501
471.0000	943.603
471.5000	922.867
472.0000	904.225
472.5000	887.765
473.0000	872.981
473.5000	860.286
474.0000	850.228
474.5000	842.385
475.0000	837.451
475.5000	835.373
476.0000	834.967
476.5000	836.664
477.0000	841.327
477.5000	848.264
478.0000	858.043
478.5000	869.322
479.0000	883.435
479.5000	898.315
480.0000	912.684
480.5000	929.371
481.0000	946.873
481.5000	965.755
482.0000	984.499
482.5000	1001.73
483.0000	1019.02
483.5000	1035.29
484.0000	1051.18
484.5000	1067.32
485.0000	1080.75
485.5000	1092.59
486.0000	1102.48
486.5000	1110.47
487.0000	1117.76
487.5000	1123.6
488.0000	1126.38
488.5000	1127.04
489.0000	1127.61
489.5000	1124.56
490.0000	1119.18
490.5000	1111.05
491.0000	1099.54
491.5000	1086.84
492.0000	1072.58
492.5000	1054.78
493.0000	1033.82
493.5000	1012.33
494.0000	989.234
494.5000	965.208
495.0000	941.157
495.5000	915.312
496.0000	889.659
496.5000	863.529
497.0000	837.35
497.5000	812.608
498.0000	787.442
498.5000	763.507
499.0000	739.242
499.5000	716.472
500.0000	694.488
500.5000	672.471
501.0000	651.082
501.5000	631.338
502.0000	612.715
502.5000	596.211
503.0000	579.964
503.5000	563.886
504.0000	549.857
504.5000	536.14
505.0000	524.33
505.5000	513.633
506.0000	503.461
506.5000	493.463
507.0000	485.03
507.5000	477.617
508.0000	471.586
508.5000	465.618
509.0000	459.938
509.5000	455.796
510.0000	451.957
510.5000	448.521
511.0000	446.748
511.5000	443.867
512.0000	441.716
512.5000	440.532
513.0000	439.495
513.5000	439.865
514.0000	440.152
514.5000	439.904
515.0000	440.562
515.5000	441.232
516.0000	442.184
516.5000	443.409
517.0000	444.458
517.5000	445.418
518.0000	446.729
518.5000	448.556
519.0000	449.094
519.5000	451.224
520.0000	453.311
520.5000	454.482
521.0000	455.808
521.5000	457.532
522.0000	459.124
522.5000	460.787
523.0000	462.353
523.5000	463.337
524.0000	464.879
524.5000	466.121
525.0000	467.19
525.5000	467.284
526.0000	468.95
526.5000	469.843
527.0000	469.63
527.5000	469.563
528.0000	469.219
528.5000	469.401
529.0000	468.776
529.5000	468.381
530.0000	467.882
530.5000	466.525
531.0000	465.65
531.5000	464.326
532.0000	461.821
532.5000	459.719
533.0000	457.6
533.5000	455.179
534.0000	452.774
534.5000	449.733
535.0000	446.62
535.5000	444.473
536.0000	440.544
536.5000	436.844
537.0000	433.101
537.5000	430.243
538.0000	427.222
538.5000	423.15
539.0000	420.098
539.5000	416.526
540.0000	412.106
540.5000	406.186
541.0000	402.397
541.5000	399.338
542.0000	395.582
542.5000	391.747
543.0000	387.851
543.5000	384.175
544.0000	380.659
544.5000	376.233
545.0000	372.602
545.5000	369.423
546.0000	365.64
546.5000	361.915
547.0000	358.977
547.5000	355.257
548.0000	351.917
548.5000	348.415
549.0000	345.29
549.5000	342.181
550.0000	339.098
550.5000	335.485
551.0000	332.148
551.5000	329.522
552.0000	327.284
552.5000	324.326
553.0000	320.991
553.5000	318.729
554.0000	315.664
554.5000	312.223
555.0000	309.576
555.5000	307.471
556.0000	304.815
556.5000	302.37
557.0000	300.151
557.5000	297.296
558.0000	294.013
558.5000	292.085
559.0000	289.593
559.5000	287.677
560.0000	284.68
560.5000	282.865
561.0000	279.786
561.5000	277.228
562.0000	275.024
562.5000	273.256
563.0000	270.615
563.5000	267.946
564.0000	265.285
564.5000	262.625
565.0000	260.177
565.5000	258.315
566.0000	255.834
566.5000	253.32
567.0000	250.712
567.5000	248.056
568.0000	245.667
568.5000	243.511
569.0000	241.109
569.5000	238.483
570.0000	235.937
570.5000	233.23
571.0000	230.9
571.5000	228.52
572.0000	226.277
572.5000	224.046
573.0000	221.219
573.5000	218.739
574.0000	216.342
574.5000	213.737
575.0000	211.11
