TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/03/14
TIME	12:46:00
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    92.85810
MAXY	    92.85810
MINY	     0.53233
XYDATA
422.0000	92.8581
422.5000	83.1146
423.0000	71.3556
423.5000	59.0863
424.0000	46.5678
424.5000	34.7924
425.0000	24.5546
425.5000	16.7699
426.0000	11.013
426.5000	6.76551
427.0000	4.23376
427.5000	2.5735
428.0000	1.53601
428.5000	1.02515
429.0000	0.798947
429.5000	0.681242
430.0000	0.578055
430.5000	0.532332
431.0000	0.566594
431.5000	0.602544
432.0000	0.578526
432.5000	0.55685
433.0000	0.565256
433.5000	0.561905
434.0000	0.562348
434.5000	0.558182
435.0000	0.582508
435.5000	0.608225
436.0000	0.658813
436.5000	0.667795
437.0000	0.676867
437.5000	0.667888
438.0000	0.67967
438.5000	0.725364
439.0000	0.764703
439.5000	0.788893
440.0000	0.81416
440.5000	0.838164
441.0000	0.848179
441.5000	0.849478
442.0000	0.913808
442.5000	0.954667
443.0000	0.972516
443.5000	1.01369
444.0000	1.0891
444.5000	1.16579
445.0000	1.20184
445.5000	1.20621
446.0000	1.22343
446.5000	1.28119
447.0000	1.35752
447.5000	1.3689
448.0000	1.38382
448.5000	1.44341
449.0000	1.46098
449.5000	1.46856
450.0000	1.48678
450.5000	1.62155
451.0000	1.68324
451.5000	1.65149
452.0000	1.6037
452.5000	1.70866
453.0000	1.75883
453.5000	1.77175
454.0000	1.8223
454.5000	1.81479
455.0000	1.75937
455.5000	1.85539
456.0000	1.91541
456.5000	1.95419
457.0000	1.93907
457.5000	1.95569
458.0000	1.95639
458.5000	2.01216
459.0000	2.08409
459.5000	2.08
460.0000	2.14983
460.5000	2.18572
461.0000	2.09855
461.5000	2.15772
462.0000	2.26004
462.5000	2.25715
463.0000	2.27357
463.5000	2.28333
464.0000	2.32813
464.5000	2.40717
465.0000	2.43591
465.5000	2.40722
466.0000	2.43952
466.5000	2.5094
467.0000	2.57149
467.5000	2.54348
468.0000	2.58881
468.5000	2.71438
469.0000	2.76515
469.5000	2.83539
470.0000	2.85586
470.5000	2.84448
471.0000	2.87364
471.5000	2.89927
472.0000	3.01655
472.5000	3.10739
473.0000	3.132
473.5000	3.11757
474.0000	3.20712
474.5000	3.26913
475.0000	3.24974
475.5000	3.28802
476.0000	3.38661
476.5000	3.39001
477.0000	3.3973
477.5000	3.41027
478.0000	3.48474
478.5000	3.51063
479.0000	3.65998
479.5000	3.66835
480.0000	3.72603
480.5000	3.83155
481.0000	3.82719
481.5000	3.89622
482.0000	3.99882
482.5000	4.01776
483.0000	4.16379
483.5000	4.23396
484.0000	4.19631
484.5000	4.2695
485.0000	4.43133
485.5000	4.49408
486.0000	4.56082
486.5000	4.62486
487.0000	4.72528
487.5000	4.72203
488.0000	4.8655
488.5000	5.01861
489.0000	4.99575
489.5000	5.03386
490.0000	5.12119
490.5000	5.15151
491.0000	5.17089
491.5000	5.22737
492.0000	5.14349
492.5000	5.11333
493.0000	5.15372
493.5000	5.1112
494.0000	5.03455
494.5000	5.0117
495.0000	4.90213
495.5000	4.8401
496.0000	4.78721
496.5000	4.71125
497.0000	4.67757
497.5000	4.51488
498.0000	4.41888
498.5000	4.45288
499.0000	4.38537
499.5000	4.38465
500.0000	4.25372
500.5000	4.17634
501.0000	4.13733
501.5000	4.04675
502.0000	3.9709
502.5000	4.05442
503.0000	4.0783
503.5000	3.96966
504.0000	3.90242
504.5000	3.99457
505.0000	3.91233
505.5000	3.86828
506.0000	3.90397
506.5000	3.88265
507.0000	3.8931
507.5000	3.85481
508.0000	3.93032
508.5000	3.95472
509.0000	3.93306
509.5000	3.94739
510.0000	3.94691
510.5000	3.94346
511.0000	3.96986
511.5000	3.9663
512.0000	3.93947
512.5000	3.97359
513.0000	3.97544
513.5000	4.00978
514.0000	4.01076
514.5000	3.99371
515.0000	4.03501
515.5000	4.08624
516.0000	4.04244
516.5000	4.06499
517.0000	4.04589
517.5000	4.03596
518.0000	4.12313
518.5000	4.23946
519.0000	4.18759
519.5000	4.19219
520.0000	4.25527
520.5000	4.22077
521.0000	4.19486
521.5000	4.20585
522.0000	4.25873
522.5000	4.24939
523.0000	4.22037
523.5000	4.28511
524.0000	4.34912
524.5000	4.33737
525.0000	4.29186
525.5000	4.31539
526.0000	4.49225
526.5000	4.59609
527.0000	4.54246
527.5000	4.52416
528.0000	4.49626
528.5000	4.61752
529.0000	4.63826
529.5000	4.66769
530.0000	4.68184
530.5000	4.69484
531.0000	4.80345
531.5000	4.87921
532.0000	4.6966
532.5000	4.67212
533.0000	4.84248
533.5000	4.94494
534.0000	4.96433
534.5000	4.94899
535.0000	4.97794
535.5000	4.98893
536.0000	4.98126
536.5000	5.04615
537.0000	5.06102
537.5000	5.07154
538.0000	5.09855
538.5000	5.12967
539.0000	5.13541
539.5000	5.11484
540.0000	5.09919
540.5000	5.21784
