TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/03/25
TIME	14:34:28
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  450.0000
LASTX	  700.0000
NPOINTS	     501
FIRSTY	   158.54869
MAXY	   295.18283
MINY	     0.45403
XYDATA
450.0000	158.549
450.5000	167.76
451.0000	176.572
451.5000	185.366
452.0000	194.121
452.5000	203.163
453.0000	212.345
453.5000	221.448
454.0000	230.711
454.5000	239.954
455.0000	249.235
455.5000	257.902
456.0000	265.655
456.5000	272.769
457.0000	279.068
457.5000	284.362
458.0000	288.547
458.5000	291.686
459.0000	293.786
459.5000	294.872
460.0000	295.183
460.5000	294.323
461.0000	292.584
461.5000	290.211
462.0000	287.23
462.5000	283.329
463.0000	278.623
463.5000	273.645
464.0000	268.206
464.5000	262.231
465.0000	255.85
465.5000	249.34
466.0000	242.449
466.5000	235.472
467.0000	228.65
467.5000	221.491
468.0000	214.535
468.5000	207.672
469.0000	200.773
469.5000	194.329
470.0000	188.23
470.5000	182.421
471.0000	176.843
471.5000	171.408
472.0000	166.49
472.5000	162.002
473.0000	157.999
473.5000	154.552
474.0000	151.475
474.5000	148.91
475.0000	146.923
475.5000	145.372
476.0000	144.384
476.5000	143.948
477.0000	144.118
477.5000	144.67
478.0000	145.712
478.5000	147.281
479.0000	149.117
479.5000	151.511
480.0000	154.019
480.5000	156.528
481.0000	159.318
481.5000	162.263
482.0000	165.183
482.5000	168.077
483.0000	170.592
483.5000	173.109
484.0000	175.316
484.5000	177.188
485.0000	178.809
485.5000	179.952
486.0000	180.821
486.5000	181.43
487.0000	181.636
487.5000	181.391
488.0000	180.811
488.5000	179.647
489.0000	178.145
489.5000	176.247
490.0000	173.829
490.5000	171.035
491.0000	167.879
491.5000	164.285
492.0000	160.429
492.5000	156.114
493.0000	151.623
493.5000	147.034
494.0000	142.051
494.5000	136.994
495.0000	131.997
495.5000	126.78
496.0000	121.862
496.5000	116.886
497.0000	112.059
497.5000	107.337
498.0000	102.653
498.5000	98.1223
499.0000	93.874
499.5000	89.6986
500.0000	85.7226
500.5000	81.8901
501.0000	78.2035
501.5000	74.7872
502.0000	71.5286
502.5000	68.4438
503.0000	65.5109
503.5000	62.8109
504.0000	60.2678
504.5000	57.8596
505.0000	55.6214
505.5000	53.5642
506.0000	51.6246
506.5000	49.8501
507.0000	48.2718
507.5000	46.7768
508.0000	45.4396
508.5000	44.1695
509.0000	43.0592
509.5000	42.08
510.0000	41.14
510.5000	40.1858
511.0000	39.4209
511.5000	38.7942
512.0000	38.2066
512.5000	37.6334
513.0000	37.1244
513.5000	36.7536
514.0000	36.4205
514.5000	36.0844
515.0000	35.7866
515.5000	35.5606
516.0000	35.3612
516.5000	35.177
517.0000	34.9832
517.5000	34.8424
518.0000	34.7232
518.5000	34.5549
519.0000	34.3705
519.5000	34.3076
520.0000	34.2029
520.5000	34.0731
521.0000	33.9497
521.5000	33.8015
522.0000	33.7326
522.5000	33.5953
523.0000	33.3161
523.5000	33.188
524.0000	33.0169
524.5000	32.7847
525.0000	32.6127
525.5000	32.3751
526.0000	32.16
526.5000	31.9166
527.0000	31.6662
527.5000	31.3211
528.0000	31.0718
528.5000	30.7296
529.0000	30.4017
529.5000	30.0519
530.0000	29.7238
530.5000	29.3683
531.0000	28.9765
531.5000	28.6293
532.0000	28.2312
532.5000	27.7937
533.0000	27.4244
533.5000	27.0537
534.0000	26.611
534.5000	26.2179
535.0000	25.7994
535.5000	25.3757
536.0000	24.9737
536.5000	24.516
537.0000	24.0879
537.5000	23.6992
538.0000	23.3342
538.5000	22.8967
539.0000	22.4812
539.5000	22.0849
540.0000	21.726
540.5000	21.1412
541.0000	20.8102
541.5000	20.4364
542.0000	20.1106
542.5000	19.7449
543.0000	19.4202
543.5000	19.143
544.0000	18.87
544.5000	18.532
545.0000	18.2634
545.5000	18.0123
546.0000	17.7997
546.5000	17.5281
547.0000	17.2899
547.5000	17.0707
548.0000	16.849
548.5000	16.6539
549.0000	16.4419
549.5000	16.2653
550.0000	16.1423
550.5000	16.0008
551.0000	15.8182
551.5000	15.6794
552.0000	15.5368
552.5000	15.4149
553.0000	15.3043
553.5000	15.2086
554.0000	15.0917
554.5000	15.0078
555.0000	14.9756
555.5000	14.9171
556.0000	14.8207
556.5000	14.7196
557.0000	14.6663
557.5000	14.6217
558.0000	14.5848
558.5000	14.5554
559.0000	14.499
559.5000	14.4475
560.0000	14.389
560.5000	14.3458
561.0000	14.331
561.5000	14.3094
562.0000	14.2724
562.5000	14.221
563.0000	14.1834
563.5000	14.1302
564.0000	14.0849
564.5000	14.07
565.0000	13.9939
565.5000	13.9327
566.0000	13.8676
566.5000	13.8324
567.0000	13.7647
567.5000	13.7251
568.0000	13.6303
568.5000	13.5692
569.0000	13.5071
569.5000	13.4227
570.0000	13.3229
570.5000	13.2146
571.0000	13.1319
571.5000	13.0418
572.0000	12.9386
572.5000	12.8598
573.0000	12.7933
573.5000	12.7129
574.0000	12.6008
