TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/03/25
TIME	14:27:33
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  423.0000
LASTX	  700.0000
NPOINTS	     555
FIRSTY	    63.06807
MAXY	   588.32520
MINY	     0.82338
XYDATA
423.0000	63.0681
423.5000	59.1439
424.0000	53.588
424.5000	47.0267
425.0000	39.7052
425.5000	32.332
426.0000	25.5076
426.5000	19.3227
427.0000	14.0734
427.5000	9.88059
428.0000	6.52643
428.5000	4.38198
429.0000	3.09325
429.5000	2.33648
430.0000	2.09451
430.5000	2.0805
431.0000	2.16185
431.5000	2.34057
432.0000	2.53709
432.5000	2.78707
433.0000	3.07466
433.5000	3.42684
434.0000	3.81886
434.5000	4.25297
435.0000	4.80466
435.5000	5.41001
436.0000	6.1283
436.5000	7.00493
437.0000	8.02432
437.5000	9.19084
438.0000	10.496
438.5000	12.0071
439.0000	13.7985
439.5000	15.8548
440.0000	18.1596
440.5000	20.8317
441.0000	23.7862
441.5000	27.1325
442.0000	30.9736
442.5000	35.2809
443.0000	40.1714
443.5000	45.5249
444.0000	51.7457
444.5000	58.8238
445.0000	66.6416
445.5000	75.3464
446.0000	85.0958
446.5000	95.8898
447.0000	108.028
447.5000	121.547
448.0000	135.994
448.5000	151.772
449.0000	168.942
449.5000	187.465
450.0000	207.164
450.5000	227.628
451.0000	248.932
451.5000	270.959
452.0000	293.542
452.5000	316.966
453.0000	340.301
453.5000	363.423
454.0000	385.929
454.5000	407.941
455.0000	429.505
455.5000	450.093
456.0000	469.329
456.5000	487.41
457.0000	504.551
457.5000	520.173
458.0000	534.172
458.5000	546.945
459.0000	557.703
459.5000	566.831
460.0000	574.423
460.5000	580.331
461.0000	584.373
461.5000	587.238
462.0000	588.325
462.5000	587.942
463.0000	585.704
463.5000	582.25
464.0000	577.558
464.5000	571.546
465.0000	564.201
465.5000	555.588
466.0000	546.101
466.5000	535.939
467.0000	525.382
467.5000	514.292
468.0000	503.23
468.5000	491.743
469.0000	480.215
469.5000	468.763
470.0000	457.634
470.5000	446.737
471.0000	436.313
471.5000	426.518
472.0000	417.649
472.5000	409.224
473.0000	401.34
473.5000	395.025
474.0000	389.646
474.5000	385.219
475.0000	381.779
475.5000	379.928
476.0000	379.291
476.5000	379.77
477.0000	381.314
477.5000	384.563
478.0000	388.707
478.5000	394.136
479.0000	400.808
479.5000	408.213
480.0000	416.321
480.5000	425.032
481.0000	434.035
481.5000	443.632
482.0000	453.47
482.5000	463.024
483.0000	471.945
483.5000	480.245
484.0000	488.684
484.5000	496.401
485.0000	503.039
485.5000	508.724
486.0000	513.835
486.5000	518.256
487.0000	521.341
487.5000	523.469
488.0000	524.39
488.5000	524.065
489.0000	522.442
489.5000	519.264
490.0000	515.017
490.5000	509.686
491.0000	502.891
491.5000	494.91
492.0000	485.983
492.5000	475.616
493.0000	464.418
493.5000	452.687
494.0000	440.099
494.5000	427.094
495.0000	413.611
495.5000	399.486
496.0000	385.607
496.5000	372.078
497.0000	358.48
497.5000	345.262
498.0000	332.115
498.5000	319.109
499.0000	306.94
499.5000	294.937
500.0000	283.31
500.5000	271.918
501.0000	261.252
501.5000	251.057
502.0000	241.396
502.5000	232.361
503.0000	223.656
503.5000	215.299
504.0000	207.78
504.5000	200.7
505.0000	194.082
505.5000	187.951
506.0000	182.184
506.5000	176.899
507.0000	172.014
507.5000	167.587
508.0000	163.452
508.5000	159.785
509.0000	156.299
509.5000	153.399
510.0000	150.791
510.5000	148.337
511.0000	146.144
511.5000	144.077
512.0000	142.514
512.5000	141.153
513.0000	139.902
513.5000	138.758
514.0000	137.876
514.5000	137.197
515.0000	136.61
515.5000	136.095
516.0000	135.714
516.5000	135.385
517.0000	135.151
517.5000	134.911
518.0000	134.72
518.5000	134.613
519.0000	134.603
519.5000	134.523
520.0000	134.462
520.5000	134.5
521.0000	134.409
521.5000	134.183
522.0000	133.961
522.5000	133.874
523.0000	133.491
523.5000	133.082
524.0000	132.884
524.5000	132.386
525.0000	131.682
525.5000	131.159
526.0000	130.6
526.5000	129.899
527.0000	129.02
527.5000	128.188
528.0000	127.262
528.5000	126.107
529.0000	124.979
529.5000	123.851
530.0000	122.554
530.5000	121.282
531.0000	119.984
531.5000	118.502
532.0000	117.048
532.5000	115.476
533.0000	114.055
533.5000	112.387
534.0000	110.783
534.5000	109.013
535.0000	107.419
535.5000	105.731
536.0000	103.912
536.5000	102.175
537.0000	100.466
537.5000	98.711
538.0000	97.0454
538.5000	95.4404
539.0000	93.7308
539.5000	92.085
540.0000	90.2097
540.5000	88.1139
541.0000	86.5083
541.5000	84.9327
542.0000	83.3537
542.5000	81.7711
543.0000	80.3018
543.5000	78.9328
544.0000	77.5414
544.5000	76.2585
545.0000	74.843
545.5000	73.5626
546.0000	72.3862
546.5000	71.2483
547.0000	69.9808
547.5000	68.8274
548.0000	67.8756
548.5000	66.9065
549.0000	65.8836
549.5000	64.9127
550.0000	64.0916
550.5000	63.1259
