TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/13
TIME	22:30:40
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   143.95335
MAXY	  2235.60132
MINY	     3.16357
XYDATA
422.0000	143.953
422.5000	124.536
423.0000	104.259
423.5000	83.402
424.0000	64.1713
424.5000	46.7565
425.0000	32.4872
425.5000	22.1562
426.0000	15.2454
426.5000	10.6942
427.0000	8.03203
427.5000	6.58441
428.0000	5.82618
428.5000	5.75768
429.0000	5.94379
429.5000	6.35097
430.0000	6.84234
430.5000	7.39406
431.0000	8.0954
431.5000	8.89346
432.0000	9.78644
432.5000	10.8012
433.0000	12.1571
433.5000	13.7212
434.0000	15.4588
434.5000	17.5398
435.0000	20.0326
435.5000	23.0994
436.0000	26.7037
436.5000	30.6975
437.0000	35.2337
437.5000	40.9271
438.0000	47.4903
438.5000	55.325
439.0000	64.3548
439.5000	74.7583
440.0000	86.7314
440.5000	100.15
441.0000	115.988
441.5000	134.495
442.0000	154.737
442.5000	178.525
443.0000	205.07
443.5000	235.473
444.0000	270.996
444.5000	310.453
445.0000	353.494
445.5000	403.23
446.0000	458.932
446.5000	521.071
447.0000	590.055
447.5000	666.25
448.0000	747.085
448.5000	833.053
449.0000	926.889
449.5000	1025.16
450.0000	1127.41
450.5000	1232.52
451.0000	1337.49
451.5000	1442.74
452.0000	1544.47
452.5000	1644.75
453.0000	1740.66
453.5000	1830.06
454.0000	1909.06
454.5000	1979.98
455.0000	2044.3
455.5000	2099.67
456.0000	2144.46
456.5000	2179.3
457.0000	2205.81
457.5000	2223.67
458.0000	2233.29
458.5000	2235.6
459.0000	2229.47
459.5000	2219.87
460.0000	2204.26
460.5000	2180.62
461.0000	2155.85
461.5000	2125.7
462.0000	2093.22
462.5000	2055.78
463.0000	2014.25
463.5000	1972.34
464.0000	1931.91
464.5000	1886.38
465.0000	1837.76
465.5000	1789.17
466.0000	1743.52
466.5000	1697.88
467.0000	1651.71
467.5000	1604.98
468.0000	1558.98
468.5000	1515.12
469.0000	1472.11
469.5000	1431.65
470.0000	1392.66
470.5000	1354.83
471.0000	1319.16
471.5000	1289.03
472.0000	1262.19
472.5000	1235.92
473.0000	1211.25
473.5000	1192.13
474.0000	1176.66
474.5000	1163.62
475.0000	1155.01
475.5000	1150.02
476.0000	1149.81
476.5000	1151.91
477.0000	1156.49
477.5000	1166.83
478.0000	1180.82
478.5000	1195.93
479.0000	1215.79
479.5000	1237.04
480.0000	1260.43
480.5000	1286.03
481.0000	1313.02
481.5000	1340.06
482.0000	1367.85
482.5000	1394.69
483.0000	1421.93
483.5000	1446.43
484.0000	1470.53
484.5000	1492.94
485.0000	1512.04
485.5000	1529.53
486.0000	1546.09
486.5000	1558.91
487.0000	1567.98
487.5000	1574.8
488.0000	1579.51
488.5000	1581.62
489.0000	1579.75
489.5000	1573.03
490.0000	1561.09
490.5000	1547.07
491.0000	1531.38
491.5000	1511
492.0000	1486.77
492.5000	1458.94
493.0000	1427.57
493.5000	1396.64
494.0000	1361.06
494.5000	1324.33
495.0000	1285.11
495.5000	1246.34
496.0000	1207.44
496.5000	1169.82
497.0000	1131.27
497.5000	1093.38
498.0000	1053.83
498.5000	1017.73
499.0000	982.974
499.5000	946.907
500.0000	913.608
500.5000	882.062
501.0000	851.636
501.5000	822.106
502.0000	794.941
502.5000	768.407
503.0000	743.125
503.5000	720.096
504.0000	698.909
504.5000	679.317
505.0000	659.636
505.5000	642.766
506.0000	627.091
506.5000	611.822
507.0000	598.898
507.5000	585.462
508.0000	575.146
508.5000	566.401
509.0000	556.782
509.5000	548.497
510.0000	541.704
510.5000	535.63
511.0000	530.366
511.5000	526.147
512.0000	521.409
512.5000	518.297
513.0000	515.596
513.5000	513.131
514.0000	511.599
514.5000	512.08
515.0000	511.536
515.5000	509.843
516.0000	509.805
516.5000	509.664
517.0000	509.913
517.5000	510.209
518.0000	511.534
518.5000	512.652
519.0000	512.158
519.5000	513.097
520.0000	515.392
520.5000	516.286
521.0000	516.857
521.5000	517.579
522.0000	517.916
522.5000	518.209
523.0000	517.878
523.5000	518.774
524.0000	519.798
524.5000	520.201
525.0000	519.68
525.5000	518.44
526.0000	518.067
526.5000	517.079
527.0000	515.812
527.5000	515.147
528.0000	513.561
528.5000	511.163
529.0000	508.789
529.5000	506.638
530.0000	504.073
530.5000	500.56
531.0000	496.097
531.5000	492.123
532.0000	487.528
532.5000	483.887
533.0000	480.038
533.5000	475.248
534.0000	469.318
534.5000	464.528
535.0000	459.569
535.5000	453.361
536.0000	448.049
536.5000	442.846
537.0000	436.835
537.5000	430.76
538.0000	424.939
538.5000	419.267
539.0000	413.808
539.5000	407.436
540.0000	401.128
540.5000	393.918
541.0000	387.998
541.5000	382.329
542.0000	376.855
542.5000	371.553
543.0000	365.731
543.5000	359.26
544.0000	353.731
544.5000	349.171
545.0000	344.172
545.5000	338.885
546.0000	334.176
546.5000	329.314
