TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/13
TIME	19:46:26
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   128.20169
MAXY	   627.18158
MINY	     2.06651
XYDATA
422.0000	128.202
422.5000	110.683
423.0000	92.5028
423.5000	73.9846
424.0000	56.6669
424.5000	41.2031
425.0000	28.8045
425.5000	19.0686
426.0000	12.6417
426.5000	8.15058
427.0000	5.44165
427.5000	3.88108
428.0000	3.02632
428.5000	2.7577
429.0000	2.64847
429.5000	2.66872
430.0000	2.74241
430.5000	2.90977
431.0000	3.10567
431.5000	3.36872
432.0000	3.58553
432.5000	3.94525
433.0000	4.2513
433.5000	4.6566
434.0000	5.17763
434.5000	5.86143
435.0000	6.53517
435.5000	7.27954
436.0000	8.3034
436.5000	9.5373
437.0000	10.9024
437.5000	12.5241
438.0000	14.5255
438.5000	16.7632
439.0000	19.2919
439.5000	22.2804
440.0000	25.8598
440.5000	29.5745
441.0000	34.1711
441.5000	39.682
442.0000	45.5802
442.5000	52.4873
443.0000	60.2733
443.5000	68.9576
444.0000	78.8207
444.5000	90.1788
445.0000	103.146
445.5000	118.133
446.0000	133.76
446.5000	151.301
447.0000	172.083
447.5000	194.007
448.0000	217.093
448.5000	242.29
449.0000	269.29
449.5000	297.431
450.0000	326.364
450.5000	355.942
451.0000	386.517
451.5000	416.134
452.0000	444.254
452.5000	472.943
453.0000	500.239
453.5000	523.922
454.0000	545.699
454.5000	565.766
455.0000	582.674
455.5000	596.435
456.0000	607.893
456.5000	615.926
457.0000	622.205
457.5000	626.357
458.0000	627.182
458.5000	626.932
459.0000	624.351
459.5000	620.496
460.0000	614.326
460.5000	606.874
461.0000	597.754
461.5000	588.228
462.0000	579.38
462.5000	568.842
463.0000	557.648
463.5000	544.385
464.0000	530.62
464.5000	517.772
465.0000	505.125
465.5000	490.823
466.0000	476.11
466.5000	462.949
467.0000	450.326
467.5000	436.947
468.0000	425.019
468.5000	412.919
469.0000	400.668
469.5000	388.184
470.0000	377.681
470.5000	367.92
471.0000	358.178
471.5000	349.305
472.0000	341.385
472.5000	334.38
473.0000	327.501
473.5000	322.66
474.0000	318.128
474.5000	314.576
475.0000	311.839
475.5000	310.241
476.0000	309.846
476.5000	310.721
477.0000	312.289
477.5000	315.347
478.0000	318.617
478.5000	323.499
479.0000	328.206
479.5000	333.965
480.0000	340.059
480.5000	346.103
481.0000	353.77
481.5000	361.639
482.0000	368.5
482.5000	374.944
483.0000	381.896
483.5000	388.694
484.0000	394.47
484.5000	399.968
485.0000	404.925
485.5000	409.557
486.0000	413.241
486.5000	416.372
487.0000	418.47
487.5000	420.374
488.0000	421.42
488.5000	422.129
489.0000	421.32
489.5000	419.12
490.0000	415.711
490.5000	411.627
491.0000	406.429
491.5000	400.759
492.0000	393.717
492.5000	385.995
493.0000	377.698
493.5000	368.265
494.0000	358.729
494.5000	348.839
495.0000	338.639
495.5000	327.047
496.0000	316.738
496.5000	306.95
497.0000	296.028
497.5000	285.819
498.0000	275.992
498.5000	266.138
499.0000	256.377
499.5000	246.727
500.0000	238.109
500.5000	229.771
501.0000	221.362
501.5000	213.455
502.0000	205.707
502.5000	198.702
503.0000	192.236
503.5000	186.264
504.0000	180.747
504.5000	175.302
505.0000	170.136
505.5000	165.769
506.0000	161.582
506.5000	157.954
507.0000	154.428
507.5000	151.055
508.0000	148.103
508.5000	145.936
509.0000	143.572
509.5000	141.535
510.0000	139.58
510.5000	137.884
511.0000	136.215
511.5000	135.253
512.0000	134.76
512.5000	133.938
513.0000	132.975
513.5000	132.374
514.0000	132.086
514.5000	131.853
515.0000	131.789
515.5000	131.391
516.0000	131.247
516.5000	131.206
517.0000	131.368
517.5000	131.369
518.0000	131.815
518.5000	131.673
519.0000	131.766
519.5000	132.356
520.0000	132.549
520.5000	132.627
521.0000	132.579
521.5000	133.209
522.0000	133.791
522.5000	133.877
523.0000	133.756
523.5000	134.007
524.0000	133.92
524.5000	133.827
525.0000	134.01
525.5000	134.115
526.0000	134.116
526.5000	133.613
527.0000	133.577
527.5000	133.611
528.0000	132.734
528.5000	132.447
529.0000	132.313
529.5000	131.55
530.0000	130.833
530.5000	130.624
531.0000	129.964
531.5000	129.38
532.0000	128.531
532.5000	127.558
533.0000	126.75
533.5000	125.415
534.0000	124.014
534.5000	123.208
535.0000	122.619
535.5000	121.641
536.0000	120.569
536.5000	119.502
537.0000	118.104
537.5000	116.857
538.0000	115.829
538.5000	114.677
539.0000	113.17
539.5000	111.816
540.0000	110.83
540.5000	109.339
541.0000	108.371
541.5000	107.563
542.0000	106.249
542.5000	105.036
543.0000	103.925
543.5000	102.656
544.0000	101.748
544.5000	100.697
545.0000	99.7552
545.5000	98.6241
546.0000	97.6372
546.5000	96.6602
547.0000	95.6177
547.5000	94.5483
548.0000	93.7983
548.5000	92.855
549.0000	91.9436
549.5000	91.1589
550.0000	90.4067
550.5000	89.935
