TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/16
TIME	23:28:00
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    78.17536
MAXY	  1048.14807
MINY	     2.61458
XYDATA
422.0000	78.1754
422.5000	69.8574
423.0000	59.4285
423.5000	48.6514
424.0000	38.2629
424.5000	28.715
425.0000	20.4414
425.5000	14.3288
426.0000	9.82264
426.5000	6.76344
427.0000	4.8774
427.5000	3.77248
428.0000	3.17813
428.5000	2.96606
429.0000	2.94323
429.5000	3.00695
430.0000	3.15127
430.5000	3.46136
431.0000	3.73497
431.5000	4.16312
432.0000	4.64024
432.5000	5.05097
433.0000	5.75012
433.5000	6.47893
434.0000	7.30259
434.5000	8.29563
435.0000	9.43863
435.5000	10.7026
436.0000	12.4558
436.5000	14.4163
437.0000	16.6411
437.5000	19.3614
438.0000	22.4293
438.5000	26.1734
439.0000	30.4575
439.5000	35.4167
440.0000	41.0103
440.5000	47.3462
441.0000	54.4483
441.5000	63.0208
442.0000	72.8448
442.5000	84.0429
443.0000	96.4443
443.5000	110.295
444.0000	126.603
444.5000	145.529
445.0000	165.77
445.5000	188.798
446.0000	215.174
446.5000	243.749
447.0000	276.065
447.5000	311.115
448.0000	349.361
448.5000	389.96
449.0000	432.961
449.5000	478.46
450.0000	526.008
450.5000	573.581
451.0000	621.19
451.5000	669.309
452.0000	716.497
452.5000	762.433
453.0000	807.221
453.5000	848.561
454.0000	885.737
454.5000	918.861
455.0000	949.889
455.5000	975.136
456.0000	996.796
456.5000	1015.1
457.0000	1029.02
457.5000	1037.99
458.0000	1044.74
458.5000	1048.15
459.0000	1047.13
459.5000	1042.86
460.0000	1037.67
460.5000	1027.54
461.0000	1016.13
461.5000	1004.73
462.0000	989.531
462.5000	971.971
463.0000	954.637
463.5000	935.829
464.0000	915.362
464.5000	895.823
465.0000	874.139
465.5000	852.443
466.0000	830.279
466.5000	806.586
467.0000	784.514
467.5000	763.179
468.0000	741.417
468.5000	720.767
469.0000	701.303
469.5000	681.871
470.0000	664.391
470.5000	647.131
471.0000	630.46
471.5000	615.739
472.0000	601.491
472.5000	588.915
473.0000	578.463
473.5000	568.441
474.0000	562.274
474.5000	556.649
475.0000	551.146
475.5000	548.672
476.0000	548.779
476.5000	549.548
477.0000	553.178
477.5000	557.649
478.0000	564.233
478.5000	570.856
479.0000	580.247
479.5000	590.102
480.0000	600.707
480.5000	612.438
481.0000	625.973
481.5000	638.043
482.0000	650.456
482.5000	662.505
483.0000	674.027
483.5000	686.063
484.0000	696.558
484.5000	707.029
485.0000	715.619
485.5000	724.501
486.0000	731.664
486.5000	736.621
487.0000	741.616
487.5000	744.256
488.0000	746.732
488.5000	747.386
489.0000	746.617
489.5000	743.564
490.0000	738.349
490.5000	732.849
491.0000	726.2
491.5000	715.912
492.0000	704.112
492.5000	690.876
493.0000	676.587
493.5000	661.832
494.0000	645.699
494.5000	629.159
495.0000	611.197
495.5000	592.36
496.0000	574.488
496.5000	557.017
497.0000	539.132
497.5000	520.829
498.0000	503.286
498.5000	485.817
499.0000	469.71
499.5000	453.545
500.0000	437.827
500.5000	422.738
501.0000	408.602
501.5000	395.017
502.0000	382.477
502.5000	369.207
503.0000	357.822
503.5000	347.033
504.0000	336.462
504.5000	326.516
505.0000	317.981
505.5000	310.795
506.0000	303.49
506.5000	296.919
507.0000	290.647
507.5000	285.015
508.0000	280.178
508.5000	275.652
509.0000	272.157
509.5000	268.614
510.0000	265.058
510.5000	262.804
511.0000	260.442
511.5000	258.582
512.0000	256.789
512.5000	255.899
513.0000	255.135
513.5000	254.211
514.0000	254.015
514.5000	253.509
515.0000	253.245
515.5000	253.528
516.0000	254.099
516.5000	254.309
517.0000	254.892
517.5000	255.659
518.0000	256.189
518.5000	256.733
519.0000	257.436
519.5000	258.121
520.0000	259.023
520.5000	259.579
521.0000	259.91
521.5000	261.411
522.0000	261.742
522.5000	262.515
523.0000	263.724
523.5000	263.931
524.0000	264.038
524.5000	264.55
525.0000	264.883
525.5000	264.546
526.0000	264.763
526.5000	264.764
527.0000	264.506
527.5000	264.063
528.0000	263.633
528.5000	263.39
529.0000	262.882
529.5000	262.523
530.0000	261.899
530.5000	261.044
531.0000	259.2
531.5000	258.351
532.0000	256.946
532.5000	254.884
533.0000	253.063
533.5000	251.726
534.0000	250.079
534.5000	248.221
535.0000	246.177
535.5000	244.177
536.0000	241.716
536.5000	239.095
537.0000	237.263
537.5000	234.821
538.0000	232.573
538.5000	230.508
539.0000	227.975
539.5000	224.978
540.0000	222.084
540.5000	219.694
541.0000	216.866
541.5000	214.941
542.0000	212.795
542.5000	209.93
543.0000	207.828
543.5000	205.88
544.0000	203.079
544.5000	201.084
545.0000	198.602
545.5000	196.1
546.0000	194.184
546.5000	192.319
547.0000	190.133
547.5000	187.633
548.0000	185.787
548.5000	184.642
549.0000	182.791
549.5000	180.591
550.0000	178.472
550.5000	176.95
