TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/16
TIME	22:53:49
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    51.70382
MAXY	   890.77979
MINY	     2.12647
XYDATA
422.0000	51.7038
422.5000	43.0491
423.0000	34.2445
423.5000	26.1695
424.0000	19.2957
424.5000	13.5013
425.0000	9.04466
425.5000	6.27978
426.0000	4.55424
426.5000	3.31466
427.0000	2.68962
427.5000	2.30976
428.0000	2.13217
428.5000	2.12647
429.0000	2.2193
429.5000	2.33258
430.0000	2.51286
430.5000	2.69265
431.0000	2.85271
431.5000	3.10731
432.0000	3.45173
432.5000	3.85028
433.0000	4.33935
433.5000	4.9004
434.0000	5.47758
434.5000	6.21539
435.0000	7.17436
435.5000	8.20204
436.0000	9.44619
436.5000	10.9208
437.0000	12.6348
437.5000	14.5782
438.0000	16.947
438.5000	19.7198
439.0000	23.0187
439.5000	26.8347
440.0000	31.0863
440.5000	36.0093
441.0000	41.7945
441.5000	48.3742
442.0000	55.8947
442.5000	64.6142
443.0000	74.584
443.5000	85.8593
444.0000	98.2312
444.5000	112.916
445.0000	128.976
445.5000	147.493
446.0000	168.386
446.5000	191.047
447.0000	216.454
447.5000	244.776
448.0000	275.157
448.5000	309.369
449.0000	344.668
449.5000	381.698
450.0000	421.374
450.5000	461.855
451.0000	503.911
451.5000	544.5
452.0000	584.781
452.5000	624.917
453.0000	664.607
453.5000	700.859
454.0000	733.596
454.5000	765.259
455.0000	792.944
455.5000	817.267
456.0000	837.119
456.5000	853.598
457.0000	868.642
457.5000	878.858
458.0000	885.448
458.5000	889.323
459.0000	890.78
459.5000	889.545
460.0000	885.901
460.5000	880.442
461.0000	872.242
461.5000	861.691
462.0000	851.785
462.5000	839.685
463.0000	824.803
463.5000	810.03
464.0000	794.543
464.5000	778.466
465.0000	760.825
465.5000	743.163
466.0000	724.772
466.5000	708.434
467.0000	691.092
467.5000	672.817
468.0000	655.496
468.5000	639.129
469.0000	621.899
469.5000	606.172
470.0000	590.535
470.5000	576.01
471.0000	562.263
471.5000	549.501
472.0000	538.508
472.5000	527.65
473.0000	517.501
473.5000	509.751
474.0000	502.684
474.5000	496.42
475.0000	492.471
475.5000	490.211
476.0000	488.823
476.5000	488.688
477.0000	489.766
477.5000	492.556
478.0000	497.851
478.5000	503.573
479.0000	509.805
479.5000	517.212
480.0000	526.29
480.5000	535.353
481.0000	545.312
481.5000	555.598
482.0000	566.878
482.5000	576.548
483.0000	587.424
483.5000	597.636
484.0000	607.05
484.5000	616.529
485.0000	625.244
485.5000	633.418
486.0000	640.039
486.5000	646.227
487.0000	652.58
487.5000	656.219
488.0000	658.723
488.5000	660.266
489.0000	660.412
489.5000	660.383
490.0000	657.977
490.5000	654.566
491.0000	648.291
491.5000	642.021
492.0000	632.932
492.5000	623.006
493.0000	611.658
493.5000	600.049
494.0000	587.757
494.5000	573.967
495.0000	559.642
495.5000	544.874
496.0000	529.566
496.5000	514.298
497.0000	499.361
497.5000	484.423
498.0000	468.874
498.5000	454.446
499.0000	440.787
499.5000	427.007
500.0000	413.783
500.5000	401.127
501.0000	388.669
501.5000	376.765
502.0000	366.447
502.5000	355.849
503.0000	345.347
503.5000	335.11
504.0000	326.281
504.5000	318.314
505.0000	311.383
505.5000	304.475
506.0000	298.457
506.5000	292.601
507.0000	287.121
507.5000	282.145
508.0000	277.523
508.5000	274.241
509.0000	271.054
509.5000	268.379
510.0000	265.795
510.5000	263.422
511.0000	261.108
511.5000	259.963
512.0000	258.442
512.5000	257.344
513.0000	256.6
513.5000	255.654
514.0000	255.329
514.5000	255.03
515.0000	255.189
515.5000	255.17
516.0000	255.369
516.5000	256.507
517.0000	257.028
517.5000	257.443
518.0000	258.187
518.5000	258.498
519.0000	258.746
519.5000	259.948
520.0000	260.962
520.5000	261.868
521.0000	262.594
521.5000	263.372
522.0000	263.912
522.5000	265.211
523.0000	265.705
523.5000	266.477
524.0000	267.846
524.5000	267.78
525.0000	268.371
525.5000	268.365
526.0000	268.863
526.5000	269.006
527.0000	269.79
527.5000	270.025
528.0000	269.586
528.5000	270.066
529.0000	270.522
529.5000	270.194
530.0000	269.659
530.5000	268.672
531.0000	268.516
531.5000	268.002
532.0000	267.142
532.5000	266.051
533.0000	264.734
533.5000	263.427
534.0000	262.183
534.5000	260.531
535.0000	259.011
535.5000	257.472
536.0000	255.984
536.5000	253.726
537.0000	252.525
537.5000	250.201
538.0000	247.999
538.5000	246.147
539.0000	244.566
539.5000	242.987
540.0000	240.313
540.5000	237.341
541.0000	235.583
541.5000	233.519
542.0000	231.457
542.5000	229.869
543.0000	227.615
543.5000	225.359
544.0000	222.848
544.5000	221.288
545.0000	219.403
545.5000	217.311
546.0000	215.408
546.5000	213.128
547.0000	211.694
547.5000	210.31
548.0000	208.318
548.5000	206.646
549.0000	204.895
549.5000	202.822
550.0000	200.748
550.5000	199.225
551.0000	197.919
