TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/16
TIME	23:03:41
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    41.79215
MAXY	  2085.72021
MINY	     4.32244
XYDATA
422.0000	41.7921
422.5000	36.971
423.0000	31.425
423.5000	26.2321
424.0000	21.0198
424.5000	16.0482
425.0000	12.1565
425.5000	8.97138
426.0000	6.83891
426.5000	5.43087
427.0000	4.69812
427.5000	4.43443
428.0000	4.32244
428.5000	4.4428
429.0000	4.66208
429.5000	5.03987
430.0000	5.49937
430.5000	5.97513
431.0000	6.57126
431.5000	7.24811
432.0000	8.00042
432.5000	8.93297
433.0000	10.0844
433.5000	11.4166
434.0000	12.997
434.5000	14.8318
435.0000	16.9348
435.5000	19.3857
436.0000	22.4482
436.5000	26.0401
437.0000	30.1217
437.5000	34.8772
438.0000	40.7028
438.5000	47.2441
439.0000	55.1067
439.5000	64.2039
440.0000	74.3224
440.5000	86.0617
441.0000	99.9464
441.5000	115.541
442.0000	133.735
442.5000	154.204
443.0000	177.313
443.5000	203.512
444.0000	233.65
444.5000	268.029
445.0000	306.444
445.5000	349.753
446.0000	398.535
446.5000	453.223
447.0000	513.703
447.5000	580.969
448.0000	652.281
448.5000	728.918
449.0000	810.906
449.5000	898.092
450.0000	990.993
450.5000	1084.03
451.0000	1177.35
451.5000	1272.48
452.0000	1367.63
452.5000	1461.22
453.0000	1550.43
453.5000	1633.51
454.0000	1709.91
454.5000	1781.84
455.0000	1846.44
455.5000	1903.61
456.0000	1954.2
456.5000	1994.57
457.0000	2028.44
457.5000	2051.83
458.0000	2069.61
458.5000	2081.81
459.0000	2085.72
459.5000	2084.07
460.0000	2076.72
460.5000	2063.69
461.0000	2045.9
461.5000	2027.3
462.0000	2003.68
462.5000	1976.2
463.0000	1943.64
463.5000	1910.03
464.0000	1874.53
464.5000	1837.68
465.0000	1798.79
465.5000	1757.52
466.0000	1715.71
466.5000	1674.43
467.0000	1632.56
467.5000	1590.79
468.0000	1550.66
468.5000	1512.01
469.0000	1472.36
469.5000	1435.39
470.0000	1399.46
470.5000	1366.92
471.0000	1334.84
471.5000	1305.34
472.0000	1278.32
472.5000	1253.5
473.0000	1230.46
473.5000	1210.74
474.0000	1195.44
474.5000	1183.71
475.0000	1173.71
475.5000	1166.65
476.0000	1163.3
476.5000	1163.15
477.0000	1168.62
477.5000	1176.48
478.0000	1187.21
478.5000	1199.97
479.0000	1216.46
479.5000	1236.22
480.0000	1258.45
480.5000	1281.09
481.0000	1305.05
481.5000	1329.58
482.0000	1354.48
482.5000	1379.93
483.0000	1404.97
483.5000	1428.33
484.0000	1451.35
484.5000	1473.35
485.0000	1492.56
485.5000	1511.38
486.0000	1527.72
486.5000	1541.82
487.0000	1555.75
487.5000	1565.47
488.0000	1573.82
488.5000	1577.28
489.0000	1577.89
489.5000	1577.59
490.0000	1570.9
490.5000	1561.34
491.0000	1549.88
491.5000	1534.08
492.0000	1513.45
492.5000	1488.86
493.0000	1462.89
493.5000	1435.2
494.0000	1406.03
494.5000	1373.82
495.0000	1339.15
495.5000	1302.97
496.0000	1264.91
496.5000	1228.48
497.0000	1194.14
497.5000	1160.52
498.0000	1124.33
498.5000	1088.04
499.0000	1054.78
499.5000	1021.95
500.0000	991.659
500.5000	960.17
501.0000	930.697
501.5000	902.869
502.0000	876.824
502.5000	851.804
503.0000	827.121
503.5000	803.652
504.0000	782.868
504.5000	763.781
505.0000	745.831
505.5000	729.177
506.0000	713.063
506.5000	698.527
507.0000	686.383
507.5000	675.638
508.0000	664.347
508.5000	654.626
509.0000	647.046
509.5000	639.668
510.0000	632.734
510.5000	626.656
511.0000	622.453
511.5000	618.625
512.0000	615.795
512.5000	613.384
513.0000	611.104
513.5000	609.513
514.0000	608.805
514.5000	607.555
515.0000	608.083
515.5000	607.682
516.0000	607.459
516.5000	609.683
517.0000	610.98
517.5000	610.758
518.0000	612.16
518.5000	614.263
519.0000	615.755
519.5000	617.233
520.0000	618.189
520.5000	620.433
521.0000	622.228
521.5000	624.296
522.0000	625.334
522.5000	627.751
523.0000	629.54
523.5000	630.161
524.0000	631.018
524.5000	631.907
525.0000	633.732
525.5000	634.839
526.0000	635.965
526.5000	636.294
527.0000	636.435
527.5000	635.981
528.0000	635.901
528.5000	635.264
529.0000	634.464
529.5000	633.226
530.0000	631.566
530.5000	628.342
531.0000	625.95
531.5000	623.628
532.0000	621.203
532.5000	618.169
533.0000	614.088
533.5000	611.995
534.0000	607.307
534.5000	602.904
535.0000	598.451
535.5000	593.835
536.0000	589.176
536.5000	584
537.0000	578.991
537.5000	573.68
538.0000	567.286
538.5000	561.983
539.0000	556.324
539.5000	550.467
540.0000	545.115
540.5000	537.04
541.0000	531.403
541.5000	526.238
542.0000	520.694
542.5000	514.246
543.0000	508.283
543.5000	502.156
544.0000	497.508
544.5000	491.352
545.0000	485.256
545.5000	480.481
546.0000	475.583
