TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/16
TIME	22:38:42
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   178.27589
MAXY	  1257.32043
MINY	     1.67008
XYDATA
422.0000	178.276
422.5000	157.328
423.0000	133.5
423.5000	108.324
424.0000	84.2998
424.5000	62.2573
425.0000	43.5885
425.5000	29.6467
426.0000	19.5781
426.5000	12.6737
427.0000	8.64539
427.5000	6.15685
428.0000	4.70539
428.5000	4.27451
429.0000	4.14071
429.5000	4.20929
430.0000	4.4309
430.5000	4.68142
431.0000	4.9962
431.5000	5.46998
432.0000	5.95233
432.5000	6.53463
433.0000	7.39528
433.5000	8.1824
434.0000	9.14034
434.5000	10.3118
435.0000	11.697
435.5000	13.2017
436.0000	15.2675
436.5000	17.6811
437.0000	20.3347
437.5000	23.5597
438.0000	27.3913
438.5000	31.5852
439.0000	36.6123
439.5000	42.4216
440.0000	49.1576
440.5000	56.851
441.0000	66.0654
441.5000	76.5003
442.0000	88.0784
442.5000	101.427
443.0000	116.683
443.5000	133.807
444.0000	153.81
444.5000	176.07
445.0000	201.288
445.5000	229.587
446.0000	261.854
446.5000	297.479
447.0000	337.912
447.5000	381.955
448.0000	428.042
448.5000	479.855
449.0000	534.289
449.5000	591.937
450.0000	652.251
450.5000	713.546
451.0000	774.645
451.5000	836.989
452.0000	897.595
452.5000	954.915
453.0000	1009.28
453.5000	1059.46
454.0000	1104
454.5000	1143.17
455.0000	1177.81
455.5000	1205.45
456.0000	1226.72
456.5000	1241.5
457.0000	1252.21
457.5000	1256.79
458.0000	1257.32
458.5000	1254.74
459.0000	1244.55
459.5000	1233.53
460.0000	1219.15
460.5000	1200.54
461.0000	1180.78
461.5000	1159.67
462.0000	1135.51
462.5000	1111.66
463.0000	1086.33
463.5000	1058.95
464.0000	1029.96
464.5000	1003.03
465.0000	974.273
465.5000	945.079
466.0000	914.785
466.5000	885.933
467.0000	858.338
467.5000	831.42
468.0000	805.795
468.5000	780.929
469.0000	755.847
469.5000	732.093
470.0000	710.638
470.5000	690.055
471.0000	670.626
471.5000	652.546
472.0000	636.393
472.5000	621.695
473.0000	609.421
473.5000	599.316
474.0000	590.321
474.5000	583.606
475.0000	578.675
475.5000	576.17
476.0000	575.673
476.5000	576.63
477.0000	580.22
477.5000	586.503
478.0000	594.698
478.5000	603.683
479.0000	613.922
479.5000	626.432
480.0000	638.728
480.5000	651.708
481.0000	665.461
481.5000	681.035
482.0000	696.231
482.5000	709.267
483.0000	722.125
483.5000	734.876
484.0000	746.694
484.5000	756.22
485.0000	763.682
485.5000	771.02
486.0000	778.128
486.5000	782.811
487.0000	785.468
487.5000	786.558
488.0000	787.187
488.5000	785.691
489.0000	782.397
489.5000	776.27
490.0000	768.297
490.5000	758.582
491.0000	746.83
491.5000	733.558
492.0000	719.154
492.5000	703.28
493.0000	686.159
493.5000	667.504
494.0000	648.785
494.5000	629.131
495.0000	607.274
495.5000	586.325
496.0000	565.541
496.5000	543.63
497.0000	522.599
497.5000	502.97
498.0000	483.657
498.5000	464.626
499.0000	446.107
499.5000	428.101
500.0000	410.613
500.5000	394.257
501.0000	378.193
501.5000	363.079
502.0000	349.404
502.5000	336.488
503.0000	324.038
503.5000	312.339
504.0000	301.08
504.5000	290.866
505.0000	282.15
505.5000	273.624
506.0000	265.071
506.5000	257.166
507.0000	251.338
507.5000	246.116
508.0000	240.572
508.5000	235.317
509.0000	230.621
509.5000	226.789
510.0000	223.596
510.5000	220.735
511.0000	217.719
511.5000	215.712
512.0000	213.63
512.5000	211.684
513.0000	210.855
513.5000	209.383
514.0000	208.242
514.5000	207.514
515.0000	207.376
515.5000	207.145
516.0000	206.865
516.5000	206.691
517.0000	207.116
517.5000	206.077
518.0000	206.507
518.5000	206.776
519.0000	206.553
519.5000	206.71
520.0000	207.033
520.5000	206.892
521.0000	206.572
521.5000	206.756
522.0000	206.777
522.5000	207.262
523.0000	206.309
523.5000	205.722
524.0000	205.85
524.5000	205.613
525.0000	204.778
525.5000	203.824
526.0000	203.153
526.5000	202.465
527.0000	201.529
527.5000	200.399
528.0000	199.421
528.5000	198.645
529.0000	197.14
529.5000	195.26
530.0000	193.904
530.5000	191.889
531.0000	190.741
531.5000	189.102
532.0000	187.107
532.5000	184.772
533.0000	182.827
533.5000	181.393
534.0000	179.123
534.5000	176.953
535.0000	174.958
535.5000	172.699
536.0000	170.447
536.5000	168.211
537.0000	165.697
537.5000	163.214
538.0000	160.854
538.5000	158.527
539.0000	156.36
539.5000	154.341
540.0000	151.945
540.5000	149.817
541.0000	147.645
541.5000	145.373
542.0000	143.273
542.5000	141.317
543.0000	139.529
543.5000	137.673
544.0000	135.804
544.5000	133.978
545.0000	132.195
545.5000	130.447
546.0000	128.871
546.5000	127.41
547.0000	125.853
547.5000	124.131
548.0000	122.482
548.5000	121.732
549.0000	120.307
549.5000	119.15
550.0000	117.923
550.5000	116.774
