TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/23
TIME	16:01:52
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  446.0000
LASTX	  700.0000
NPOINTS	     509
FIRSTY	   160.28938
MAXY	   160.28938
MINY	     0.82572
XYDATA
446.0000	160.289
446.5000	151.151
447.0000	137.995
447.5000	123.463
448.0000	108.576
448.5000	94.7991
449.0000	83.2609
449.5000	73.4373
450.0000	66.1312
450.5000	61.8437
451.0000	58.8251
451.5000	57.0155
452.0000	56.3093
452.5000	56.1594
453.0000	55.9249
453.5000	55.8162
454.0000	55.5888
454.5000	55.3561
455.0000	54.8078
455.5000	54.1634
456.0000	53.6058
456.5000	52.8042
457.0000	52.0768
457.5000	51.0597
458.0000	49.9528
458.5000	48.9564
459.0000	48.1065
459.5000	46.8024
460.0000	45.4838
460.5000	44.5705
461.0000	43.422
461.5000	42.1785
462.0000	41.0798
462.5000	39.9007
463.0000	38.7617
463.5000	37.612
464.0000	36.563
464.5000	35.8441
465.0000	34.8319
465.5000	34.0729
466.0000	33.4003
466.5000	32.5227
467.0000	31.8948
467.5000	31.2814
468.0000	30.7498
468.5000	30.4611
469.0000	29.9624
469.5000	29.6861
470.0000	29.4399
470.5000	29.3982
471.0000	29.3724
471.5000	29.5262
472.0000	29.7879
472.5000	30.0425
473.0000	30.4561
473.5000	30.8759
474.0000	31.3378
474.5000	32.0594
475.0000	32.7248
475.5000	33.4202
476.0000	33.9294
476.5000	34.4199
477.0000	35.0187
477.5000	35.5212
478.0000	35.9382
478.5000	36.4202
479.0000	37.1621
479.5000	37.6566
480.0000	37.8707
480.5000	37.8248
481.0000	37.8392
481.5000	38.0515
482.0000	38.3427
482.5000	38.3834
483.0000	38.4082
483.5000	38.036
484.0000	37.9355
484.5000	38.0241
485.0000	37.6984
485.5000	37.3131
486.0000	36.853
486.5000	36.409
487.0000	36.1187
487.5000	35.5927
488.0000	34.8738
488.5000	34.4353
489.0000	34.1342
489.5000	33.2645
490.0000	32.7008
490.5000	31.8799
491.0000	31.118
491.5000	30.4979
492.0000	29.5456
492.5000	28.7838
493.0000	28.2011
493.5000	27.3355
494.0000	26.4957
494.5000	25.5655
495.0000	25.0032
495.5000	24.1708
496.0000	23.193
496.5000	22.3707
497.0000	21.489
497.5000	20.7701
498.0000	20.142
498.5000	19.6005
499.0000	19.0889
499.5000	18.3321
500.0000	17.8109
500.5000	17.2889
501.0000	16.7489
501.5000	16.3311
502.0000	16.025
502.5000	15.6628
503.0000	15.2942
503.5000	14.9166
504.0000	14.7131
504.5000	14.3895
505.0000	14.1412
505.5000	13.8952
506.0000	13.769
506.5000	13.7386
507.0000	13.5526
507.5000	13.5231
508.0000	13.4545
508.5000	13.4493
509.0000	13.3197
509.5000	13.3433
510.0000	13.458
510.5000	13.5086
511.0000	13.4432
511.5000	13.4515
512.0000	13.5629
512.5000	13.5684
513.0000	13.4383
513.5000	13.4683
514.0000	13.4481
514.5000	13.3663
515.0000	13.3472
515.5000	13.2691
516.0000	13.1604
516.5000	13.1539
517.0000	13.1217
517.5000	12.9588
518.0000	12.9234
518.5000	12.883
519.0000	12.7184
519.5000	12.5216
520.0000	12.4997
520.5000	12.6002
521.0000	12.4419
521.5000	12.3955
522.0000	12.3289
522.5000	12.3802
523.0000	12.2749
523.5000	12.1914
524.0000	12.0363
524.5000	12.059
525.0000	12.1244
525.5000	12.1006
526.0000	11.9563
526.5000	11.9006
527.0000	11.852
527.5000	11.7177
528.0000	11.7559
528.5000	11.7499
529.0000	11.6088
529.5000	11.5187
530.0000	11.4713
530.5000	11.5191
531.0000	11.4242
531.5000	11.1612
532.0000	11.204
532.5000	11.2692
533.0000	11.2507
533.5000	11.1399
534.0000	11.106
534.5000	11.0213
535.0000	10.9305
535.5000	10.9379
536.0000	10.8465
536.5000	10.716
537.0000	10.6174
537.5000	10.6844
538.0000	10.6963
538.5000	10.5984
539.0000	10.4827
539.5000	10.4434
540.0000	10.424
540.5000	10.4128
541.0000	10.3022
541.5000	10.2988
542.0000	10.2386
542.5000	10.2816
543.0000	10.2096
543.5000	10.2337
544.0000	10.1769
544.5000	10.0614
545.0000	10.028
545.5000	10.0762
546.0000	10.0701
546.5000	10.0061
547.0000	9.90186
547.5000	9.88573
548.0000	9.95117
548.5000	9.93561
549.0000	9.87476
549.5000	9.81498
550.0000	9.79386
550.5000	9.77602
551.0000	9.7122
551.5000	9.76453
552.0000	9.73492
552.5000	9.61385
553.0000	9.61239
553.5000	9.61271
554.0000	9.54576
554.5000	9.51781
555.0000	9.51987
555.5000	9.4231
556.0000	9.45885
556.5000	9.42591
557.0000	9.38904
557.5000	9.3187
558.0000	9.32831
558.5000	9.28961
559.0000	9.23525
559.5000	9.11896
560.0000	9.1044
560.5000	9.14076
561.0000	9.18396
561.5000	9.0851
562.0000	9.0043
562.5000	8.98433
563.0000	8.89071
563.5000	8.81187
564.0000	8.8546
564.5000	8.88038
565.0000	8.7697
565.5000	8.73893
