TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/23
TIME	22:38:41
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   152.03288
MAXY	   904.97760
MINY	     1.97045
XYDATA
422.0000	152.033
422.5000	140.348
423.0000	124.777
423.5000	106.287
424.0000	86.9365
424.5000	67.5496
425.0000	49.7642
425.5000	35.2042
426.0000	24.0882
426.5000	15.607
427.0000	10.3068
427.5000	6.78651
428.0000	4.5718
428.5000	3.6183
429.0000	3.22663
429.5000	3.13343
430.0000	3.22002
430.5000	3.44421
431.0000	3.70711
431.5000	3.95026
432.0000	4.31275
432.5000	4.63435
433.0000	5.31375
433.5000	5.87385
434.0000	6.62414
434.5000	7.53168
435.0000	8.59623
435.5000	9.65773
436.0000	11.0391
436.5000	12.7669
437.0000	14.7629
437.5000	17.2364
438.0000	19.808
438.5000	23.0253
439.0000	26.6546
439.5000	31.0206
440.0000	36.245
440.5000	41.8498
441.0000	48.1418
441.5000	56.0028
442.0000	64.5113
442.5000	74.2741
443.0000	85.4308
443.5000	97.9451
444.0000	111.995
444.5000	128.531
445.0000	147.538
445.5000	168.072
446.0000	190.825
446.5000	216.353
447.0000	245.516
447.5000	277.096
448.0000	310.223
448.5000	346.56
449.0000	384.77
449.5000	425.135
450.0000	467.013
450.5000	509.586
451.0000	552.833
451.5000	596.261
452.0000	637.524
452.5000	678.161
453.0000	716.004
453.5000	752.414
454.0000	784.538
454.5000	812.012
455.0000	836.942
455.5000	857.597
456.0000	873.351
456.5000	886.281
457.0000	897.102
457.5000	902.038
458.0000	904.978
458.5000	903.765
459.0000	900.435
459.5000	894.685
460.0000	885.862
460.5000	875.647
461.0000	864.121
461.5000	850.977
462.0000	836.358
462.5000	820.246
463.0000	801.635
463.5000	783.041
464.0000	763.626
464.5000	745.022
465.0000	725.817
465.5000	705.362
466.0000	685.031
466.5000	665.572
467.0000	645.69
467.5000	626.319
468.0000	606.811
468.5000	589.056
469.0000	571.932
469.5000	554.009
470.0000	538.082
470.5000	523.257
471.0000	508.875
471.5000	495.708
472.0000	483.893
472.5000	473.305
473.0000	463.339
473.5000	454.637
474.0000	447.707
474.5000	441.924
475.0000	438.187
475.5000	436.255
476.0000	434.421
476.5000	434.736
477.0000	437.335
477.5000	441.12
478.0000	444.576
478.5000	449.175
479.0000	455.584
479.5000	464.413
480.0000	472.805
480.5000	481.603
481.0000	492.335
481.5000	501.759
482.0000	511.323
482.5000	520.886
483.0000	529.604
483.5000	537.753
484.0000	545.274
484.5000	552.352
485.0000	558.429
485.5000	563.699
486.0000	568.625
486.5000	573.54
487.0000	575.749
487.5000	577.014
488.0000	578.166
488.5000	577.601
489.0000	575.272
489.5000	571.313
490.0000	567.461
490.5000	562.687
491.0000	554.994
491.5000	546.186
492.0000	536.355
492.5000	525.826
493.0000	513.591
493.5000	500.734
494.0000	487.102
494.5000	473.209
495.0000	458.387
495.5000	443.804
496.0000	429.042
496.5000	413.977
497.0000	400.091
497.5000	385.531
498.0000	370.812
498.5000	357.268
499.0000	343.882
499.5000	331.18
500.0000	317.937
500.5000	305.657
501.0000	294.527
501.5000	283.625
502.0000	272.711
502.5000	263.208
503.0000	254.3
503.5000	245.564
504.0000	237.294
504.5000	229.594
505.0000	222.949
505.5000	216.567
506.0000	210.769
506.5000	205.449
507.0000	199.898
507.5000	195.351
508.0000	191.326
508.5000	187.287
509.0000	183.757
509.5000	181.27
510.0000	178.627
510.5000	175.746
511.0000	174.045
511.5000	172.74
512.0000	171.02
512.5000	169.236
513.0000	167.907
513.5000	167.274
514.0000	166.418
514.5000	165.969
515.0000	165.425
515.5000	165.346
516.0000	165.821
516.5000	165.529
517.0000	165.054
517.5000	164.976
518.0000	164.974
518.5000	165.099
519.0000	165.417
519.5000	165.65
520.0000	165.906
520.5000	165.782
521.0000	165.586
521.5000	165.53
522.0000	165.862
522.5000	166.359
523.0000	166.436
523.5000	166.716
524.0000	166.62
524.5000	166.426
525.0000	166.71
525.5000	166.774
526.0000	166.629
526.5000	166.644
527.0000	166.442
527.5000	166.072
528.0000	165.392
528.5000	165
529.0000	164.309
529.5000	163.852
530.0000	163.329
530.5000	162.648
531.0000	162.059
531.5000	161.344
532.0000	160.502
532.5000	159.418
533.0000	157.998
533.5000	156.966
534.0000	156.339
534.5000	154.678
535.0000	153.183
535.5000	152.037
536.0000	151.106
536.5000	149.431
537.0000	147.941
537.5000	146.686
538.0000	145.364
538.5000	143.703
539.0000	142.137
539.5000	140.112
540.0000	138.722
540.5000	136.905
541.0000	135.49
541.5000	134.278
542.0000	132.922
542.5000	131.081
543.0000	129.708
543.5000	128.437
544.0000	126.989
544.5000	125.776
545.0000	124.178
545.5000	122.648
546.0000	121.573
546.5000	120.368
547.0000	119.179
547.5000	117.938
548.0000	116.817
548.5000	115.839
549.0000	114.698
549.5000	113.395
550.0000	112.291
550.5000	111.315
551.0000	110.698
551.5000	109.956
