TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/27
TIME	21:17:24
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   181.90982
MAXY	  1280.52917
MINY	     0.65166
XYDATA
422.0000	181.91
422.5000	165.858
423.0000	145.879
423.5000	123.23
424.0000	99.6844
424.5000	77.451
425.0000	57.3276
425.5000	40.6571
426.0000	27.7071
426.5000	18.0651
427.0000	11.9736
427.5000	7.91259
428.0000	5.47122
428.5000	4.35506
429.0000	3.86341
429.5000	3.755
430.0000	3.94214
430.5000	4.1031
431.0000	4.4637
431.5000	4.83779
432.0000	5.23597
432.5000	5.74659
433.0000	6.54113
433.5000	7.32285
434.0000	8.16594
434.5000	9.24516
435.0000	10.555
435.5000	11.9701
436.0000	13.7198
436.5000	16.0272
437.0000	18.4714
437.5000	21.4642
438.0000	25.0029
438.5000	29.0166
439.0000	33.8392
439.5000	39.2753
440.0000	45.7928
440.5000	53.1945
441.0000	61.5438
441.5000	71.3131
442.0000	82.4539
442.5000	95.1578
443.0000	109.934
443.5000	126.423
444.0000	145.744
444.5000	167.488
445.0000	191.813
445.5000	219.537
446.0000	251.019
446.5000	285.812
447.0000	326.275
447.5000	369.89
448.0000	417.328
448.5000	468.78
449.0000	524.354
449.5000	583.877
450.0000	646.427
450.5000	708.805
451.0000	772.371
451.5000	836.993
452.0000	900.073
452.5000	961.849
453.0000	1019.45
453.5000	1071.25
454.0000	1119.13
454.5000	1160.82
455.0000	1197.33
455.5000	1226.52
456.0000	1247.65
456.5000	1264.65
457.0000	1276.05
457.5000	1280.53
458.0000	1279.58
458.5000	1275.17
459.0000	1265.88
459.5000	1252.51
460.0000	1237.34
460.5000	1217.72
461.0000	1195.61
461.5000	1172.91
462.0000	1147.18
462.5000	1120.86
463.0000	1093.77
463.5000	1064.94
464.0000	1035.49
464.5000	1006.04
465.0000	976.434
465.5000	946.204
466.0000	915.277
466.5000	885.967
467.0000	857.224
467.5000	828.898
468.0000	801.914
468.5000	774.538
469.0000	749.065
469.5000	724.455
470.0000	702.086
470.5000	682.133
471.0000	662.15
471.5000	642.632
472.0000	625.776
472.5000	611.686
473.0000	598.324
473.5000	588.084
474.0000	580.497
474.5000	574.067
475.0000	569.919
475.5000	567.35
476.0000	566.646
476.5000	568.631
477.0000	573.236
477.5000	578.702
478.0000	586.927
478.5000	597.543
479.0000	609.232
479.5000	622.241
480.0000	636.038
480.5000	651.083
481.0000	665.901
481.5000	680.524
482.0000	696.318
482.5000	710.585
483.0000	724.256
483.5000	737.15
484.0000	750.248
484.5000	761.41
485.0000	770.655
485.5000	777.798
486.0000	784.019
486.5000	788.603
487.0000	790.887
487.5000	792.117
488.0000	792.022
488.5000	790.544
489.0000	787.067
489.5000	779.655
490.0000	771.398
490.5000	761.317
491.0000	749.039
491.5000	736.404
492.0000	722.293
492.5000	705.765
493.0000	687.469
493.5000	667.896
494.0000	647.415
494.5000	625.744
495.0000	604.634
495.5000	583.217
496.0000	560.902
496.5000	539.689
497.0000	517.756
497.5000	496.735
498.0000	475.94
498.5000	455.904
499.0000	437.407
499.5000	419.092
500.0000	401.226
500.5000	384.135
501.0000	368.204
501.5000	352.958
502.0000	338.763
502.5000	324.851
503.0000	312.124
503.5000	300.388
504.0000	289.292
504.5000	278.835
505.0000	269.798
505.5000	260.503
506.0000	252.268
506.5000	245.119
507.0000	238.646
507.5000	233.23
508.0000	227.451
508.5000	222.155
509.0000	217.656
509.5000	214.084
510.0000	210.206
510.5000	207.291
511.0000	205.14
511.5000	202.729
512.0000	200.786
512.5000	199.433
513.0000	198.1
513.5000	196.575
514.0000	195.95
514.5000	195.232
515.0000	194.857
515.5000	195.032
516.0000	194.759
516.5000	194.516
517.0000	194.694
517.5000	195.007
518.0000	194.884
518.5000	195.047
519.0000	195.375
519.5000	194.95
520.0000	195.216
520.5000	195.508
521.0000	195.387
521.5000	195.245
522.0000	194.16
522.5000	194.1
523.0000	194.437
523.5000	193.842
524.0000	193.594
524.5000	192.614
525.0000	191.722
525.5000	191.203
526.0000	189.769
526.5000	188.459
527.0000	187.517
527.5000	186.333
528.0000	184.41
528.5000	182.712
529.0000	181.182
529.5000	179.924
530.0000	178.015
530.5000	176.29
531.0000	174.241
531.5000	171.595
532.0000	169.721
532.5000	167.471
533.0000	165.184
533.5000	162.493
534.0000	160.273
534.5000	158.163
535.0000	155.822
535.5000	153.06
536.0000	150.457
536.5000	148.486
537.0000	145.374
537.5000	142.549
538.0000	140.338
538.5000	138.166
539.0000	135.335
539.5000	133.027
540.0000	130.942
540.5000	127.33
541.0000	125.455
541.5000	122.828
542.0000	120.544
542.5000	118.722
543.0000	117.15
543.5000	114.664
544.0000	112.423
544.5000	110.585
545.0000	109.091
545.5000	107.244
546.0000	105.5
546.5000	103.618
547.0000	101.959
547.5000	100.907
548.0000	99.533
548.5000	97.8992
549.0000	96.5527
549.5000	95.1154
550.0000	93.927
