TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/27
TIME	21:26:48
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   928.95172
MAXY	  1586.98157
MINY	     0.78545
XYDATA
422.0000	928.952
422.5000	816.831
423.0000	687.604
423.5000	554.27
424.0000	427.866
424.5000	312.805
425.0000	217.119
425.5000	144.175
426.0000	92.0501
426.5000	55.2602
427.0000	33.426
427.5000	20.3842
428.0000	12.5353
428.5000	9.01202
429.0000	7.64674
429.5000	7.04523
430.0000	6.98967
430.5000	7.1715
431.0000	7.4489
431.5000	7.95498
432.0000	8.49112
432.5000	9.04685
433.0000	9.80316
433.5000	10.7555
434.0000	11.8783
434.5000	13.3738
435.0000	14.793
435.5000	16.5346
436.0000	18.8776
436.5000	21.6354
437.0000	24.8505
437.5000	28.5109
438.0000	32.831
438.5000	37.9954
439.0000	43.7794
439.5000	50.7747
440.0000	58.7396
440.5000	67.8707
441.0000	78.5335
441.5000	90.8607
442.0000	105.052
442.5000	121.262
443.0000	139.454
443.5000	159.725
444.0000	184.026
444.5000	211.608
445.0000	241.393
445.5000	276.364
446.0000	316.18
446.5000	359.649
447.0000	409.722
447.5000	464.948
448.0000	524.254
448.5000	587.079
449.0000	656.523
449.5000	730.982
450.0000	808.651
450.5000	887.664
451.0000	967.122
451.5000	1048.15
452.0000	1124.59
452.5000	1199.92
453.0000	1272.03
453.5000	1336.52
454.0000	1395.44
454.5000	1445.64
455.0000	1488.69
455.5000	1525.37
456.0000	1553.14
456.5000	1571.29
457.0000	1582.29
457.5000	1586.98
458.0000	1585.28
458.5000	1577.7
459.0000	1565.69
459.5000	1548.12
460.0000	1528.17
460.5000	1504.04
461.0000	1476.97
461.5000	1448
462.0000	1416.16
462.5000	1383.35
463.0000	1348.74
463.5000	1312.53
464.0000	1275.5
464.5000	1237.89
465.0000	1200.47
465.5000	1163.32
466.0000	1127.38
466.5000	1090.22
467.0000	1053.14
467.5000	1016.48
468.0000	983.305
468.5000	951.734
469.0000	919.698
469.5000	889.48
470.0000	860.2
470.5000	833.66
471.0000	809.209
471.5000	785.975
472.0000	764.964
472.5000	747.25
473.0000	731.555
473.5000	716.745
474.0000	704.204
474.5000	696.792
475.0000	691.531
475.5000	688.362
476.0000	688.285
476.5000	690.446
477.0000	696.672
477.5000	704.775
478.0000	714.753
478.5000	727.492
479.0000	743.903
479.5000	761.421
480.0000	780.069
480.5000	798.757
481.0000	819.401
481.5000	840.877
482.0000	862.565
482.5000	883.148
483.0000	903.69
483.5000	921.854
484.0000	938.694
484.5000	955.303
485.0000	969.476
485.5000	981.232
486.0000	992.038
486.5000	1000.46
487.0000	1006.86
487.5000	1010.72
488.0000	1012.47
488.5000	1011.6
489.0000	1009.43
489.5000	1003.61
490.0000	995.247
490.5000	984.877
491.0000	969.785
491.5000	953.47
492.0000	935.668
492.5000	914.414
493.0000	891.663
493.5000	869.167
494.0000	842.748
494.5000	816.808
495.0000	791.711
495.5000	763.576
496.0000	735.802
496.5000	708.251
497.0000	680.93
497.5000	655.29
498.0000	628.903
498.5000	603.931
499.0000	579.228
499.5000	554.94
500.0000	533.287
500.5000	511.659
501.0000	490.349
501.5000	470.841
502.0000	451.553
502.5000	434.186
503.0000	417.896
503.5000	402.404
504.0000	387.855
504.5000	373.671
505.0000	361.289
505.5000	350.757
506.0000	339.532
506.5000	328.841
507.0000	321.168
507.5000	312.891
508.0000	305.618
508.5000	299.506
509.0000	294.035
509.5000	288.775
510.0000	284.33
510.5000	280.691
511.0000	277.07
511.5000	273.99
512.0000	271.783
512.5000	270.195
513.0000	269.035
513.5000	268.309
514.0000	267.822
514.5000	267.222
515.0000	266.807
515.5000	267.622
516.0000	268.101
516.5000	268.171
517.0000	268.896
517.5000	269.837
518.0000	270.935
518.5000	271.605
519.0000	272.366
519.5000	273.381
520.0000	274.307
520.5000	275.25
521.0000	276.542
521.5000	276.67
522.0000	276.567
522.5000	276.893
523.0000	277.639
523.5000	277.797
524.0000	277.535
524.5000	277.183
525.0000	276.958
525.5000	276.092
526.0000	275.227
526.5000	273.884
527.0000	272.724
527.5000	271.863
528.0000	270.465
528.5000	268.637
529.0000	265.532
529.5000	263.074
530.0000	261.017
530.5000	258.643
531.0000	255.851
531.5000	252.445
532.0000	249.099
532.5000	245.991
533.0000	243.019
533.5000	239.351
534.0000	235.435
534.5000	231.58
535.0000	227.587
535.5000	223.723
536.0000	219.846
536.5000	215.818
537.0000	211.294
537.5000	206.902
538.0000	202.611
538.5000	198.675
539.0000	194.491
539.5000	190.453
540.0000	186.881
540.5000	182.933
541.0000	179.058
541.5000	174.84
542.0000	171.401
542.5000	167.572
543.0000	163.973
543.5000	160.359
544.0000	156.937
544.5000	153.588
545.0000	150.504
545.5000	147.416
546.0000	144.214
546.5000	141.137
547.0000	138.616
547.5000	136.242
548.0000	133.506
548.5000	131.245
549.0000	128.889
549.5000	126.805
550.0000	124.037
