TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/30
TIME	15:55:02
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   932.05176
MAXY	  1996.98743
MINY	     0.42803
XYDATA
422.0000	932.052
422.5000	840.874
423.0000	729.609
423.5000	606.639
424.0000	483.26
424.5000	366.814
425.0000	265.848
425.5000	181.808
426.0000	117.889
426.5000	72.8595
427.0000	44.7954
427.5000	27.4527
428.0000	16.522
428.5000	11.2825
429.0000	8.97222
429.5000	8.08389
430.0000	7.88416
430.5000	8.16047
431.0000	8.59499
431.5000	9.2109
432.0000	9.79168
432.5000	10.524
433.0000	11.6012
433.5000	12.86
434.0000	14.2506
434.5000	16.0609
435.0000	18.2528
435.5000	20.8052
436.0000	23.7217
436.5000	27.2834
437.0000	31.4813
437.5000	36.0787
438.0000	41.7746
438.5000	48.5639
439.0000	56.5722
439.5000	65.3823
440.0000	75.9213
440.5000	88.2178
441.0000	102.158
441.5000	118.696
442.0000	137.934
442.5000	158.35
443.0000	182.18
443.5000	209.421
444.0000	241.173
444.5000	277.609
445.0000	317.609
445.5000	363.01
446.0000	414.485
446.5000	471.706
447.0000	537.685
447.5000	610.497
448.0000	686.811
448.5000	771.325
449.0000	862.658
449.5000	959.776
450.0000	1060.42
450.5000	1161.64
451.0000	1264.23
451.5000	1364.76
452.0000	1462.25
452.5000	1557.52
453.0000	1644.25
453.5000	1723.78
454.0000	1793.09
454.5000	1852.31
455.0000	1904
455.5000	1943.42
456.0000	1970.6
456.5000	1987.65
457.0000	1996.99
457.5000	1995.1
458.0000	1985.36
458.5000	1972.38
459.0000	1951.66
459.5000	1924.86
460.0000	1893.99
460.5000	1859.98
461.0000	1822.28
461.5000	1782.54
462.0000	1740.41
462.5000	1697.22
463.0000	1650.71
463.5000	1603.16
464.0000	1555.42
464.5000	1507.24
465.0000	1458.7
465.5000	1410.68
466.0000	1363.2
466.5000	1317.44
467.0000	1271.89
467.5000	1226.4
468.0000	1183.92
468.5000	1140.98
469.0000	1102.72
469.5000	1066.1
470.0000	1030.62
470.5000	998.287
471.0000	968.732
471.5000	941.507
472.0000	917.042
472.5000	895.554
473.0000	876.946
473.5000	861.606
474.0000	848.774
474.5000	839.254
475.0000	834.686
475.5000	833.306
476.0000	835.448
476.5000	841.841
477.0000	851.363
477.5000	864.196
478.0000	880.151
478.5000	899.884
479.0000	921.175
479.5000	945.753
480.0000	971.484
480.5000	997.935
481.0000	1025.4
481.5000	1053.23
482.0000	1081.56
482.5000	1109.05
483.0000	1135.28
483.5000	1158.76
484.0000	1181
484.5000	1201.09
485.0000	1217.54
485.5000	1231.79
486.0000	1243.46
486.5000	1252.39
487.0000	1259.14
487.5000	1262.68
488.0000	1261.8
488.5000	1258.55
489.0000	1254.44
489.5000	1244.41
490.0000	1230.51
490.5000	1214.2
491.0000	1193.87
491.5000	1170.35
492.0000	1145.6
492.5000	1117.99
493.0000	1088.08
493.5000	1056.22
494.0000	1023.02
494.5000	989.186
495.0000	952.518
495.5000	917.208
496.0000	883.939
496.5000	850.13
497.0000	815.094
497.5000	779.951
498.0000	747.175
498.5000	715.992
499.0000	685.878
499.5000	656.641
500.0000	628.687
500.5000	601.369
501.0000	575.759
501.5000	551.121
502.0000	528.588
502.5000	508.344
503.0000	487.59
503.5000	467.93
504.0000	450.271
504.5000	433.847
505.0000	417.897
505.5000	404.347
506.0000	391.307
506.5000	379.568
507.0000	369.36
507.5000	359.823
508.0000	351.503
508.5000	343.761
509.0000	337.212
509.5000	331.437
510.0000	326.273
510.5000	322.238
511.0000	317.847
511.5000	315.302
512.0000	313.011
512.5000	311.319
513.0000	310.634
513.5000	310.111
514.0000	309.556
514.5000	309.57
515.0000	310.731
515.5000	311.058
516.0000	311.697
516.5000	312.057
517.0000	313.315
517.5000	314.475
518.0000	315.896
518.5000	317.001
519.0000	318.432
519.5000	319.388
520.0000	320.026
520.5000	320.792
521.0000	321.861
521.5000	322.455
522.0000	323.273
522.5000	323.301
523.0000	324.413
523.5000	324.19
524.0000	323.495
524.5000	322.654
525.0000	321.44
525.5000	320.955
526.0000	319.825
526.5000	318.205
527.0000	315.916
527.5000	313.492
528.0000	311.12
528.5000	308.361
529.0000	305.681
529.5000	302.338
530.0000	299.239
530.5000	295.865
531.0000	291.533
531.5000	287.773
532.0000	283.797
532.5000	279.235
533.0000	274.651
533.5000	269.996
534.0000	265.269
534.5000	260.196
535.0000	254.972
535.5000	250.049
536.0000	245.215
536.5000	240.494
537.0000	235.471
537.5000	229.707
538.0000	224.31
538.5000	219.13
539.0000	213.684
539.5000	208.794
540.0000	204.237
540.5000	198.909
541.0000	194.229
541.5000	189.599
542.0000	185.337
542.5000	180.759
543.0000	176.523
543.5000	172.025
544.0000	167.833
544.5000	164.172
545.0000	160.334
545.5000	156.846
546.0000	153.023
546.5000	149.707
547.0000	146.653
547.5000	143.546
548.0000	140.66
548.5000	138.072
