TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/04/30
TIME	16:02:16
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    76.44115
MAXY	   895.08276
MINY	     1.32005
XYDATA
422.0000	76.4411
422.5000	69.2778
423.0000	60.7485
423.5000	50.8907
424.0000	40.6447
424.5000	30.9366
425.0000	22.8116
425.5000	16.0927
426.0000	11.0956
426.5000	7.48354
427.0000	5.1844
427.5000	3.81608
428.0000	3.03748
428.5000	2.75135
429.0000	2.70266
429.5000	2.7222
430.0000	2.86272
430.5000	3.08637
431.0000	3.33251
431.5000	3.64273
432.0000	4.01819
432.5000	4.44261
433.0000	4.9964
433.5000	5.69992
434.0000	6.45663
434.5000	7.38127
435.0000	8.362
435.5000	9.62209
436.0000	11.0885
436.5000	12.8186
437.0000	14.9469
437.5000	17.1877
438.0000	19.9498
438.5000	23.324
439.0000	27.1113
439.5000	31.5127
440.0000	36.5907
440.5000	42.3051
441.0000	49.2845
441.5000	56.9406
442.0000	65.8035
442.5000	76.008
443.0000	87.3156
443.5000	100.323
444.0000	115.279
444.5000	132.698
445.0000	151.226
445.5000	172.594
446.0000	196.327
446.5000	223.126
447.0000	252.773
447.5000	284.968
448.0000	319.932
448.5000	356.191
449.0000	395.49
449.5000	436.937
450.0000	479.111
450.5000	522.382
451.0000	565.044
451.5000	607.317
452.0000	649.081
452.5000	689.05
453.0000	726.16
453.5000	759.392
454.0000	789.656
454.5000	816.947
455.0000	840.67
455.5000	860.064
456.0000	873.703
456.5000	884.351
457.0000	892.076
457.5000	895.083
458.0000	894.805
458.5000	893.16
459.0000	886.659
459.5000	879.168
460.0000	869.464
460.5000	857.3
461.0000	843.766
461.5000	829.218
462.0000	813.721
462.5000	795.775
463.0000	776.982
463.5000	757.394
464.0000	736.697
464.5000	717.777
465.0000	697.742
465.5000	677.776
466.0000	657.496
466.5000	636.956
467.0000	617.245
467.5000	597.939
468.0000	578.923
468.5000	560.757
469.0000	543.603
469.5000	527.045
470.0000	511.323
470.5000	496.754
471.0000	483.759
471.5000	471.181
472.0000	460.129
472.5000	450.628
473.0000	441.452
473.5000	434.111
474.0000	428.171
474.5000	423.954
475.0000	421.062
475.5000	418.833
476.0000	420.298
476.5000	422.384
477.0000	425.247
477.5000	429.456
478.0000	435.249
478.5000	442.73
479.0000	450.818
479.5000	459.961
480.0000	469.825
480.5000	480.346
481.0000	490.321
481.5000	500.543
482.0000	510.964
482.5000	520.367
483.0000	530.28
483.5000	539.469
484.0000	548.613
484.5000	556.902
485.0000	563.086
485.5000	569.198
486.0000	573.786
486.5000	577.063
487.0000	580.458
487.5000	581.571
488.0000	581.941
488.5000	581.991
489.0000	578.797
489.5000	575.195
490.0000	570.888
490.5000	564.685
491.0000	555.884
491.5000	546.597
492.0000	536.475
492.5000	524.841
493.0000	513.413
493.5000	499.525
494.0000	485.027
494.5000	470.031
495.0000	455.036
495.5000	440.155
496.0000	424.415
496.5000	409.039
497.0000	394.038
497.5000	379.45
498.0000	364.712
498.5000	350.379
499.0000	336.7
499.5000	324.036
500.0000	311.699
500.5000	299.838
501.0000	288.328
501.5000	277.23
502.0000	266.29
502.5000	256.669
503.0000	247.708
503.5000	239.169
504.0000	231.152
504.5000	223.974
505.0000	217.259
505.5000	210.298
506.0000	204.21
506.5000	199.375
507.0000	194.611
507.5000	190.891
508.0000	187.222
508.5000	183.588
509.0000	180.39
509.5000	177.567
510.0000	175.074
510.5000	173.032
511.0000	171.159
511.5000	169.968
512.0000	168.278
512.5000	167.317
513.0000	166.488
513.5000	166.048
514.0000	165.837
514.5000	165.707
515.0000	165.746
515.5000	165.655
516.0000	165.72
516.5000	166.132
517.0000	166.47
517.5000	166.137
518.0000	166.6
518.5000	167.108
519.0000	167.493
519.5000	167.838
520.0000	168.127
520.5000	168.969
521.0000	169.198
521.5000	169.005
522.0000	168.828
522.5000	169.294
523.0000	169.314
523.5000	169.209
524.0000	169.526
524.5000	169.716
525.0000	169.688
525.5000	169.302
526.0000	168.777
526.5000	168.618
527.0000	167.872
527.5000	167.084
528.0000	166.81
528.5000	166.215
529.0000	165.472
529.5000	164.021
530.0000	162.842
530.5000	161.977
531.0000	160.574
531.5000	159.556
532.0000	158.064
532.5000	156.8
533.0000	155.346
533.5000	153.825
534.0000	151.268
534.5000	149.571
535.0000	148.028
535.5000	146.144
536.0000	144.624
536.5000	142.69
537.0000	140.823
537.5000	139.143
538.0000	137.15
538.5000	134.833
539.0000	132.832
539.5000	131.426
540.0000	129.156
540.5000	127.774
541.0000	125.942
541.5000	124.313
542.0000	122.426
542.5000	120.41
543.0000	118.494
543.5000	117.13
544.0000	115.316
544.5000	113.638
545.0000	112.229
545.5000	111.135
546.0000	109.58
546.5000	107.974
547.0000	106.487
547.5000	105.619
548.0000	104.078
548.5000	102.48
549.0000	101.508
549.5000	100.434
550.0000	99.3543
550.5000	98.2528
551.0000	97.16
