TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/07
TIME	19:47:59
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   554.46759
MAXY	  1573.87781
MINY	     1.20615
XYDATA
422.0000	554.468
422.5000	483.495
423.0000	404.623
423.5000	323.362
424.0000	246.872
424.5000	178.614
425.0000	122.856
425.5000	80.913
426.0000	51.6164
426.5000	31.4374
427.0000	19.5687
427.5000	12.6046
428.0000	8.45455
428.5000	6.75648
429.0000	6.21012
429.5000	6.08015
430.0000	6.18566
430.5000	6.47998
431.0000	6.88982
431.5000	7.29269
432.0000	7.90925
432.5000	8.52138
433.0000	9.38027
433.5000	10.4367
434.0000	11.4914
434.5000	12.8872
435.0000	14.4306
435.5000	16.2013
436.0000	18.5314
436.5000	21.1271
437.0000	24.385
437.5000	28.1834
438.0000	32.3761
438.5000	37.341
439.0000	43.2602
439.5000	50.4504
440.0000	58.404
440.5000	67.4466
441.0000	77.8905
441.5000	90.1219
442.0000	104.379
442.5000	120.112
443.0000	137.887
443.5000	158.34
444.0000	182.465
444.5000	209.773
445.0000	240.353
445.5000	274.498
446.0000	312.88
446.5000	356.085
447.0000	405.935
447.5000	459.368
448.0000	517.136
448.5000	579.289
449.0000	646.886
449.5000	719.232
450.0000	795.128
450.5000	872.015
451.0000	949.25
451.5000	1027.76
452.0000	1103.93
452.5000	1178.42
453.0000	1248.61
453.5000	1314.06
454.0000	1371.48
454.5000	1422.98
455.0000	1467.17
455.5000	1502.81
456.0000	1531.26
456.5000	1551.75
457.0000	1567.07
457.5000	1573.83
458.0000	1573.88
458.5000	1568.34
459.0000	1557.5
459.5000	1544.83
460.0000	1527.11
460.5000	1504.25
461.0000	1479.81
461.5000	1452.68
462.0000	1424.31
462.5000	1392.53
463.0000	1359.61
463.5000	1326.63
464.0000	1291.89
464.5000	1255.96
465.0000	1220.37
465.5000	1183.27
466.0000	1145.78
466.5000	1110.61
467.0000	1077.07
467.5000	1043.65
468.0000	1010.7
468.5000	977.362
469.0000	946.313
469.5000	915.837
470.0000	888.73
470.5000	862.788
471.0000	838.153
471.5000	815.857
472.0000	795.064
472.5000	775.721
473.0000	760.5
473.5000	746.661
474.0000	735.023
474.5000	726.551
475.0000	720.651
475.5000	717.065
476.0000	715.811
476.5000	717.933
477.0000	722.898
477.5000	730.799
478.0000	740.122
478.5000	752.826
479.0000	766.813
479.5000	782.596
480.0000	801.316
480.5000	820.068
481.0000	839.518
481.5000	860.17
482.0000	880.78
482.5000	899.851
483.0000	918.385
483.5000	935.037
484.0000	951.478
484.5000	967.833
485.0000	980.844
485.5000	993.498
486.0000	1003.44
486.5000	1011.86
487.0000	1018.63
487.5000	1022.8
488.0000	1025.15
488.5000	1024.47
489.0000	1021.1
489.5000	1014.89
490.0000	1005.54
490.5000	995.317
491.0000	982.785
491.5000	967.622
492.0000	950.386
492.5000	930.418
493.0000	907.983
493.5000	884.272
494.0000	858.559
494.5000	832.728
495.0000	806.824
495.5000	779.409
496.0000	752.827
496.5000	725.642
497.0000	697.931
497.5000	672.612
498.0000	646.085
498.5000	619.93
499.0000	596.047
499.5000	572.534
500.0000	549.469
500.5000	528.984
501.0000	509.12
501.5000	489.156
502.0000	469.964
502.5000	451.738
503.0000	435.619
503.5000	419.803
504.0000	404.534
504.5000	391.255
505.0000	379.338
505.5000	367.322
506.0000	356.062
506.5000	346.725
507.0000	337.707
507.5000	330.176
508.0000	323.086
508.5000	316.821
509.0000	310.048
509.5000	305.363
510.0000	300.688
510.5000	296.597
511.0000	291.865
511.5000	289.421
512.0000	287.771
512.5000	285.377
513.0000	283.411
513.5000	281.861
514.0000	281.116
514.5000	280.285
515.0000	280.232
515.5000	279.934
516.0000	279.821
516.5000	280.535
517.0000	280.302
517.5000	281.124
518.0000	281.799
518.5000	282.019
519.0000	282.692
519.5000	283.585
520.0000	283.879
520.5000	283.7
521.0000	283.941
521.5000	284.081
522.0000	284.225
522.5000	284.804
523.0000	284.731
523.5000	284.526
524.0000	284.731
524.5000	284.166
525.0000	283.73
525.5000	282.709
526.0000	282.116
526.5000	280.91
527.0000	279.752
527.5000	277.798
528.0000	276.887
528.5000	275.136
529.0000	272.043
529.5000	270.06
530.0000	267.882
530.5000	265.763
531.0000	263.36
531.5000	260.59
532.0000	256.833
532.5000	253.369
533.0000	250.601
533.5000	248.033
534.0000	243.903
534.5000	240.143
535.0000	236.29
535.5000	232.161
536.0000	228.893
536.5000	225.43
537.0000	221.489
537.5000	217.639
538.0000	214.339
538.5000	209.811
539.0000	206.434
539.5000	202.775
540.0000	198.694
540.5000	194.537
541.0000	191.223
541.5000	187.717
542.0000	184.188
542.5000	180.722
543.0000	177.454
543.5000	173.618
544.0000	170.096
544.5000	167.394
545.0000	164.751
545.5000	161.691
546.0000	158.656
546.5000	155.983
547.0000	153.178
547.5000	150.511
548.0000	147.964
548.5000	145.32
549.0000	142.863
549.5000	140.655
