TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/07
TIME	19:19:42
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   719.78839
MAXY	  1925.60168
MINY	     1.16606
XYDATA
422.0000	719.788
422.5000	654.349
423.0000	572.534
423.5000	479.747
424.0000	384.997
424.5000	293.757
425.0000	212.715
425.5000	146.554
426.0000	96.9944
426.5000	60.6118
427.0000	38.0329
427.5000	23.6905
428.0000	14.6252
428.5000	10.2909
429.0000	8.21936
429.5000	7.40186
430.0000	7.28985
430.5000	7.48815
431.0000	7.83971
431.5000	8.34443
432.0000	8.89261
432.5000	9.63948
433.0000	10.4357
433.5000	11.5793
434.0000	12.8109
434.5000	14.1597
435.0000	15.8889
435.5000	17.7666
436.0000	20.103
436.5000	22.9877
437.0000	26.0756
437.5000	29.9887
438.0000	34.5639
438.5000	39.8747
439.0000	46.2834
439.5000	53.6702
440.0000	62.0763
440.5000	71.8602
441.0000	83.0098
441.5000	96.4721
442.0000	111.262
442.5000	128.425
443.0000	147.428
443.5000	169.433
444.0000	195.76
444.5000	225.328
445.0000	258.011
445.5000	294.642
446.0000	337.308
446.5000	384.464
447.0000	438.242
447.5000	497.987
448.0000	563.252
448.5000	634.325
449.0000	711.696
449.5000	795.014
450.0000	883.023
450.5000	976.044
451.0000	1068.86
451.5000	1163.84
452.0000	1258.35
452.5000	1353.2
453.0000	1443.23
453.5000	1528.59
454.0000	1606.37
454.5000	1675.79
455.0000	1740.3
455.5000	1795.96
456.0000	1837.62
456.5000	1871
457.0000	1896.99
457.5000	1913.16
458.0000	1922.65
458.5000	1925.6
459.0000	1916.72
459.5000	1902.13
460.0000	1884.43
460.5000	1863.95
461.0000	1837.11
461.5000	1806.23
462.0000	1773.45
462.5000	1735.59
463.0000	1696.1
463.5000	1657.78
464.0000	1616.02
464.5000	1570.68
465.0000	1526.28
465.5000	1483.14
466.0000	1439.72
466.5000	1395.8
467.0000	1352.5
467.5000	1307.79
468.0000	1263.79
468.5000	1222.74
469.0000	1183.11
469.5000	1147.04
470.0000	1111.65
470.5000	1077.88
471.0000	1045.31
471.5000	1015.2
472.0000	988.322
472.5000	962.756
473.0000	940.191
473.5000	920.92
474.0000	903.983
474.5000	890.632
475.0000	880.826
475.5000	874.274
476.0000	868.787
476.5000	867.354
477.0000	871.329
477.5000	876.535
478.0000	885.395
478.5000	896.855
479.0000	912.53
479.5000	930.671
480.0000	950.142
480.5000	969.43
481.0000	990.447
481.5000	1013.89
482.0000	1038.36
482.5000	1061.24
483.0000	1082.65
483.5000	1102.79
484.0000	1123.8
484.5000	1143.55
485.0000	1158.56
485.5000	1172.71
486.0000	1184.88
486.5000	1195.13
487.0000	1202.45
487.5000	1207.76
488.0000	1210.15
488.5000	1209.77
489.0000	1207.32
489.5000	1201.17
490.0000	1191.74
490.5000	1179.61
491.0000	1164.33
491.5000	1147.12
492.0000	1125.16
492.5000	1101.45
493.0000	1076.84
493.5000	1049.1
494.0000	1019.37
494.5000	988.241
495.0000	956.027
495.5000	922.098
496.0000	889.258
496.5000	857.35
497.0000	825.374
497.5000	793.245
498.0000	761.988
498.5000	730.496
499.0000	701.137
499.5000	673.439
500.0000	645.543
500.5000	618.611
501.0000	593.831
501.5000	570.12
502.0000	547.686
502.5000	526.652
503.0000	505.714
503.5000	485.917
504.0000	469.127
504.5000	452.508
505.0000	436.525
505.5000	423.22
506.0000	410.034
506.5000	397.973
507.0000	387.635
507.5000	376.86
508.0000	367.699
508.5000	359.462
509.0000	351.534
509.5000	344.856
510.0000	338.955
510.5000	333.219
511.0000	328.767
511.5000	324.854
512.0000	321.756
512.5000	318.971
513.0000	316.375
513.5000	314.186
514.0000	312.173
514.5000	311.315
515.0000	310.442
515.5000	309.676
516.0000	309.074
516.5000	308.759
517.0000	309.367
517.5000	309.312
518.0000	309.139
518.5000	309.218
519.0000	309.436
519.5000	309.991
520.0000	309.722
520.5000	308.868
521.0000	309.619
521.5000	309.67
522.0000	309.838
522.5000	309.57
523.0000	309.572
523.5000	309.33
524.0000	308.173
524.5000	307.433
525.0000	306.034
525.5000	305.897
526.0000	305.01
526.5000	303.455
527.0000	301.067
527.5000	299.509
528.0000	297.772
528.5000	295.3
529.0000	293.266
529.5000	291.111
530.0000	288.356
530.5000	285.634
531.0000	282.548
531.5000	278.83
532.0000	275.831
532.5000	272.583
533.0000	269.187
533.5000	264.568
534.0000	260.697
534.5000	257.335
535.0000	253.223
535.5000	249.464
536.0000	245.307
536.5000	241.665
537.0000	237.444
537.5000	233.078
538.0000	229.473
538.5000	225.358
539.0000	220.678
539.5000	216.856
540.0000	212.775
540.5000	208.086
541.0000	204.395
541.5000	200.521
542.0000	197.144
542.5000	193.41
543.0000	189.553
543.5000	186.317
544.0000	182.891
544.5000	179.933
545.0000	176.878
545.5000	173.513
546.0000	169.861
546.5000	167.143
547.0000	164.868
547.5000	161.71
548.0000	159.704
