TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/07
TIME	19:29:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   825.24866
MAXY	  2008.46008
MINY	     1.54825
XYDATA
422.0000	825.249
422.5000	718.143
423.0000	597.555
423.5000	476.558
424.0000	362.765
424.5000	261.501
425.0000	179.301
425.5000	117.734
426.0000	74.9985
426.5000	45.3745
427.0000	28.0732
427.5000	17.9311
428.0000	11.9241
428.5000	9.33045
429.0000	8.36211
429.5000	8.152
430.0000	8.33311
430.5000	8.72511
431.0000	9.26791
431.5000	9.97115
432.0000	10.7066
432.5000	11.3734
433.0000	12.463
433.5000	13.8643
434.0000	15.2988
434.5000	16.9275
435.0000	18.9975
435.5000	21.5695
436.0000	24.5446
436.5000	27.9552
437.0000	31.794
437.5000	36.6176
438.0000	42.2278
438.5000	49.0306
439.0000	57.0511
439.5000	65.6247
440.0000	75.5013
440.5000	87.0944
441.0000	101.097
441.5000	116.82
442.0000	134.847
442.5000	154.804
443.0000	177.717
443.5000	203.997
444.0000	234.932
444.5000	269.553
445.0000	308.436
445.5000	351.261
446.0000	400.461
446.5000	455.324
447.0000	517.997
447.5000	586.754
448.0000	659.822
448.5000	738.582
449.0000	823.351
449.5000	914.986
450.0000	1011.41
450.5000	1109.8
451.0000	1208.32
451.5000	1306.33
452.0000	1402.32
452.5000	1495.62
453.0000	1586.05
453.5000	1668.37
454.0000	1743.42
454.5000	1811.3
455.0000	1869.36
455.5000	1916.81
456.0000	1952.08
456.5000	1980.06
457.0000	1999.21
457.5000	2006.92
458.0000	2008.46
458.5000	2002.77
459.0000	1988.98
459.5000	1970.99
460.0000	1947.9
460.5000	1920.52
461.0000	1889.44
461.5000	1854.95
462.0000	1817.51
462.5000	1777.41
463.0000	1736.62
463.5000	1692.79
464.0000	1647.37
464.5000	1600.81
465.0000	1554.32
465.5000	1508.24
466.0000	1461.42
466.5000	1414.82
467.0000	1370.58
467.5000	1325.24
468.0000	1282.81
468.5000	1241.77
469.0000	1201.16
469.5000	1163.52
470.0000	1127.04
470.5000	1092.33
471.0000	1059.97
471.5000	1030.93
472.0000	1004.71
472.5000	980.654
473.0000	960.187
473.5000	941.505
474.0000	925.969
474.5000	913.967
475.0000	907.154
475.5000	900.372
476.0000	899.051
476.5000	901.378
477.0000	905.998
477.5000	914.474
478.0000	926.14
478.5000	939.622
479.0000	957.796
479.5000	977.58
480.0000	997.873
480.5000	1020.87
481.0000	1045.46
481.5000	1068.88
482.0000	1092.15
482.5000	1115.46
483.0000	1137.52
483.5000	1158.57
484.0000	1179.1
484.5000	1198.82
485.0000	1215.08
485.5000	1228.57
486.0000	1240.54
486.5000	1249.72
487.0000	1256.55
487.5000	1259.48
488.0000	1261.14
488.5000	1260.14
489.0000	1254.87
489.5000	1247.48
490.0000	1235.79
490.5000	1220.36
491.0000	1202.93
491.5000	1184.63
492.0000	1162.31
492.5000	1136.39
493.0000	1108.44
493.5000	1079.4
494.0000	1047.39
494.5000	1014.94
495.0000	981.837
495.5000	946.797
496.0000	913.357
496.5000	880.091
497.0000	845.988
497.5000	813.283
498.0000	781.356
498.5000	749.906
499.0000	720.022
499.5000	690.591
500.0000	663.044
500.5000	635.928
501.0000	610.707
501.5000	586.258
502.0000	563.047
502.5000	541.346
503.0000	521.26
503.5000	501.775
504.0000	483.964
504.5000	467.027
505.0000	451.36
505.5000	436.772
506.0000	423.823
506.5000	411.775
507.0000	400.917
507.5000	391.097
508.0000	382.059
508.5000	373.495
509.0000	365.874
509.5000	359.95
510.0000	353.603
510.5000	348.413
511.0000	343.965
511.5000	339.925
512.0000	336.908
512.5000	333.86
513.0000	331.774
513.5000	330.113
514.0000	328.939
514.5000	327.211
515.0000	326.271
515.5000	325.897
516.0000	325.563
516.5000	325.008
517.0000	325.644
517.5000	325.751
518.0000	325.655
518.5000	324.946
519.0000	325.072
519.5000	326.568
520.0000	327.173
520.5000	326.967
521.0000	326.483
521.5000	326.726
522.0000	326.56
522.5000	326.352
523.0000	325.887
523.5000	325.828
524.0000	325.258
524.5000	324.34
525.0000	322.878
525.5000	322.32
526.0000	321.086
526.5000	319.767
527.0000	318.417
527.5000	315.815
528.0000	314.314
528.5000	311.634
529.0000	309.409
529.5000	307.276
530.0000	303.315
530.5000	299.583
531.0000	296.437
531.5000	293.556
532.0000	289.818
532.5000	286.217
533.0000	282.038
533.5000	278.56
534.0000	274.125
534.5000	269.824
535.0000	265.574
535.5000	261.676
536.0000	257.603
536.5000	253.468
537.0000	249.324
537.5000	244.621
538.0000	239.884
538.5000	235.523
539.0000	231.22
539.5000	227.088
540.0000	222.888
540.5000	218.415
541.0000	214.194
541.5000	209.892
542.0000	206.029
542.5000	202.247
543.0000	198.12
543.5000	194.463
544.0000	190.991
544.5000	187.458
545.0000	184.393
545.5000	180.723
546.0000	177.435
546.5000	174.219
547.0000	171.48
547.5000	168.962
548.0000	166.431
