TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/11
TIME	20:06:11
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    65.07397
MAXY	  2472.19971
MINY	     4.01897
XYDATA
422.0000	65.074
422.5000	59.7815
423.0000	52.9388
423.5000	45.5347
424.0000	37.3569
424.5000	29.3386
425.0000	22.4072
425.5000	16.6235
426.0000	12.4215
426.5000	9.37798
427.0000	7.37816
427.5000	6.22262
428.0000	5.53626
428.5000	5.37545
429.0000	5.53183
429.5000	5.85358
430.0000	6.32423
430.5000	6.84175
431.0000	7.52466
431.5000	8.29845
432.0000	9.13527
432.5000	10.1473
433.0000	11.4547
433.5000	12.9146
434.0000	14.7169
434.5000	16.8227
435.0000	19.2298
435.5000	22.1275
436.0000	25.4586
436.5000	29.4814
437.0000	34.0985
437.5000	39.5495
438.0000	46.0559
438.5000	53.3904
439.0000	62.3028
439.5000	72.6067
440.0000	84.1743
440.5000	97.4472
441.0000	113.044
441.5000	131.396
442.0000	151.614
442.5000	174.769
443.0000	201.369
443.5000	230.977
444.0000	265.829
444.5000	305.524
445.0000	350.104
445.5000	399.51
446.0000	454.988
446.5000	518.049
447.0000	590.16
447.5000	667
448.0000	749.705
448.5000	841.074
449.0000	938.111
449.5000	1042.5
450.0000	1153.56
450.5000	1267.04
451.0000	1379.95
451.5000	1493.5
452.0000	1608.77
452.5000	1723.06
453.0000	1832.75
453.5000	1934.88
454.0000	2031.5
454.5000	2118.16
455.0000	2196.22
455.5000	2265.28
456.0000	2323.21
456.5000	2370.85
457.0000	2410.23
457.5000	2437.66
458.0000	2456.99
458.5000	2468.19
459.0000	2472.2
459.5000	2466.26
460.0000	2456.32
460.5000	2439.32
461.0000	2416.73
461.5000	2389.25
462.0000	2356.73
462.5000	2320.65
463.0000	2280.17
463.5000	2236.2
464.0000	2192.51
464.5000	2147.72
465.0000	2099.95
465.5000	2048.53
466.0000	1997.96
466.5000	1947.74
467.0000	1897.22
467.5000	1847.06
468.0000	1798.21
468.5000	1748.97
469.0000	1701.99
469.5000	1656.64
470.0000	1613.17
470.5000	1572.25
471.0000	1534.2
471.5000	1497.39
472.0000	1463.27
472.5000	1432.41
473.0000	1404.36
473.5000	1380.45
474.0000	1360.85
474.5000	1344.57
475.0000	1332.9
475.5000	1324.47
476.0000	1319.77
476.5000	1319.08
477.0000	1322.81
477.5000	1331.45
478.0000	1343.31
478.5000	1359.26
479.0000	1379.54
479.5000	1401.13
480.0000	1425.67
480.5000	1451.57
481.0000	1478.5
481.5000	1508.03
482.0000	1538.66
482.5000	1567.28
483.0000	1595.36
483.5000	1625.38
484.0000	1652.3
484.5000	1675.44
485.0000	1699.27
485.5000	1722.51
486.0000	1740.54
486.5000	1757.12
487.0000	1770.59
487.5000	1780.9
488.0000	1787.58
488.5000	1791.98
489.0000	1793.58
489.5000	1788.84
490.0000	1778.17
490.5000	1764.72
491.0000	1751.8
491.5000	1731.56
492.0000	1706.45
492.5000	1677.57
493.0000	1647.02
493.5000	1611.71
494.0000	1573.96
494.5000	1534.71
495.0000	1493.71
495.5000	1451.16
496.0000	1409.06
496.5000	1367.03
497.0000	1323.76
497.5000	1279.9
498.0000	1236.33
498.5000	1194.37
499.0000	1155
499.5000	1117.25
500.0000	1079.58
500.5000	1042.83
501.0000	1006.17
501.5000	973.636
502.0000	942.616
502.5000	912.672
503.0000	884.719
503.5000	856.519
504.0000	830.962
504.5000	807.805
505.0000	787.544
505.5000	767.581
506.0000	747.01
506.5000	730.334
507.0000	715.865
507.5000	701.583
508.0000	688.163
508.5000	677.071
509.0000	666.542
509.5000	657.212
510.0000	650.007
510.5000	642.838
511.0000	636.181
511.5000	630.433
512.0000	625.534
512.5000	621.726
513.0000	618.204
513.5000	614.897
514.0000	613.171
514.5000	613.357
515.0000	612.11
515.5000	610.269
516.0000	609.775
516.5000	610.589
517.0000	610.996
517.5000	612.34
518.0000	613.503
518.5000	613.791
519.0000	615.425
519.5000	615.817
520.0000	616.818
520.5000	617.912
521.0000	619.266
521.5000	619.988
522.0000	622.206
522.5000	622.408
523.0000	623.166
523.5000	624.25
524.0000	624.548
524.5000	624.201
525.0000	624.42
525.5000	623.733
526.0000	623.7
526.5000	623.562
527.0000	622.014
527.5000	621.155
528.0000	620.243
528.5000	618.35
529.0000	615.86
529.5000	613.584
530.0000	610.88
530.5000	608.393
531.0000	603.837
531.5000	600.16
532.0000	595.268
532.5000	591.368
533.0000	586.307
533.5000	579.893
534.0000	575.428
534.5000	570.257
535.0000	563.447
535.5000	558.25
536.0000	552.686
536.5000	546.409
537.0000	539.735
537.5000	533.393
538.0000	526.905
538.5000	520.536
539.0000	513.824
539.5000	506.467
540.0000	499.239
540.5000	495.252
541.0000	487.942
541.5000	482.032
542.0000	475.354
542.5000	468.669
543.0000	462.13
543.5000	456.314
544.0000	450.124
544.5000	443.074
545.0000	436.867
545.5000	430.96
546.0000	425.814
