TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/12
TIME	19:54:18
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    87.68140
MAXY	  1079.41516
MINY	     1.32189
XYDATA
422.0000	87.6814
422.5000	78.9252
423.0000	67.972
423.5000	56.7771
424.0000	45.4643
424.5000	34.4803
425.0000	25.1209
425.5000	17.5565
426.0000	12.0625
426.5000	8.15705
427.0000	5.75737
427.5000	4.26426
428.0000	3.46208
428.5000	3.16426
429.0000	3.11511
429.5000	3.22993
430.0000	3.43366
430.5000	3.69577
431.0000	4.06608
431.5000	4.58288
432.0000	5.05396
432.5000	5.59251
433.0000	6.284
433.5000	7.12012
434.0000	8.14444
434.5000	9.33271
435.0000	10.62
435.5000	12.2177
436.0000	14.0523
436.5000	16.3139
437.0000	18.8547
437.5000	21.9571
438.0000	25.416
438.5000	29.6269
439.0000	34.5326
439.5000	40.1833
440.0000	46.2735
440.5000	53.7035
441.0000	62.1002
441.5000	71.6612
442.0000	82.5659
442.5000	95.3107
443.0000	109.336
443.5000	125.105
444.0000	143.769
444.5000	165.747
445.0000	188.78
445.5000	214.353
446.0000	243.943
446.5000	276.194
447.0000	312.698
447.5000	352.271
448.0000	393.844
448.5000	438.605
449.0000	485.75
449.5000	534.86
450.0000	586.002
450.5000	638.119
451.0000	689.264
451.5000	738.832
452.0000	786.613
452.5000	834.363
453.0000	879.276
453.5000	918.424
454.0000	953.557
454.5000	985.066
455.0000	1012.37
455.5000	1034.81
456.0000	1051.48
456.5000	1065.07
457.0000	1074.78
457.5000	1079
458.0000	1079.42
458.5000	1078.07
459.0000	1071.09
459.5000	1062.35
460.0000	1051.01
460.5000	1037.66
461.0000	1020.54
461.5000	1002.88
462.0000	983.901
462.5000	963.528
463.0000	941.736
463.5000	919.698
464.0000	897.439
464.5000	873.89
465.0000	849.815
465.5000	825.234
466.0000	800.656
466.5000	776.175
467.0000	753.086
467.5000	730.433
468.0000	707.947
468.5000	685.624
469.0000	665.021
469.5000	645.076
470.0000	626.783
470.5000	609.614
471.0000	592.657
471.5000	577.503
472.0000	565.14
472.5000	553.92
473.0000	543.119
473.5000	534.997
474.0000	527.836
474.5000	522.054
475.0000	518.889
475.5000	518.131
476.0000	519.265
476.5000	522.261
477.0000	526.357
477.5000	531.834
478.0000	538.015
478.5000	546.973
479.0000	557.952
479.5000	569.211
480.0000	581.474
480.5000	593.779
481.0000	607.19
481.5000	619.761
482.0000	630.786
482.5000	643.812
483.0000	656.47
483.5000	667.793
484.0000	677.172
484.5000	687.288
485.0000	695.826
485.5000	702.651
486.0000	709.489
486.5000	714.262
487.0000	717.695
487.5000	720.196
488.0000	719.948
488.5000	719.384
489.0000	716.676
489.5000	712.324
490.0000	705.701
490.5000	696.582
491.0000	689.158
491.5000	679.378
492.0000	666.842
492.5000	652.105
493.0000	637.083
493.5000	620.428
494.0000	603.959
494.5000	586.75
495.0000	568.103
495.5000	548.966
496.0000	530.012
496.5000	512.135
497.0000	494.119
497.5000	475.569
498.0000	457.738
498.5000	441.694
499.0000	424.397
499.5000	407.985
500.0000	392.9
500.5000	377.175
501.0000	363.046
501.5000	350.001
502.0000	337.385
502.5000	325.191
503.0000	313.585
503.5000	302.723
504.0000	292.249
504.5000	283.29
505.0000	275.539
505.5000	267.586
506.0000	259.855
506.5000	253.783
507.0000	248.354
507.5000	243.078
508.0000	238.369
508.5000	233.547
509.0000	229.69
509.5000	226.126
510.0000	223.209
510.5000	220.888
511.0000	218.883
511.5000	217.718
512.0000	216.05
512.5000	214.808
513.0000	214.361
513.5000	213.498
514.0000	212.461
514.5000	211.808
515.0000	211.743
515.5000	212.592
516.0000	212.777
516.5000	212.83
517.0000	213.403
517.5000	213.594
518.0000	214.528
518.5000	215.156
519.0000	215.266
519.5000	215.826
520.0000	216.174
520.5000	217.116
521.0000	217.074
521.5000	217.593
522.0000	218.281
522.5000	217.8
523.0000	217.861
523.5000	218.901
524.0000	219.445
524.5000	218.467
525.0000	218.54
525.5000	218.419
526.0000	218.08
526.5000	217.803
527.0000	217.334
527.5000	216.657
528.0000	216.017
528.5000	214.481
529.0000	213.096
529.5000	212.653
530.0000	211.268
530.5000	210.016
531.0000	208.994
531.5000	207.223
532.0000	205.43
532.5000	203.084
533.0000	201.357
533.5000	199.465
534.0000	196.945
534.5000	194.91
535.0000	192.535
535.5000	189.834
536.0000	188.219
536.5000	185.998
537.0000	183.218
537.5000	180.944
538.0000	178.783
538.5000	176.316
539.0000	173.864
539.5000	171.421
540.0000	168.348
540.5000	166.417
541.0000	163.603
541.5000	161.106
542.0000	159.088
542.5000	156.944
543.0000	154.659
543.5000	152.415
544.0000	150.149
544.5000	148.482
545.0000	146.119
545.5000	143.947
546.0000	141.879
546.5000	140.257
547.0000	138.936
547.5000	136.862
548.0000	135.001
548.5000	133.182
549.0000	131.493
549.5000	130.214
550.0000	128.581
550.5000	126.829
