TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/12
TIME	19:22:17
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	   137.12279
MAXY	  1133.17273
MINY	     1.95564
XYDATA
422.0000	137.123
422.5000	122.18
423.0000	104.142
423.5000	85.4656
424.0000	67.4218
424.5000	50.4518
425.0000	35.4966
425.5000	24.189
426.0000	16.2253
426.5000	10.6296
427.0000	7.22959
427.5000	5.28
428.0000	4.02795
428.5000	3.53727
429.0000	3.38332
429.5000	3.49949
430.0000	3.67146
430.5000	3.8764
431.0000	4.24442
431.5000	4.70045
432.0000	5.2581
432.5000	5.84949
433.0000	6.48871
433.5000	7.27242
434.0000	8.17558
434.5000	9.2622
435.0000	10.7407
435.5000	12.3623
436.0000	14.2061
436.5000	16.3842
437.0000	18.8542
437.5000	21.7622
438.0000	25.2008
438.5000	29.4123
439.0000	34.184
439.5000	39.7787
440.0000	46.0778
440.5000	53.1277
441.0000	61.533
441.5000	71.3102
442.0000	82.4978
442.5000	95.0184
443.0000	109.256
443.5000	124.686
444.0000	143.571
444.5000	165.001
445.0000	188.604
445.5000	215.045
446.0000	244.691
446.5000	277.109
447.0000	314.104
447.5000	354.37
448.0000	397.049
448.5000	442.538
449.0000	491.298
449.5000	542.093
450.0000	595.498
450.5000	649.283
451.0000	703.016
451.5000	755.895
452.0000	807.346
452.5000	857.547
453.0000	904.748
453.5000	948.071
454.0000	987.479
454.5000	1021.87
455.0000	1051.79
455.5000	1077.84
456.0000	1097.58
456.5000	1112.46
457.0000	1125.06
457.5000	1131.49
458.0000	1133.17
458.5000	1132.85
459.0000	1127.2
459.5000	1119.07
460.0000	1107.68
460.5000	1093.87
461.0000	1079.18
461.5000	1061.59
462.0000	1042.39
462.5000	1021.61
463.0000	999.661
463.5000	977.18
464.0000	952.862
464.5000	927.407
465.0000	904.073
465.5000	879.923
466.0000	854.761
466.5000	829.509
467.0000	805.546
467.5000	781.005
468.0000	758.141
468.5000	735.262
469.0000	714.07
469.5000	693.064
470.0000	672.906
470.5000	654.494
471.0000	637.472
471.5000	621.785
472.0000	607.702
472.5000	595.29
473.0000	584.502
473.5000	574.463
474.0000	566.393
474.5000	560.429
475.0000	556.405
475.5000	555.352
476.0000	555.503
476.5000	557.329
477.0000	561.362
477.5000	567.037
478.0000	573.743
478.5000	583.054
479.0000	592.86
479.5000	604.521
480.0000	617.489
480.5000	628.763
481.0000	641.437
481.5000	655.622
482.0000	669.837
482.5000	682.797
483.0000	695.419
483.5000	707.591
484.0000	718.496
484.5000	727.844
485.0000	736.614
485.5000	745.928
486.0000	753.033
486.5000	758.227
487.0000	761.724
487.5000	764.163
488.0000	765.442
488.5000	764.783
489.0000	763.056
489.5000	759.003
490.0000	754.091
490.5000	746.052
491.0000	736.477
491.5000	725.88
492.0000	713.365
492.5000	699.342
493.0000	683.276
493.5000	666.354
494.0000	650.377
494.5000	632.787
495.0000	613.66
495.5000	593.583
496.0000	574.115
496.5000	554.862
497.0000	536.552
497.5000	516.807
498.0000	498.061
498.5000	479.367
499.0000	462.768
499.5000	445.894
500.0000	430.206
500.5000	414.058
501.0000	398.279
501.5000	384.929
502.0000	371.397
502.5000	358.302
503.0000	346.588
503.5000	335.169
504.0000	324.308
504.5000	315.152
505.0000	306.156
505.5000	297.976
506.0000	290.076
506.5000	282.891
507.0000	276.933
507.5000	271.224
508.0000	266.27
508.5000	261.964
509.0000	257.797
509.5000	254.448
510.0000	251.283
510.5000	248.209
511.0000	246.35
511.5000	244.009
512.0000	242.923
512.5000	242.035
513.0000	240.283
513.5000	239.799
514.0000	239.724
514.5000	239.488
515.0000	239.446
515.5000	239.423
516.0000	239.328
516.5000	240.065
517.0000	240.473
517.5000	241.458
518.0000	241.931
518.5000	241.761
519.0000	242.687
519.5000	243.032
520.0000	243.409
520.5000	244.445
521.0000	245.646
521.5000	246.209
522.0000	246.56
522.5000	246.674
523.0000	247.531
523.5000	247.793
524.0000	247.566
524.5000	247.303
525.0000	247.682
525.5000	247.644
526.0000	247.094
526.5000	247.027
527.0000	246.945
527.5000	246.238
528.0000	245.784
528.5000	244.856
529.0000	244.179
529.5000	242.945
530.0000	241.524
530.5000	240.084
531.0000	238.691
531.5000	237.257
532.0000	235.687
532.5000	233.882
533.0000	232.095
533.5000	229.782
534.0000	227.729
534.5000	226.129
535.0000	223.803
535.5000	220.734
536.0000	218.025
536.5000	216.147
537.0000	213.663
537.5000	211.026
538.0000	208.748
538.5000	205.869
539.0000	203.484
539.5000	201.175
540.0000	198.848
540.5000	195.223
541.0000	192.36
541.5000	190.197
542.0000	187.883
542.5000	185.264
543.0000	182.822
543.5000	180.834
544.0000	178.638
544.5000	176.099
545.0000	173.919
545.5000	171.538
546.0000	169.347
546.5000	167.516
547.0000	165.662
547.5000	162.988
548.0000	161.615
548.5000	159.852
549.0000	157.723
549.5000	156.321
550.0000	154.54
550.5000	152.97
