TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/13
TIME	20:30:41
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    81.10500
MAXY	  1511.18542
MINY	     1.75608
XYDATA
422.0000	81.105
422.5000	70.9302
423.0000	59.6445
423.5000	48.1382
424.0000	37.162
424.5000	27.3595
425.0000	19.7737
425.5000	13.6558
426.0000	9.34855
426.5000	6.55278
427.0000	4.93057
427.5000	4.12135
428.0000	3.72832
428.5000	3.72941
429.0000	3.86664
429.5000	4.11822
430.0000	4.58041
430.5000	4.95851
431.0000	5.36416
431.5000	6.03646
432.0000	6.82188
432.5000	7.57236
433.0000	8.47494
433.5000	9.56636
434.0000	10.9485
434.5000	12.6424
435.0000	14.5012
435.5000	16.6961
436.0000	19.3832
436.5000	22.5329
437.0000	25.8929
437.5000	30.1976
438.0000	35.2473
438.5000	40.7377
439.0000	47.2154
439.5000	55.1994
440.0000	64.0133
440.5000	73.9177
441.0000	85.3233
441.5000	98.7454
442.0000	114.154
442.5000	131.046
443.0000	150.704
443.5000	172.297
444.0000	197.688
444.5000	225.98
445.0000	258.062
445.5000	293.42
446.0000	333.369
446.5000	377.9
447.0000	427.106
447.5000	480.231
448.0000	536.478
448.5000	596.906
449.0000	660.988
449.5000	728.712
450.0000	799.398
450.5000	868.749
451.0000	938.574
451.5000	1008.23
452.0000	1075.49
452.5000	1142.46
453.0000	1203.96
453.5000	1260.04
454.0000	1310.79
454.5000	1356.86
455.0000	1397.43
455.5000	1431.75
456.0000	1461.99
456.5000	1483.57
457.0000	1498.46
457.5000	1507.12
458.0000	1511.19
458.5000	1510.79
459.0000	1505.25
459.5000	1496.38
460.0000	1483.04
460.5000	1464.7
461.0000	1445.41
461.5000	1423.5
462.0000	1397.88
462.5000	1370.05
463.0000	1340.2
463.5000	1309.4
464.0000	1278.68
464.5000	1246.1
465.0000	1213.27
465.5000	1180.57
466.0000	1144.3
466.5000	1111.14
467.0000	1078.42
467.5000	1046.89
468.0000	1014.43
468.5000	983.296
469.0000	953.546
469.5000	925.751
470.0000	899.265
470.5000	875.144
471.0000	851.678
471.5000	829.816
472.0000	810.059
472.5000	793.036
473.0000	778.357
473.5000	767.028
474.0000	757.273
474.5000	749.625
475.0000	745.167
475.5000	743.703
476.0000	743.762
476.5000	745.633
477.0000	750.889
477.5000	758.606
478.0000	767.937
478.5000	779.678
479.0000	793.288
479.5000	808.772
480.0000	826.071
480.5000	843.113
481.0000	860.981
481.5000	879.551
482.0000	896.138
482.5000	913.393
483.0000	930.412
483.5000	945.836
484.0000	960.314
484.5000	973.902
485.0000	985.74
485.5000	997.109
486.0000	1006.86
486.5000	1013.44
487.0000	1018.46
487.5000	1021.04
488.0000	1021.86
488.5000	1020.89
489.0000	1018.19
489.5000	1012.89
490.0000	1005
490.5000	994.442
491.0000	980.115
491.5000	964.648
492.0000	947.807
492.5000	929.605
493.0000	908.841
493.5000	886.598
494.0000	862.932
494.5000	837.412
495.0000	811.856
495.5000	785.831
496.0000	759.466
496.5000	733.163
497.0000	706.601
497.5000	682.431
498.0000	656.47
498.5000	632.171
499.0000	608.25
499.5000	585.797
500.0000	563.772
500.5000	542.154
501.0000	522.711
501.5000	503.876
502.0000	486.483
502.5000	468.712
503.0000	452.248
503.5000	437.23
504.0000	422.952
504.5000	410.346
505.0000	398.05
505.5000	387.03
506.0000	376.329
506.5000	367.063
507.0000	358.769
507.5000	350.624
508.0000	344.084
508.5000	337.718
509.0000	331.343
509.5000	327.675
510.0000	324.072
510.5000	320.099
511.0000	317.081
511.5000	314.081
512.0000	311.985
512.5000	310.152
513.0000	309.191
513.5000	307.523
514.0000	306.694
514.5000	306.497
515.0000	306.336
515.5000	306.389
516.0000	306.345
516.5000	306.684
517.0000	307.191
517.5000	307.567
518.0000	308.376
518.5000	309.107
519.0000	309.489
519.5000	310.583
520.0000	311.082
520.5000	311.594
521.0000	312.546
521.5000	313.578
522.0000	313.802
522.5000	314.11
523.0000	314.49
523.5000	315.107
524.0000	315.565
524.5000	315.366
525.0000	315.923
525.5000	314.807
526.0000	314.649
526.5000	314.481
527.0000	313.183
527.5000	312.004
528.0000	311.192
528.5000	309.635
529.0000	308.189
529.5000	307.132
530.0000	304.924
530.5000	303.005
531.0000	301.285
531.5000	298.4
532.0000	295.6
532.5000	293.152
533.0000	291.15
533.5000	287.978
534.0000	284.635
534.5000	281.748
535.0000	278.272
535.5000	275.164
536.0000	272.155
536.5000	268.577
537.0000	265.145
537.5000	261.42
538.0000	257.969
538.5000	254.358
539.0000	250.404
539.5000	246.7
540.0000	243.905
540.5000	239.173
541.0000	235.683
541.5000	231.719
542.0000	228.992
542.5000	225.873
543.0000	222.872
543.5000	219.225
544.0000	216.035
544.5000	212.908
545.0000	210.01
545.5000	206.842
546.0000	204.316
546.5000	201.766
547.0000	198.959
547.5000	196.258
548.0000	193.435
548.5000	191.581
549.0000	188.908
