TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/13
TIME	19:36:34
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  422.0000
LASTX	  700.0000
NPOINTS	     557
FIRSTY	    78.60896
MAXY	  1801.60425
MINY	     3.65751
XYDATA
422.0000	78.609
422.5000	68.0551
423.0000	56.7244
423.5000	45.8782
424.0000	35.6993
424.5000	26.5508
425.0000	19.0636
425.5000	13.6465
426.0000	9.82763
426.5000	7.23087
427.0000	5.70894
427.5000	4.95883
428.0000	4.52039
428.5000	4.55925
429.0000	4.78919
429.5000	5.19833
430.0000	5.62122
430.5000	6.11938
431.0000	6.66648
431.5000	7.31928
432.0000	8.05175
432.5000	9.03453
433.0000	10.1849
433.5000	11.345
434.0000	12.701
434.5000	14.6474
435.0000	16.6994
435.5000	19.0692
436.0000	22.0862
436.5000	25.6055
437.0000	29.5851
437.5000	34.3478
438.0000	39.9798
438.5000	46.2138
439.0000	53.6545
439.5000	62.2675
440.0000	71.9826
440.5000	83.2974
441.0000	96.357
441.5000	111.475
442.0000	128.739
442.5000	148.272
443.0000	170.384
443.5000	195.327
444.0000	224.577
444.5000	256.899
445.0000	292.571
445.5000	333.848
446.0000	379.423
446.5000	429.792
447.0000	486.615
447.5000	548.121
448.0000	613.902
448.5000	684.118
449.0000	759.565
449.5000	839.269
450.0000	922.401
450.5000	1005.34
451.0000	1088.69
451.5000	1170.88
452.0000	1253.22
452.5000	1334.51
453.0000	1409.28
453.5000	1477.95
454.0000	1541.23
454.5000	1599.01
455.0000	1649.57
455.5000	1691.65
456.0000	1727.65
456.5000	1753.87
457.0000	1773.27
457.5000	1788.51
458.0000	1797.43
458.5000	1801.6
459.0000	1797.89
459.5000	1788.58
460.0000	1773.82
460.5000	1757.37
461.0000	1735.44
461.5000	1711.42
462.0000	1683.9
462.5000	1653.42
463.0000	1621.15
463.5000	1586.88
464.0000	1551.93
464.5000	1513.94
465.0000	1476.71
465.5000	1438.48
466.0000	1399.01
466.5000	1360.35
467.0000	1321.99
467.5000	1283.84
468.0000	1246.67
468.5000	1211.07
469.0000	1176.05
469.5000	1143.72
470.0000	1113.05
470.5000	1082.52
471.0000	1053.7
471.5000	1027.84
472.0000	1004.66
472.5000	983.893
473.0000	965.059
473.5000	950.294
474.0000	937.972
474.5000	928.359
475.0000	922.315
475.5000	918.02
476.0000	916.621
476.5000	920.031
477.0000	924.016
477.5000	932.407
478.0000	943.466
478.5000	956.825
479.0000	972.149
479.5000	988.807
480.0000	1007.17
480.5000	1027.3
481.0000	1047.17
481.5000	1068.61
482.0000	1089.43
482.5000	1109.26
483.0000	1129.61
483.5000	1148.01
484.0000	1166.92
484.5000	1182.3
485.0000	1196.66
485.5000	1209.64
486.0000	1221.17
486.5000	1229.62
487.0000	1237.25
487.5000	1242.55
488.0000	1244.62
488.5000	1244.52
489.0000	1240.04
489.5000	1234.62
490.0000	1226.07
490.5000	1215.67
491.0000	1201.41
491.5000	1185.05
492.0000	1166.74
492.5000	1144.45
493.0000	1119.39
493.5000	1093.87
494.0000	1065.91
494.5000	1037.47
495.0000	1008.09
495.5000	978.092
496.0000	946.73
496.5000	916.638
497.0000	886.303
497.5000	855.207
498.0000	826.712
498.5000	798.608
499.0000	769.859
499.5000	743.182
500.0000	716.22
500.5000	689.64
501.0000	666.008
501.5000	644.204
502.0000	623.158
502.5000	603.08
503.0000	583.653
503.5000	564.494
504.0000	548.438
504.5000	532.648
505.0000	518.199
505.5000	503.708
506.0000	492.098
506.5000	481.433
507.0000	472.304
507.5000	463.233
508.0000	454.611
508.5000	447.029
509.0000	440.217
509.5000	435.095
510.0000	429.631
510.5000	425.49
511.0000	421.795
511.5000	418.772
512.0000	416.256
512.5000	414.328
513.0000	413.152
513.5000	411.612
514.0000	410.694
514.5000	410.585
515.0000	410.299
515.5000	409.878
516.0000	410.101
516.5000	410.993
517.0000	412.045
517.5000	412.091
518.0000	412.899
518.5000	414.509
519.0000	415.625
519.5000	417.426
520.0000	417.821
520.5000	417.851
521.0000	418.934
521.5000	421.199
522.0000	422.518
522.5000	423.582
523.0000	423.771
523.5000	424.156
524.0000	423.842
524.5000	424.179
525.0000	424.862
525.5000	425.462
526.0000	424.985
526.5000	424.208
527.0000	424.271
527.5000	424.044
528.0000	423.008
528.5000	421.685
529.0000	419.601
529.5000	417.917
530.0000	416.581
530.5000	414.765
531.0000	412.95
531.5000	410.968
532.0000	408.564
532.5000	404.746
533.0000	401.943
533.5000	398.623
534.0000	396.178
534.5000	392.49
535.0000	389.394
535.5000	385.856
536.0000	381.703
536.5000	378.487
537.0000	374.602
537.5000	370.284
538.0000	365.972
538.5000	361.454
539.0000	357.544
539.5000	353.218
540.0000	350.116
540.5000	343.753
541.0000	339.499
541.5000	335.535
542.0000	331.32
542.5000	326.758
543.0000	322.948
543.5000	319.706
544.0000	315.817
544.5000	312.106
545.0000	307.347
545.5000	304.019
546.0000	300.755
546.5000	297.1
547.0000	293.052
547.5000	290.405
