TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/14
TIME	21:33:00
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  449.0000
LASTX	  700.0000
NPOINTS	     503
FIRSTY	   291.81583
MAXY	   459.38583
MINY	     0.76427
XYDATA
449.0000	291.816
449.5000	304.277
450.0000	316.129
450.5000	328.199
451.0000	339.395
451.5000	350.753
452.0000	363.246
452.5000	377.059
453.0000	390.744
453.5000	403.087
454.0000	415.506
454.5000	426.98
455.0000	437.281
455.5000	444.756
456.0000	450.811
456.5000	455.367
457.0000	458.446
457.5000	459.386
458.0000	459.35
458.5000	457.422
459.0000	454.163
459.5000	450.491
460.0000	445.042
460.5000	438.437
461.0000	431.38
461.5000	423.102
462.0000	414.683
462.5000	406.098
463.0000	396.595
463.5000	386.657
464.0000	376.487
464.5000	366.781
465.0000	356.669
465.5000	345.72
466.0000	335.161
466.5000	324.562
467.0000	314.078
467.5000	305.092
468.0000	295.85
468.5000	286.155
469.0000	278.064
469.5000	269.923
470.0000	261.598
470.5000	254.564
471.0000	248.241
471.5000	241.844
472.0000	236.394
472.5000	231.888
473.0000	228.744
473.5000	225.589
474.0000	223.033
474.5000	221.365
475.0000	220.745
475.5000	220.563
476.0000	221.065
476.5000	222.205
477.0000	224.502
477.5000	227.437
478.0000	231.166
478.5000	234.971
479.0000	239.787
479.5000	245.236
480.0000	250.545
480.5000	255.385
481.0000	260.563
481.5000	266.129
482.0000	271.82
482.5000	277.255
483.0000	281.708
483.5000	285.895
484.0000	289.639
484.5000	292.949
485.0000	296.004
485.5000	298.517
486.0000	300.52
486.5000	302.003
487.0000	302.955
487.5000	303.117
488.0000	302.777
488.5000	301.796
489.0000	300.133
489.5000	297.327
490.0000	293.809
490.5000	289.652
491.0000	285.593
491.5000	280.76
492.0000	274.941
492.5000	268.065
493.0000	261.291
493.5000	254.116
494.0000	246.706
494.5000	238.734
495.0000	231.144
495.5000	222.781
496.0000	214.998
496.5000	206.991
497.0000	199.531
497.5000	191.963
498.0000	184.533
498.5000	177.156
499.0000	169.812
499.5000	163.455
500.0000	157.331
500.5000	151.155
501.0000	144.965
501.5000	139.25
502.0000	134.417
502.5000	129.783
503.0000	124.956
503.5000	120.102
504.0000	116.333
504.5000	112.73
505.0000	109.548
505.5000	106.459
506.0000	103.571
506.5000	100.746
507.0000	98.4423
507.5000	96.4127
508.0000	94.5597
508.5000	92.7031
509.0000	91.2832
509.5000	89.8361
510.0000	88.6325
510.5000	87.5704
511.0000	86.7037
511.5000	85.9607
512.0000	85.4713
512.5000	84.9674
513.0000	84.787
513.5000	84.6658
514.0000	84.1785
514.5000	84.1021
515.0000	84.1244
515.5000	84.4581
516.0000	84.6426
516.5000	84.6187
517.0000	84.5303
517.5000	84.6531
518.0000	84.8219
518.5000	84.883
519.0000	85.2545
519.5000	85.4161
520.0000	85.7164
520.5000	85.7854
521.0000	85.9882
521.5000	86.0084
522.0000	86.0619
522.5000	85.997
523.0000	86.1334
523.5000	86.0805
524.0000	86.1141
524.5000	86.0992
525.0000	86.0526
525.5000	85.8627
526.0000	85.7351
526.5000	85.4617
527.0000	85.0634
527.5000	84.8764
528.0000	84.4748
528.5000	84.2415
529.0000	83.6848
529.5000	82.9036
530.0000	82.5346
530.5000	81.7408
531.0000	81.0981
531.5000	80.729
532.0000	79.9546
532.5000	79.1896
533.0000	78.3466
533.5000	77.7399
534.0000	76.931
534.5000	75.8679
535.0000	74.8926
535.5000	73.906
536.0000	73.1721
536.5000	72.2995
537.0000	71.2905
537.5000	70.2238
538.0000	69.004
538.5000	68.2254
539.0000	67.2013
539.5000	66.2912
540.0000	65.3696
540.5000	64.4218
541.0000	63.3991
541.5000	62.3026
542.0000	61.5653
542.5000	60.6334
543.0000	59.9017
543.5000	59.3688
544.0000	58.3187
544.5000	57.6906
545.0000	56.5284
545.5000	55.7031
546.0000	55.1368
546.5000	54.8315
547.0000	54.102
547.5000	53.5279
548.0000	52.7085
548.5000	51.9232
549.0000	51.4232
549.5000	50.9482
550.0000	50.3303
550.5000	49.8485
551.0000	49.2274
551.5000	48.7467
552.0000	48.3008
552.5000	47.73
553.0000	47.3223
553.5000	46.9816
554.0000	46.5756
554.5000	46.3122
555.0000	45.8
555.5000	45.3369
556.0000	44.9107
556.5000	44.6878
557.0000	44.3993
557.5000	44.0094
558.0000	43.7885
558.5000	43.4137
559.0000	43.0822
559.5000	42.8804
560.0000	42.4174
560.5000	41.9314
561.0000	41.7256
561.5000	41.6425
562.0000	41.36
562.5000	40.8094
563.0000	40.4274
563.5000	40.1301
564.0000	39.9104
564.5000	39.5473
565.0000	39.2435
565.5000	38.805
566.0000	38.3826
566.5000	38.1165
567.0000	37.8301
567.5000	37.599
568.0000	37.0755
568.5000	36.7357
569.0000	36.3887
569.5000	35.9517
570.0000	35.5167
570.5000	35.1439
571.0000	34.6272
571.5000	34.2101
572.0000	34.0873
572.5000	33.5586
573.0000	33.2615
573.5000	32.814
574.0000	32.5779
